figure,item,field,expected,observed,difference,tolerance,status,source
fig2_pathway,gastrocnemius,nes_r,0.057,0.057,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,gastrocnemius,transfer_auroc,0.801,0.801,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,kidney,nes_r,0.048,0.048,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig2_pathway,kidney,transfer_auroc,0.555,0.555,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:NES Conservation vs Cross-Mission Transfer
fig3_model,PCA-LR,score,0.758,0.758,0.0,0.0005,PASS,docs/CANONICAL_RESULTS_V7_1.md:Canonical FM / LLM Snapshot
fig3_model,scGPT,score,0.666,0.666,0.0,0.0005,PASS,docs/CANONICAL_RESULTS_V7_1.md:Canonical FM / LLM Snapshot
fig3_model,Mouse-Geneformer,score,0.476,0.476,0.0,0.0005,PASS,docs/CANONICAL_RESULTS_V7_1.md:Canonical FM / LLM Snapshot
fig3_model,DeepSeek-V3,score,0.471,0.471,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 3 LLM Zero-Shot Classification
fig3_model,Llama-3.3-70B,score,0.484,0.484,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 3 LLM Zero-Shot Classification
fig3_model,Gemini-2.5-Flash,score,0.505,0.505,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 3 LLM Zero-Shot Classification
fig3_model,scGPT:liver,delta_vs_baseline,0.04,0.04,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,scGPT:gastrocnemius,delta_vs_baseline,-0.222,-0.222,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,scGPT:kidney,delta_vs_baseline,0.035,0.035,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,scGPT:thymus,delta_vs_baseline,-0.141,-0.141,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,scGPT:skin,delta_vs_baseline,-0.13,-0.13,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,scGPT:eye,delta_vs_baseline,-0.139,-0.139,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:liver,delta_vs_baseline,-0.102,-0.10199999999999998,1.3877787807814457e-17,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:gastrocnemius,delta_vs_baseline,-0.525,-0.525,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:kidney,delta_vs_baseline,-0.069,-0.069,0.0,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:thymus,delta_vs_baseline,-0.428,-0.42800000000000005,5.551115123125783e-17,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:skin,delta_vs_baseline,-0.264,-0.2639999999999999,1.1102230246251565e-16,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig3_model,Mouse-Geneformer:eye,delta_vs_baseline,-0.305,-0.30500000000000005,5.551115123125783e-17,0.0005,PASS,evaluation/RESULTS_SUMMARY.md:Tier 2
fig4_v9_platform,Bulk:public source rows,value,22,22,0.0,0.0005,PASS,v9/source_inventory.csv
fig4_v9_platform,Bulk:held-out mission folds,value,33,33,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_gap_matrix/public_bulk_alpha_gap_summary.csv
fig4_v9_platform,Bulk:baseline rows,value,24,24,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_gap_matrix/public_bulk_alpha_gap_summary.csv
fig4_v9_platform,Organoid:public samples,value,42,42,0.0,0.0005,PASS,v9/human_organoid/sample_factors.draft.csv
fig4_v9_platform,Organoid:gene contrasts,value,8,8,0.0,0.0005,PASS,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json
fig4_v9_platform,Organoid:gene reference rows,value,242708,242708,0.0,0.0005,PASS,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json
fig4_v9_platform,Multispecies:public samples,value,124,124,0.0,0.0005,PASS,v9/multispecies/sample_factors.draft.csv
fig4_v9_platform,Single-cell:legacy assets indexed,value,54,54,0.0,0.0005,PASS,v9/sc_spaceflight/asset_inventory_summary.csv
fig4_v9_platform,Single-cell:data blockers,value,17,17,0.0,0.0005,PASS,v9/sc_spaceflight/obs_var_audit_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,bulk_task_count,8,8,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,bulk_fold_count,33,33,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,bulk_source_count,22,22,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,checksum_parsed_source_count,22,22,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,freeze_ready_source_count,0,0,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig5_public_bulk_boundary,snapshot_decision_summary,baseline_row_count,24,24,0.0,0.0005,PASS,v9/reports/public_bulk_alpha_snapshot_decision/snapshot_decision_summary.csv
fig6_organoid,public sources,value,2,2,0.0,0.0005,PASS,v9/human_organoid/source_inventory.draft.csv
fig6_organoid,samples,value,42,42,0.0,0.0005,PASS,v9/human_organoid/sample_factors.draft.csv
fig6_organoid,flight-ground gene contrasts,value,8,8,0.0,0.0005,PASS,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json
fig6_organoid,gene reference rows,value,242708,242708,0.0,0.0005,PASS,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json
fig6_organoid,significant gene rows,value,2368,2368,0.0,0.0005,PASS,v9/human_organoid/de_references/human_organoid_de_reference_manifest.draft.json
fig6_organoid,pilot status,value,draft,draft,,,PASS,v9/human_organoid/reports/ORGANOID_DIAGNOSTIC_CONSOLIDATION_AND_RELEASE_BOUNDARY.md
fig6_organoid,Primary task:AUROC,value,0.6147727273,0.6147727273,0.0,0.0005,PASS,v9/human_organoid/reports/nearest_centroid/human_organoid_baseline_summary.csv
fig6_organoid,Primary task:Macro-F1,value,0.5194508009,0.5194508009,0.0,0.0005,PASS,v9/human_organoid/reports/nearest_centroid/human_organoid_baseline_summary.csv
fig6_organoid,Flight-response pattern:Direction match,value,0.7706734868,0.7706734867860188,1.3981260593709521e-11,0.0005,PASS,v9/human_organoid/reports/source_transfer_signature/metrics.json
fig6_organoid,Flight-response pattern:Rank correlation,value,0.176007866,0.1760078660242601,2.426009393374784e-11,0.0005,PASS,v9/human_organoid/reports/source_transfer_signature/metrics.json
fig6_organoid,Model gene effects:Direction match,value,0.6078431373,0.6078431372549019,4.5098036416391096e-11,0.0005,PASS,v9/human_organoid/reports/logistic_feature_effect/metrics.json
fig6_organoid,Model gene effects:Rank correlation,value,0.0867280024,0.08672800238082004,1.9179963173243664e-11,0.0005,PASS,v9/human_organoid/reports/logistic_feature_effect/metrics.json
fig6_organoid,top_50,observed,1,1,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_50,expected,0.6375,0.6375,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_50,enrichment,1.5686,1.5686274509803924,2.7450980392362823e-05,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_50,p_value,0.474071,0.474071378951963,3.78951962975993e-07,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_100,observed,5,5,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_100,expected,1.275,1.275,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_100,enrichment,3.9216,3.9215686274509807,3.137254901952602e-05,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_100,p_value,0.00909,0.009090082933691913,8.293369191218758e-08,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_250,observed,10,10,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_250,expected,3.1875,3.1875,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_250,enrichment,3.1373,3.1372549019607843,4.5098039215929475e-05,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_250,p_value,0.001414,0.0014141356279164757,1.3562791647582506e-07,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_500,observed,14,14,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_500,expected,6.375,6.375,0.0,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_500,enrichment,2.1961,2.196078431372549,2.156862745072985e-05,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
fig6_organoid,top_500,p_value,0.004966,0.0049662493285786095,2.4932857860954227e-07,0.0005,PASS,v9/human_organoid/reports/ORGANOID_FEATURE_EFFECT_NULL_CALIBRATION_REVIEW.md
