"","GSM8115892","GSM8115893","GSM8115894","GSM8115895","GSM8115896","GSM8115897","GSM8115898","GSM8115899","GSM8115900","GSM8115901","GSM8115902","GSM8115903","GSM8115904","GSM8115905","GSM8115906","GSM8115907","GSM8115908","GSM8115909","GSM8115910"
"ENSG00000277501",3.91094768509797,0,2.09856289202754,0,12.1171764090782,6.00358551262212,11.2584289989061,8.1090007530351,8.92939943508514,11.9612374227916,3.87700377907325,0,1.67113560200929,0,3.46755331226171,4.18041667967524,4.19214721675791,3.07437563372032,3.79293325432153
"ENSG00000277504",2.56654543601359,0,0,14.2333737520921,0,0,0,0,5.05368035464272,0,0,0,0,0,0.712633445432759,4.27256736184844,0,1.04883422143878,1.96989584875244
"ENSG00000277511",170.451413999771,156.718838688548,106.336904072942,242.565004973481,133.248095662127,167.510588047636,53.4200060152322,93.5710000094653,92.9174502314327,44.6288769545327,73.4863254286738,157.371742190593,111.700802900884,83.6309868829231,78.6901508079452,77.0851951343523,42.3566339697156,74.3676369171641,74.3742050870399
"ENSG00000277531",50.5429152612358,23.2891336923091,99.0267281553116,40.7156712490611,38.1874672359179,33.6550175634388,88.3535149833139,59.9560521596748,51.1697375862059,41.7628106556546,82.3840473145807,36.2135572953481,64.1692098612197,59.6436804241146,68.8108348517559,81.2373618905452,122.401306544406,71.7687289392727,61.9609421708703
"ENSG00000277534",12.3487477793431,14.8836106520731,4.17817003692829,1.69957129722664,13.7743583228241,8.1374408875071,5.20146246559482,16.511758647782,7.30137127945584,3.3821427860661,11.0750323330519,15.2110577662426,2.70367476553737,5.97277469907189,10.7496415080945,14.2551278801194,26.4892606724365,24.6162657388558,17.1820231292287
"ENSG00000277545",10.1923191301927,0,1.08443898422509,0,2.07431786805767,1.19931640501269,0,0,0,0,0,0.909750887035552,0,4.09313337350246,0.713624710064084,0,0,0,0
"ENSG00000277558",0,0,1.08578602430342,0,5.18181567313033,1.20060544423219,1.05575382107244,0,2.03458718038954,2.19786956307388,0,0.908384407190769,1.70759048568477,2.0489331297209,2.1404938742442,0,0,0,0
"ENSG00000277562",1.26534790093709,0,2.15129825638285,0,5.21145994131475,2.38196297005367,0,2.0149513926718,0,0,3.10327644957872,0,0.865630647134242,3.04849488325215,2.14327258326027,0,0,5.28563061764233,0
"ENSG00000277581",2.57067365382831,0,3.28767736690413,0,5.15076294454959,4.84176199584876,3.17846337299881,6.9378822525219,1.00889793990755,5.44764957101073,3.0636323452674,1.79573595036979,0,0,0.712404309226432,0,0.989504278119276,4.19122737977935,1.97269896287603
"ENSG00000277586",3427.40470036787,3862.24162677254,5926.86088225307,4020.51285771147,4272.38830837116,5309.61124584917,18475.077872312,10020.6204099191,9282.68321141407,7878.64050113454,9792.60031832646,5527.22905238617,9132.12628824075,5753.74025212822,8824.59501679125,12567.7499315391,17329.0019406352,7318.96837242077,8454.46043321124
"ENSG00000277589",0,5.62878070215106,1.0729042730247,0,0,0,2.10197633677863,1.00960897087696,0,1.10931546895261,0,1.84306175966123,0.868757342388868,0,0.714646480492124,0,3.00970231337573,0,0
"ENSG00000277595",0,0,1.08934683100338,0,1.03421719775881,2.40810854495573,0,1.99308363986624,0,0,0.769168955669679,0.90472585869084,0.849563315819292,0,0,2.14146579413601,0.993638296559297,2.10183480359592,4.9101344706291
"ENSG00000277597",3.79134765825918,2.25711585080343,7.5184221476058,8.71376246837181,22.9504825573799,16.6532763092135,11.5657719251662,33.2878808944818,28.7236600250353,35.4706683334387,9.31901323633969,23.0090089301846,11.2767706847814,3.04492580268513,20.0073030067047,14.034286414784,14.0360506939127,41.2545222369209,31.1156238023465
"ENSG00000277602",0,0,0,0,6.04058964435309,2.61454457341806,2.12649658221427,5.43725503761347,0,1.62201320947195,0,3.39987159603236,3.48777707518406,0,5.39978702249015,3.78310451592003,4.9531857083179,10.1296428062817,5.61759377525842
"ENSG00000277621",0,1.36686195032755,0,5.73164232384032,0.999230054239119,0,0,0,0,2.07892273083134,0.741941633099897,0.8488910281427,2.35015856335904,0,0,6.23533914033805,0,6.14151069048961,0
