,MEblue,MEbrown,MEgreen,MEturquoise,MEyellow
Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10,-15.50612663784119,12.74761092827382,15.023150526661366,-5.571338799930457,8.798218157754354
Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7,-6.963439925643271,6.100585014354116,4.895460346411606,1.9493288155886173,6.7032562162817015
Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8,-25.575359660705217,0.5426671698003085,10.68324333724428,12.888794187935172,-1.9893476417859919
Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1,48.60031853980968,-20.80595163415069,-35.300622683873854,-18.409857257150207,-16.454518478776397
Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2,54.069329074490376,-17.944568382003652,-35.11583316511765,-22.149113541841746,-26.849556332421738
Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3,35.913994277846605,-25.63191143781262,-34.866951723777184,-18.079245181765945,-39.596544460003095
Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5,14.859624384444539,-18.023354084590842,-32.263446627118725,-12.500067382051764,-5.88417753348661
Mmus_C57-6T_LVR_GC_LAR_Rep1_G6,-24.46030871188594,18.131491739026885,13.84806840119426,1.382646612807476,15.628113932348858
Mmus_C57-6T_LVR_GC_LAR_Rep2_G4,-1.0134935749739165,14.73480441430353,15.59784840145627,0.942752489258779,18.329314578422938
Mmus_C57-6T_LVR_GC_LAR_Rep3_G10,-17.229709263436195,22.116030110166896,11.922883332815637,-3.312138112547967,20.376067016519045
Mmus_C57-6T_LVR_GC_LAR_Rep4_G5,-46.461103139609314,4.843585373550428,18.66034221305491,-6.321826951485889,0.45949915774680616
Mmus_C57-6T_LVR_GC_LAR_Rep5_G7,-20.818372789646737,7.344050534156749,14.131890049649487,-4.241913481072852,6.286077169639452
Mmus_C57-6T_LVR_GC_LAR_Rep6_G8,-17.17419699723576,6.409509080210376,13.536390278254363,-4.927996534015377,7.5121956832007175
Mmus_C57-6T_LVR_GC_LAR_Rep7_G9,-19.915641726165344,11.229648308318609,20.69789285138018,-1.7024623141161555,12.563007773709838
Mmus_C57-6T_LVR_GC_LAR_Rep8_G2,45.27579556911445,-4.738307705933658,-32.33700701122144,-15.711567955439909,-13.065667159099531
Mmus_C57-6T_LVR_GC_LAR_Rep9_G3,31.92720020315748,-10.574842561515382,-31.06329880368493,-14.031214374432032,-18.338258837064675
RR8_LVR_BSL_ISS-T_OLD_BI1,8.410387670355348,-12.318928576320028,1.9445813795212228,-1.5509274620904538,11.260974644669911
RR8_LVR_BSL_ISS-T_OLD_BI2,18.849604270327966,-6.117035615631314,-15.685919277214479,-28.829796871325815,12.046041436640078
RR8_LVR_BSL_ISS-T_OLD_BI3,-20.856135820972074,-7.700657730991403,0.6311021257686739,-19.1124393294932,-25.764858858515726
RR8_LVR_BSL_ISS-T_OLD_BI4,21.601893305589837,-7.987855779194652,-4.809330680268032,-27.94951574303546,6.275422260211417
RR8_LVR_BSL_ISS-T_OLD_BI5,12.748790372973318,-8.754958358516637,-5.8230345020364425,-13.176235038535642,17.020189086264743
RR8_LVR_BSL_ISS-T_OLD_BI6,28.89090113893192,-0.7727251763476798,-17.400038178325264,-24.85102455015917,-19.790783183974412
RR8_LVR_BSL_ISS-T_OLD_BI7,15.885445901959846,-7.832302559678043,-3.4790481706968834,-23.26902982163859,-17.32942450923987
RR8_LVR_BSL_ISS-T_OLD_BI8,-0.891650428303176,-5.8752119472523106,4.105880120974478,56.4005195628286,-14.584194090850819
RR8_LVR_BSL_ISS-T_OLD_BI9,43.478334295103984,-11.57660152065962,-9.37777228799407,-21.525640623366968,4.934459579213744
RR8_LVR_BSL_ISS-T_YNG_BI11,14.429642488904207,-11.593262462861622,6.27650667878035,-27.581278943025584,-26.108387512115314
RR8_LVR_BSL_ISS-T_YNG_BI12,3.046643787664341,-9.476439934050283,-6.462560564011136,-21.151658691299417,0.35124013927972225
RR8_LVR_BSL_ISS-T_YNG_BI13,12.028775431553756,-8.168046413525904,4.035657235922038,41.50805313099036,-28.680570578500426
RR8_LVR_BSL_ISS-T_YNG_BI14,-15.055812651885292,-7.830614030749846,7.614158392882045,-27.672772557492937,1.7044247979957674
RR8_LVR_BSL_ISS-T_YNG_BI15,33.259465355820964,-5.445749088982716,-4.91375001769742,-16.187467128548366,-9.592705143135177
RR8_LVR_BSL_ISS-T_YNG_BI16,32.982233827945095,-8.582362842742539,-0.5286407975753481,106.26141492454434,-23.938818722462994
RR8_LVR_BSL_ISS-T_YNG_BI17,-24.988641953040908,-7.064606944200317,6.422129657158044,-25.320095018568946,8.56115647927614
RR8_LVR_BSL_ISS-T_YNG_BI18,9.911872343909994,-9.062943214816666,5.1258548928844805,-29.33760948867568,-5.904119427488828
RR8_LVR_BSL_ISS-T_YNG_BI19,7.483338021655063,-7.320394653440085,-13.762816096802949,-7.6665161897419845,4.833123569857463
RR8_LVR_BSL_ISS-T_YNG_BI20,5.355426824876904,-6.522657744940239,-6.306856848665021,39.596410816505205,5.369699030197362
RR8_LVR_BSL_LAR_OLD_BL11,-3.014863393675164,-5.05144956275371,7.128975910939466,-12.138742732792583,-4.596037749841437
RR8_LVR_BSL_LAR_OLD_BL12,-10.60274345181497,3.1894660124141514,8.605859859138773,-14.493828922703214,36.41655932075615
RR8_LVR_BSL_LAR_OLD_BL13,5.1568645845013625,5.524810862162668,-1.910071312256955,-1.943786529960339,-13.630993626067516
RR8_LVR_BSL_LAR_OLD_BL14,1.6378284907348395,8.331306020059857,-1.5707170757855824,87.0011932228113,-20.76893279880851
RR8_LVR_BSL_LAR_OLD_BL15,28.171856573010594,0.6025020578174893,-1.8768165628678708,-16.19400521483125,-18.254062201247645
RR8_LVR_BSL_LAR_OLD_BL16,-5.311791856958634,13.19841205318943,-11.265166498284628,105.9221880931357,39.451118536115736
RR8_LVR_BSL_LAR_OLD_BL17,12.055325254653955,14.823989817991267,3.300360331287929,-3.6037713748071782,45.69676985006742
RR8_LVR_BSL_LAR_OLD_BL18,-23.54651175884757,15.04597110357066,6.269886753231722,-12.527153557415195,-4.025928276691923
RR8_LVR_BSL_LAR_OLD_BL19,28.496699487122537,3.537877589751141,4.090262445251773,-8.662470635904644,-6.450393486772546
RR8_LVR_BSL_LAR_OLD_BL20,22.39602976280965,19.634783663052186,3.8675450142591035,-18.991665516961174,57.5220814437898
RR8_LVR_BSL_LAR_YNG_BL1,-10.84923552470434,17.198347335206954,13.918784110444046,1.7057251505812674,46.871546107061185
RR8_LVR_BSL_LAR_YNG_BL10,6.187127877774861,20.982866480922514,-2.225745850206721,2.6852436363140226,-6.94880335677871
RR8_LVR_BSL_LAR_YNG_BL2,10.035000568631137,-4.771349198472479,-22.38099333176976,85.61641803239158,-16.81110801006015
RR8_LVR_BSL_LAR_YNG_BL4,-25.97963869214451,28.882787596052957,11.07886083852454,-29.08923547020725,24.04147218677748
RR8_LVR_BSL_LAR_YNG_BL5,7.5962953828496005,21.687187723659655,4.787243739683762,-23.934465846928568,7.793779428290746
RR8_LVR_BSL_LAR_YNG_BL6,6.357549209229683,23.946325377903072,8.500154083242077,-20.200399142874964,62.66775303437469
RR8_LVR_BSL_LAR_YNG_BL7,-22.883166312254275,23.692173159427412,16.708111114421335,-24.495802416524874,33.9440237196154
RR8_LVR_BSL_LAR_YNG_BL8,-28.448205678301075,15.694288352228154,5.614876607185336,-27.500214353269225,-4.62478469283774
RR8_LVR_BSL_LAR_YNG_BL9,-14.507188887199357,27.176709898230474,4.312793802599253,-29.374956105739333,26.749528320725453
RR8_LVR_FLT_ISS-T_OLD_FI11,-1.7539321671695904,-10.453340806682231,2.664327215614561,-16.028617142628317,2.6365518583693666
RR8_LVR_FLT_ISS-T_OLD_FI12,6.831509168101572,-14.060494559070644,-4.02466973046828,1.4692623282749666,-32.34561785462955
RR8_LVR_FLT_ISS-T_OLD_FI13,7.542913127987433,-15.151545163740483,-18.528123438417104,-17.78414707797955,-29.291824071144806
RR8_LVR_FLT_ISS-T_OLD_FI14,-4.614215510123951,-12.435761336891144,-7.332211133479014,-30.087060343768094,-25.43441686494735
RR8_LVR_FLT_ISS-T_OLD_FI15,-36.70991689887802,-8.589769642349687,-23.18568742180774,-30.944768937181436,-38.6419029491477
RR8_LVR_FLT_ISS-T_OLD_FI16,1.8293856677627207,-9.818354544412308,2.9006823628480785,108.56030524201647,-3.9852468244018935
RR8_LVR_FLT_ISS-T_OLD_FI17,-1.5171113819231705,-7.512476838632331,2.0372574183678207,130.4755204357924,-3.176661393658774
RR8_LVR_FLT_ISS-T_OLD_FI18,18.926793004919222,-15.901698896996798,-0.5855415440067675,-28.048775251307312,-17.54170777354751
RR8_LVR_FLT_ISS-T_OLD_FI19,14.798807655516423,-5.483934198931269,-16.588877203747405,-22.978418305752278,-24.673590815696574
RR8_LVR_FLT_ISS-T_OLD_FI20,-5.285523388732058,-14.700779969431132,3.1108730089091168,-23.685573319268553,10.475721255288109
RR8_LVR_FLT_ISS-T_YNG_FI1,17.066864129893638,-18.10219516800992,1.7514505866274932,-23.91823956903075,-19.42479036866795
RR8_LVR_FLT_ISS-T_YNG_FI10,8.932088053433302,-11.94870116018319,2.114814332157155,83.95994180938742,-20.646027819386507
RR8_LVR_FLT_ISS-T_YNG_FI2,-0.8249095338631551,-21.328145179298676,-21.590257213007167,-34.67165688192948,-35.151277449765836
RR8_LVR_FLT_ISS-T_YNG_FI3,16.41599877100418,-16.102759566104368,-4.325418890971459,-20.23001900876092,6.556894219066823
RR8_LVR_FLT_ISS-T_YNG_FI4,-18.49355143253197,-17.8361405478775,-0.021517990356013015,-31.84970172856414,-34.790032488504096
RR8_LVR_FLT_ISS-T_YNG_FI5,13.791282505292017,-16.319558557306998,-22.47940691682286,-25.410470757681328,-29.9162528374987
RR8_LVR_FLT_ISS-T_YNG_FI6,-11.079927618799355,-16.291536826624736,2.9959424192086335,-22.19837573300039,-32.71303298366359
RR8_LVR_FLT_ISS-T_YNG_FI7,-23.977488889131234,-16.35416876165088,-1.4649201092312876,-30.05096814354433,-15.89523652955598
RR8_LVR_FLT_ISS-T_YNG_FI8,16.45702790769959,-13.69496512418589,-14.913385417309483,-28.350426111776915,-30.95952308142818
RR8_LVR_FLT_ISS-T_YNG_FI9,-24.124925955433802,-15.319856621285872,2.327612083940233,11.993722817791644,-32.238910191000066
RR8_LVR_FLT_LAR_OLD_FL11,-23.171846500997173,6.715462506906807,-1.1602001056633098,39.18864725884426,41.89522110621292
RR8_LVR_FLT_LAR_OLD_FL15,-30.059087634412826,5.415343955316893,2.0282699000532283,42.652611974147334,3.6709351912092
RR8_LVR_FLT_LAR_OLD_FL16,-1.1355883418825004,20.429296163742794,3.4706799523934846,-19.195795137793073,8.181528289710954
RR8_LVR_FLT_LAR_OLD_FL3,28.32771272942272,13.315523464546432,3.035718089154041,-13.959134679287288,57.093675934957076
