gene,mean_z,n
PIGK,1.1576213851536759,3
PLOD2,1.1562368799084115,3
SLC25A24,1.155206822695191,3
HNRNPR,1.1548982846365117,3
A630089N07RIK,1.1548813070365604,3
ATF6B,1.1546012751852581,3
ZRANB2,1.1538272267812886,3
PRPF38B,1.153768495677138,3
MYEF2,1.1535875819230463,3
SPAG7,1.1512570289943647,3
MRNIP,1.1511109392405825,3
IMPACT,1.1505936528501222,3
PSAT1,1.1495459913591979,3
MUP22,1.1490276299752582,3
CREB3L1,1.1489403622355885,3
FAM25A,1.1475666124553214,3
MCUB,1.1460354936220887,3
GM16143,1.1458431614556164,3
HNRNPAB,1.145538408804174,3
EIF1AX,1.1449069971714598,3
COL18A1,1.144144198343048,3
RHBDD1,1.1435017388628028,3
REEP5,1.143291083109322,3
NUDT5,1.1432861311071143,3
GM10549,1.1420100859083273,3
RHOBTB1,1.141965223569212,3
ZCWPW2,1.1416672943159176,3
IDUA,1.141243551073164,3
SRSF5,1.1400129192777653,3
POMT1,1.1399301512604179,3
ELN,1.1395501021006107,3
PRAP1,1.139453340569941,3
PHLDA3,1.1374870141883635,3
CLPX,1.1363298267842334,3
CALM1,1.1346338271990717,3
GM13889,1.1341168028173902,3
PKMYT1,1.1331168243211052,3
SPACA7,1.1320768844993359,3
MIR684-1,1.1318956123251096,2
POLB,1.131301120006373,3
DYNLT1C,1.13111763466307,3
SAMD5,1.129806316355466,3
SIGLEC1,1.1293606105165657,3
ALKAL2,1.1292979887572432,3
GVIN-PS2,1.1284916176078323,3
CHAC1,1.1273964130590237,3
TUBB2A,1.126723914551034,3
ITGA2,1.1265850037519256,3
TMED10,1.1261969144240607,3
KDM2B,1.1260134845366632,3
SNRPA,1.1259649822471198,3
GM22489,1.1258411242363762,3
ANKRD33B,1.125839587999037,3
PNO1,1.1255652427606015,3
BLOC1S4,1.125454852157821,3
SCN3A,1.1252296848136993,3
GM4575,1.1248454329631972,3
MLLT3,1.124716012713307,3
BRD7,1.1234762117514234,3
TMF1,1.1234712082944989,3
CD9,1.1233948564125027,3
MRPL38,1.12312814596267,3
LRRC8D,1.1227454257972431,3
ANP32A,1.1225498643718386,3
ORM1,1.1222554875242186,3
GUCA2B,1.121663650370983,3
TRIM26,1.121509189858427,3
MS4A6C,1.1212069631772354,3
CDKL3,1.1210773953053554,3
MGST2,1.120783431155189,3
AKIRIN1,1.120413613087971,3
RNGTT,1.1200843669884535,3
DDX60,1.1200076917574373,3
RBMX,1.1196389696058768,3
SNORD59A,1.1185111758231332,2
GLT8D2,1.1182744949099408,3
MSH5,1.117942071624576,3
DRAM1,1.1177783862124318,3
ATG7,1.1161921694571044,3
GCC2,1.114449737976296,3
1700086O06RIK,1.113713362705645,3
NSDHL,1.1121825519165016,3
PERP,1.1121444277606396,3
HBEGF,1.1114369463320308,3
CNIH3,1.111427781291427,3
ACOT11,1.1109416469702411,3
F730311O21RIK,1.1106736095521492,3
GDF15,1.1102121952359687,3
GM6311,1.1096364259647398,3
MTHFD2,1.1094290617865425,3
RTL6,1.1094277799028114,3
IGHV10-1,1.1090117673752173,2
BUB1,1.107935868590101,3
PRG4,1.1075913352711229,3
GM30108,1.1074044334482172,3
CYP4F14,1.1069052664935888,3
ADISSP,1.1064767073552468,3
MYO5A,1.1059010823838873,3
SUMF1,1.105810330638896,3
UBXN4,1.1049263483291603,3
HMGB2,1.1047032841847064,3
IRF4,1.1045581587513824,3
RALGPS2,1.1044324296132417,3
CCDC17,1.1039414150728557,3
TUBA1C,1.1032656876376286,3
ND4,1.102769705207974,3
ABCD2,1.1026102217971057,3
ARHGEF19,1.1025440065731336,3
VPS52,1.1017734664083727,3
ZCRB1,1.1014624442379337,3
RIN2|BC039771,1.1011650958710373,3
ZFP36,1.100665268564631,3
DPT,1.1002489516969467,3
CAR5A,1.1002035126593592,3
ADAMTS10,1.0997428040904906,3
SP110-PS2,1.0996509740141147,3
GASK1B,1.0994271913607323,3
KLRC2,1.0988928402287887,3
ACYP1,1.0987386204310738,3
FOLR2,1.0984086732860678,3
TCERG1,1.0980329186532924,3
GPD1,1.0977699993099594,3
NEXN,1.0976785108161946,3
SLC7A6,1.0974865910062137,3
MYEF2L,1.0974129441386016,3
SLC35F6,1.0973000225698712,3
VMP1,1.0972999920174,3
SPATA2L,1.0972727414599024,3
ST3GAL3,1.0960052893165866,3
SPP1,1.0948903380566557,3
CKAP2,1.094834355892668,3
KCNJ13,1.0945694537299664,3
IFI208,1.09438373510617,3
TSPAN6,1.093415389937117,3
C1QTNF9,1.092871429939292,3
NVL,1.0926790490381697,3
PTPN6,1.0922505657882848,3
CYRIB,1.0921570026120941,3
IGHV10-3,1.0916125132954162,2
ADIPOQ,1.090268636262962,3
RFX8,1.0901281806540188,2
CDCA8,1.0890457874083834,3
TUBB4B,1.0887910916683896,3
SNX10,1.0878507111152735,3
A230072E10RIK,1.0873989900490033,3
PDLIM2,1.087050150168947,3
ANO3,1.0869319560974422,3
GM8738,1.0867553535170604,3
CMA1,1.085561028802158,3
GPSM1,1.085206773814224,3
CHAC2,1.0850577030399158,3
TH,1.084982094294591,2
AA467197,1.0838587016696026,3
RAN,1.0834149634876449,3
GM5088,1.082629069497005,3
NHERF1,1.0825097255597356,3
SORCS2,1.082436612626038,3
MDM2,1.082323678510028,3
GTF3C6,1.0821111256966276,3
SNAPC3,1.0815106580820477,3
FER,1.0814028676689704,3
GLO1,1.0811184885996854,3
CREBZF,1.080931744296252,3
SLTM,1.0803954243761835,3
LACC1,1.0802809369514297,3
ANKEF1,1.0796328615142772,3
TMTC2,1.0794714923422333,3
SHISA4,1.0793134656146948,3
COX20,1.077453139537182,3
ADAMTS8,1.07742390379095,3
TOMM40,1.0765668346229007,3
SRSF6,1.0754048509491891,3
ATF5,1.0745471295050122,3
GSPT1,1.073219068023251,3
KCTD1,1.0730299701215607,3
ATOSA,1.072726010083625,3
PYM1,1.0726961532779618,3
EHBP1,1.0711646770651297,3
XPOT,1.0710973072891947,3
CRY1,1.070955255525496,3
GM4632,1.0707861949876638,2
TPM4,1.0702615274905436,3
DIAPH3,1.0689729131496986,3
EEA1,1.068359771712414,3
MYSM1,1.0682969529075763,3
CTCFLOS,1.0670751272343852,3
ADGRE1,1.0669002818533617,3
UXS1,1.0665725048815524,3
ALG14,1.066316096776586,3
PTP4A2,1.0657826383554068,3
DALIR,1.0653453104184771,3
NAPG,1.0651004671694002,3
SAMD9L,1.0650670810818694,3
CC2D1A,1.0645299409331879,3
USP15,1.0644847090910101,3
ZFP1001,1.0643590484585341,3
FFAR4,1.0632705373397442,3
DNAJC21,1.062955406929375,3
CRLF2,1.0629482784800357,3
GM16104,1.062935511611961,3
FGF10,1.0627107572056687,3
PAXBP1,1.0625880108161156,3
GM13039,1.0609506460278482,2
CDNF,1.060698098048404,3
GM13219,1.0605280822123357,3
FGL1,1.0599997746159033,3
FGF18,1.0597550594751388,3
RRP7A,1.0596645924007024,3
UBE2L3,1.0595491375615083,3
NCAN,1.059025511713906,3
PROC,1.058479487067302,3
RAPGEF6,1.0579400108840054,3
AARS1,1.0578125119218091,3
TIA1,1.057392595085216,3
GM20008,1.0569695505836132,3
POU2AF3,1.0566933855378415,3
CCNL1,1.0561839864444487,3
STX16,1.0556801100253788,3
MORF4L2,1.0552083225737172,3
RPE,1.055045608000146,3
CCR5,1.053422395012286,3
TMEM176B,1.053311435824361,3
PPIC,1.0532374410259047,3
R3HCC1L,1.0532010613519265,3
GM5491,1.0531819917241374,2
SLC27A6,1.0530106209400476,3
BBC3,1.05300064712027,3
TTC34,1.0528829588478799,3
PDE7A,1.0520096153270382,3
BATF3,1.0519320173346522,3
D17H6S56E-5,1.0514153595734532,3
GM22265,1.05078861504056,2
PRR15,1.0506411909184246,3
PIGBOS1,1.048771609498851,3
DEFB1,1.048620077660962,3
EDF1,1.048317905841422,3
MFSD13A,1.0481005967227615,3
IGFBP7,1.0476251145613513,3
RMI2,1.0472949188081253,3
F8A,1.0468152939376336,3
DLGAP1,1.046633265306322,3
ZGPAT,1.046559322258218,3
ZEB1OS1,1.0458527799037602,3
PACC1,1.045666913468655,3
TYW3,1.0449795084048692,3
SFRP1,1.044821884889315,3
GPC2,1.0445054439995243,3
ADAM32,1.0438790830972065,3
ZBTB8OS,1.042618485850565,3
CCDC69,1.0421360910194544,3
PTER,1.042029126962313,3
COX1,1.041923006812872,3
SMC2OS,1.0415842257629808,3
PPP1R37,1.0410873411256027,3
STX6,1.0401695002784677,3
DTWD2,1.0394829214498866,3
FNDC11,1.0392730279438949,3
DYRK2,1.0387113965297756,3
PREX2,1.0380921615121077,3
ANKRD42,1.0376237406066904,3
CZIB,1.037522875046683,3
ST8SIA6,1.037066779132595,3
SOD2,1.0364445981176227,3
MYH14,1.0358835944544065,3
MS4A4D,1.0355058164243198,3
PLIN4,1.0343056618161734,3
CCDC28B,1.033877096986228,3
CDKN1C,1.0337603278421297,3
BECN1,1.0337215605903427,3
A930006K02RIK,1.0331834931556558,3
RTL8A,1.0330879524964847,3
LIPE,1.032946986415533,3
MTIF2,1.0328517055293058,3
NDC80,1.0323174915200297,3
FSD1L,1.0322581901174621,3
HOXD10,1.031963964167752,3
FSD2,1.0312445997740254,3
EXOC3,1.0312146563549385,3
PPA1,1.0311657639003995,3
SPATA31E3,1.030844428719598,3
ME1,1.0304057695663273,3
DERL2,1.0300490852696305,3
GM9517,1.0296831443731675,3
DGLUCY,1.0293045573409976,3
TACSTD2,1.02929034918128,3
SKIL,1.0283985434526168,3
HSP90AA1,1.0272856686130403,3
SNRPD1,1.0264896919151327,3
NRG4,1.026393593411372,3
IGKV12-98,1.026244443560235,2
RBMX2,1.0254427126337258,3
GM12022,1.0252168477259953,3
2310009B15RIK,1.0246228184894277,3
RRBP1,1.0227273328772988,3
RAD23B,1.0221471432236229,3
FAM149B,1.021803463812913,3
SH3GLB1,1.0216705152097487,3
COL4A1,1.0215174503759936,3
CIP2A,1.0211935562791978,3
4921531C22RIK,1.0210276288323683,3
HSP90B1,1.0209924711709721,3
GM3604,1.0205850104391432,3
0610043K17RIK,1.0203626916464603,3
REXO2,1.0203454454982188,3
B3GALT2,1.020145851862149,3
2010003K11RIK,1.0200054754485215,3
PTPRCAP,1.0198785943317303,3
GM7656,1.0195319163251035,3
LYPLA2,1.0183113958848833,3
GBP3,1.0182893205729844,3
ARHGEF7,1.0176514528229468,3
VILL,1.0170892720754385,3
RALGPS1,1.016034951291223,3
ELOVL6,1.0158394225777005,3
ACY3,1.0156836775546256,3
GPR183,1.015352657639651,3
GM2897,1.0151896293831906,3
POSTN,1.0139641399553192,3
PTMS,1.0139248586135838,3
LRRC71,1.0138338062185959,3
NKAPD1,1.0130845502920414,3
AVPR1A,1.0124743008998036,3
CAR3,1.0120543824833026,3
GPR27,1.0113392312903693,3
USHBP1,1.0110868430171545,3
TKFC,1.0109527667915652,3
CDC5LRT4,1.0104851985982903,2
TRIOBP,1.0104105240034045,3
GM9968,1.0100089206970957,3
FYB2,1.0096567966674066,3
CDC37L1,1.0094646693479603,3
COX8B,1.0093548955847222,3
HOXC4,1.0086043318131728,3
PRSS57,1.0079073303975352,3
CNPY3,1.006846198777253,3
CASP4,1.0064311123034506,3
HES2,1.003316047107219,3
ERG28,1.0033037233826303,3
GM53207,1.0033026152637246,3
SARNP,1.0029163249663675,3
ARF2,1.0025682899700505,3
CEP83,1.0025614388666433,3
SLC25A41,1.0024308846307173,2
LRRFIP2,1.0023077762527273,3
CHRM3,1.001632440218353,3
CD300LD,1.001446351832019,3
MTRF1L,1.0012633268969766,3
HDAC6,1.0009123901031798,3
GM10382,0.999835166759981,3
RDH11,0.9987541139729034,3
SMIM27,0.9982401384874672,3
RETNLA,0.9982103796550996,3
ZFP599,0.9981554697585603,3
NUDT2,0.9976415372754005,3
TTLL12,0.9973710327494308,3
DPP4,0.9965953237392499,3
HOOK3,0.9964289550566171,3
ANXA5,0.9964073283636697,3
SLC17A3,0.9953376854479904,3
CPT1C,0.995155509103542,3
ACYP2,0.9950794735355527,3
DUSP1,0.9944351147304377,3
IL23R,0.9939401705235928,3
4930515G01RIK,0.9939208624254574,3
ADGRF3,0.9938587473129497,3
SPDL1,0.9917837599127513,3
TNFRSF12A,0.9913981204113158,3
CNTNAP2,0.9909983506871395,3
HDHD3,0.9905017715972514,3
IGKV14-100,0.9903638248567214,2
NIN,0.9902055256573835,3
MAPKAPK2,0.9899192442823437,3
KRT8,0.9896214839186191,3
LDHA,0.9894264206836372,3
5430405H02RIK,0.9890897659925569,3
GM4924,0.9883723308689488,3
1700001G11RIK,0.9880849810800604,3
USP35,0.9875778106880571,3
PBK,0.9874217671450588,3
USP14,0.9871672625519367,3
RIOK3,0.9869067677943725,3
HSPA13,0.9868487172220769,3
UBE2U,0.9867105693992085,3
MS4A6B,0.9861638370872544,3
EME1,0.9861210530583818,3
RPL13-PS6,0.9859268748484762,2
MGLL,0.9853420589754758,3
GM2808,0.9852151805148425,3
ANK,0.9840877540109169,3
CLSTN3,0.9840534449613902,3
RUVBL2,0.984028947290064,3
HUNK,0.9840208421662752,3
LUC7L2,0.982955182467911,3
ENOX1,0.9828006426906196,3
C1RL,0.9825109531029721,3
L3HYPDH,0.9825002238015467,3
ENAH,0.9821678159245791,3
TCHH,0.9821398024669711,3
PDIA6,0.981333073159539,3
HAGHL,0.9811673641392841,3
NEFL,0.9811308049592767,3
HOXD4,0.9805028488802229,3
KLRC1,0.9802920479750615,3
HECTD2,0.9802918748828521,3
PATE2,0.9800039465684097,3
ACTG1,0.9794123162670618,3
RAD23A,0.9792650760046936,3
H2AC10,0.9791383150895273,3
PLEKHG5,0.9786178679530182,3
ENPP3,0.9781010963687335,3
SLCO4C1,0.9780350714153566,3
ZFP697,0.9778145892879048,3
ATP6V0A2,0.9777922941638169,3
DNAJC1,0.9777682759266604,3
ADAM12,0.9776242319849437,3
NEURL3,0.9776055869899859,3
APBB1,0.9775661607910638,3
GM31814,0.9772609244784555,3
GLMN,0.977252878236877,3
APLP1,0.9771941001157356,3
GSS,0.9771513931123111,3
UBE2N,0.9770157676093735,3
CYP2B10,0.9769456184918682,3
KLRA2,0.9768744345636712,3
TRIT1,0.9767580571687772,3
CHMP4C,0.9759515094478229,3
GM29036,0.9749048654985616,3
ANO9,0.9748975397545746,3
IRF2BP2,0.9748703419317204,3
COX19,0.9739726698177478,3
CABP1,0.9724818786418824,3
CX3CR1,0.97235380037305,3
KLHL2,0.9717785944222149,3
DENND10,0.9700677666994363,3
BASP1,0.9697310666697362,3
