gene,mean_z,n
FKBP5,1.65477238299126,2
MICAL2,1.6530369106069571,2
EPB41L5,1.652621734744847,2
REV3L,1.6513110388860108,2
PRKAG3,1.6508420473307925,2
ERAP1,1.6498900125385716,2
STBD1,1.6497432520185464,2
SACS,1.6494762134120364,2
SAC3D1,1.6493591849506295,2
RPL21,1.6487734918553256,2
FN3K,1.6459413993956438,2
GFOD2,1.6432813407971318,2
RPS28,1.6423339296583,2
PPARD|1810013A23RIK,1.6422925752214608,2
SH3BGRL3,1.6363072813494028,2
PRDM16,1.6362468255929534,2
TRMT10B,1.6349217476290794,2
RPS19,1.6311868260889302,2
2310022B05RIK,1.6307873751745836,2
RPL14,1.628392411057244,2
OLFML3,1.6272922285167732,2
TUBG1,1.6269385505655332,2
RTL9,1.626589507864816,2
HSPB2,1.625054191916824,2
SREBF2,1.6235747896805188,2
NTNG2,1.6227318928644645,2
IFT122,1.6215907435015957,2
2310002L09RIK,1.6182508065778758,2
6430571L13RIK,1.6182330789259933,2
RBSN,1.6163978046680945,2
MCC,1.6102550566049885,2
RPL8,1.6100439131491662,2
RALGAPA1,1.6090544707995877,2
APBA3,1.6074476006368972,2
GALNT10,1.60457689271657,2
RPL27,1.6028765134572263,2
DYNLRB1,1.6015403114248188,2
RASAL3,1.6007565758489273,2
SMARCD3,1.6003678624366398,2
ANKRD9,1.5975733123041291,2
SAMD12,1.5972591103935039,2
SEZ6,1.597213520169802,2
SNTA1,1.596508845217956,2
RAD54L,1.5955938102432614,2
PBXIP1,1.5937262490755257,2
GM14117,1.5930802821787622,2
MYADML2,1.5911963718335893,2
OR51R1,1.587413625744639,2
MAP7,1.5872800247170995,2
KERA,1.5870993821913908,2
ATP1A4,1.5870697842068384,2
GM5111,1.5867230329390623,2
IGSF3,1.5865679024532438,2
RPSA,1.586297005218952,2
HLX,1.5861627096031088,2
ACOT7,1.581824637871101,2
FAIM2,1.5797131099025703,2
RPL13,1.579343276949024,2
EAF1,1.5789235068087262,2
IRF2BP2,1.5779831433980418,2
GGH,1.5751958451384696,2
RPS15A,1.5739498603207727,2
UBE2J2,1.5739340329878277,2
RPL7,1.573404923179047,2
MED19,1.5733985247656168,2
ACBD4,1.573260561131659,2
GSE1,1.5718702021486624,2
TBC1D31,1.5708502229190542,2
MAP2K3,1.5702207560754604,2
NR3C2,1.5700389148145666,2
WFDC1,1.5697099803131254,2
RNF121,1.568806166137457,2
PAICS,1.5687002802056282,2
FOS,1.5682276132549597,2
SHISA2,1.5672926734211274,2
TTYH2,1.5671342237892838,2
HSPB8,1.5662868825973684,2
MXRA8,1.5648021132153125,2
GDF1,1.5647758172363755,2
0610010K14RIK,1.5639723504236875,2
PRR13,1.5632963814541365,2
CALM3,1.5615367677187797,2
KLHL8,1.5599313800767622,2
MTSS1,1.5593769442425887,2
TAF9,1.5586367852029122,2
TBL1X,1.5570334576817224,2
ATP9A,1.5559744566049503,2
ATP11A,1.5559702641940487,2
ZFP691,1.5556111584555927,2
TIRAP,1.55463616983684,2
RPL18,1.5545837915463008,2
TTL,1.5543561183112673,2
PWWP3B,1.5541524445208987,2
CCDC88B,1.5533527271152991,2
ARK2N,1.5527191227570716,2
H3C10,1.5517113640535645,2
AAMDC,1.549356939376969,2
STAT5B,1.5485548324154828,2
EHD3,1.5485241562168395,2
GSTM2,1.5482031842849429,2
IGFBP5,1.5471501090630462,2
NEXN,1.5470549418492505,2
COX10,1.5464070485928292,2
PHC2,1.5462543075387183,2
DCAF10,1.545397642506878,2
POLR2J,1.5449948583760003,2
1700017B05RIK,1.5449586922515062,2
RBBP5,1.5444163868584568,2
FGFR1,1.5433277070521407,2
GLUL,1.5385073574926247,2
AKT2,1.535619457177258,2
RPL26,1.5346601063796086,2
CAR9,1.5338226176532577,2
TRIM9,1.5305567478410715,2
TRIM63,1.5292006541150678,2
C1QTNF6,1.5290826565013078,2
GCA,1.527829889076962,2
HBEGF,1.5273616631760154,2
NDUFS2,1.5248315315891663,2
LMO7,1.523828987518066,2
RPL35,1.52209887996904,2
TMEM44,1.5215158598504521,2
CD82,1.520119465735541,2
NR1D1,1.5192658459485215,2
ATP6V1B2,1.5175646030356305,2
DNM2,1.5156827410453695,2
CTIF,1.5146045319563102,2
RPS12,1.5144333492031996,2
SMAD1,1.51435836392775,2
SFXN2,1.514199040713263,2
VPS39,1.5137935005552903,2
CPSF2,1.5136268679310796,2
ASPH,1.512953205961106,2
ATOX1,1.5111590263861017,2
BTG3,1.5108505328802033,2
RPL31,1.510151871646923,2
PKNOX2,1.509379473163926,2
MUS81,1.5091750721250166,2
CLASP1,1.508366069786349,2
AURKA,1.5078465028249863,2
XYLT1,1.507630989276284,2
FHIP1A,1.5071358456998174,2
TBC1D16,1.506547020931778,2
SYT3,1.5058371813009437,2
URI1,1.5050753958873189,2
SHISAL2B,1.5029156709458253,2
CILP,1.5028031583451769,2
RNFT2,1.5013356996612015,2
CADM1,1.5009524203152125,2
MRPS21,1.49896028736963,2
ANGPTL2,1.4987279595026564,2
NAA16,1.4986160284946501,2
1810009A15RIK,1.4984245184967655,2
CREB3L1,1.4975532397192994,2
HTRA1,1.4972389388438663,2
IRF7,1.4967296313585532,2
FAM110B,1.4958381889346264,2
RPS2,1.4953137485589996,2
PLEKHG1,1.49452802204286,2
BICC1,1.4937876152809002,2
RAI2,1.4934943722679261,2
TXNL4A,1.4930261768237434,2
LURAP1,1.4928630266961909,2
HSF1,1.4916060428144735,2
TIMM13,1.4900834881333396,2
MUC2,1.4886836129557244,2
PIGV,1.4870019022025236,2
PTCD2,1.4858195557423508,2
ANO8,1.4852356163042502,2
ERC2,1.4845418206391814,2
NIN,1.4829462535652183,2
PNPLA3,1.4809255822021035,2
SNTG2,1.4807074267770797,2
PLCD4,1.4805362771960722,2
RAB38,1.4787144729063,2
ANKDD1B,1.4772568472627374,2
CBX5,1.4761677440243712,2
HSPB3,1.4756484051478207,2
PFDN6,1.4753797305633258,2
TLN2,1.4753005021576155,2
MLH3,1.4741769694598477,2
GPER1,1.4723742724076172,2
ITGB1BP2,1.471695369773988,2
RCBTB1,1.4716519326147268,2
CACNB1,1.4712715542811892,2
MPI,1.470698832397509,2
FGF2,1.4684700158964665,2
DAAM2,1.4666805307357753,2
PALLD,1.4660023286611064,2
RXRG,1.465819900991367,2
GABRA2,1.46426850890187,2
LIPA,1.4636290578435407,2
UBE2L6,1.4614307685588357,2
GM31814,1.4611004539000811,2
SMDT1,1.4610598414282154,2
CACTIN,1.460140116002974,2
AGPAT5,1.459637784047168,2
LOXL4,1.457709722924625,2
EIF3F,1.455203358379655,2
CDCA7,1.4544847064310922,2
SUGCT,1.4540675991879404,2
LAMTOR4,1.4540140841568887,2
COL16A1,1.453950699330473,2
AUP1,1.4525829845294715,2
ADD3,1.4525686074007818,2
PLCD3,1.4516330895267706,2
RPL36,1.4514091716761255,2
IQGAP2,1.4510629064284095,2
PPAT,1.4506729677990404,2
BRINP2,1.4480498194555027,2
ETV6,1.4480004219308853,2
DEXI,1.446671666554378,2
TNFRSF23,1.4444832566068158,2
