gene,mean_z,n
GPR152,0.9825256244888136,2
C1QA,0.9817951651407227,3
IL3RA,0.9812373017913432,3
CIDEC,0.9811597642856166,3
BLOC1S1,0.9811447331303339,3
RHOJ,0.9809737609489861,3
DECR2,0.9806598542928358,3
ELOA,0.9806289037591056,3
NOA1,0.9804504873213841,3
TMEM53,0.9803149681493671,3
PNP2,0.979363742241321,3
COPZ2,0.9782396236738963,3
MRC2,0.9778415699991077,3
CD68,0.9775496289439106,3
GRPEL1,0.9774299005993177,3
IFNLR1,0.9771338011009517,3
CST3,0.9770966461986866,3
HRCT1,0.976873945971901,3
TREML1,0.976645274800271,2
NDUFS6,0.9765639459559049,3
ENPP5,0.9757190180799057,3
CSRP2,0.9755369920653679,3
CEPT1,0.9754054943502842,3
MPP3,0.9746539022980549,2
ANKS6,0.9739558102472056,3
PECR,0.9738622039481113,3
NPEPL1,0.972520867470822,3
VNN3,0.9714572126670656,3
ALDH1L1,0.9713636924744863,3
MRM3,0.9707920438850913,3
GM2541,0.970553803980297,2
EPS8,0.9705015927216637,3
ATP5MF,0.9703930051531923,3
MS4A4D,0.9695376904933274,3
TGFA,0.9693770224343058,3
MROH7,0.9693434723373319,2
F11R,0.9693361574464584,3
DDRGK1,0.969019002412724,3
S100A4,0.9688648601494578,3
SNX7,0.9688357942787297,3
ENTPD6,0.9686955529695543,3
SMAGP,0.9685236349272518,3
TWSG1,0.9681552163468506,3
SMIM1,0.9673473401655471,3
RARRES2,0.9670802532242524,3
ATP6V0E,0.9669667510838194,3
FDX1,0.9669222361796382,3
FCGR1,0.9668385393857181,3
STYXL1,0.9665217354855956,2
CD302,0.9664995070190256,3
ENTREP1,0.9656781320431018,3
SDHD,0.9650338530968084,3
ZCCHC24,0.9641069202109959,3
IFT46,0.9640820669858677,3
GUCY1A1,0.9640673717290635,3
ITGA6,0.9639596125212707,3
HSD17B12,0.9636225350734405,3
LAPTM4B,0.9631400892992699,3
TLCD1,0.9627661026496789,3
PLCH2,0.9622992620124758,3
ISCA1,0.9622705230189547,3
CECR2,0.961658116581004,3
H3F4,0.9602015559557047,2
GPAT3,0.9598622955543488,3
FADS2,0.9592657437314985,3
ZFP516,0.9585983910993021,3
DPF3,0.9585119813627131,3
ATF4,0.9582879401520183,3
HMOX1,0.9580880552591841,3
GLB1L2,0.9580666960705081,3
SMIM22,0.956742505742753,2
COQ9,0.9562189300406718,3
GPNMB,0.9554381677548512,3
WDR35,0.9540429213433375,3
PRSS12,0.9527946980057812,3
CCN1,0.9523727369175138,3
FEM1A,0.9523133210513701,3
DAZAP2,0.9517536487434434,3
GFRA3,0.9512915704573548,2
AACS,0.950897797713262,3
TAL1,0.9506687724253838,3
TPSAB1,0.9506304033684659,2
FLRT1,0.9489875141584238,3
MYL6,0.9489283260670293,3
MICOS13,0.9489082346581225,3
MLST8,0.9489078077187868,3
FABP3,0.9486652090156057,3
RUFY4,0.9483868404736474,3
CELA1,0.9481564691550606,3
XPNPEP2,0.9465537516657244,3
REP15,0.9461044933261435,3
VTCN1,0.9459584199249198,2
PSEN1,0.9452248455350089,3
DSTN,0.9449218645768446,3
NDUFA7,0.94479723644668,3
MRC1,0.9446726786637966,3
GPX7,0.9435927315519902,3
DDN,0.9434526719416128,2
4631405J19RIK,0.9434376291709775,2
TSHZ3,0.9426701564347771,3
CTC1,0.9424105254774319,3
GATA2,0.9414873994191296,3
MRPS24,0.9414569457358583,3
CYBRD1,0.9414499443111556,3
MATN4,0.9411286367953391,3
MYLIP,0.9409991803278556,3
TMEM205,0.9402283691574714,3
KPNA6,0.9394551576498031,3
MFGE8,0.9391593404306576,3
PGF,0.9386254327562099,3
CCDC40,0.9381047702553514,3
ATG9A,0.9379674326193187,3
FOXJ2,0.9370608113318998,3
FLI1,0.936644402790029,3
PDGFA,0.936497247084282,3
IL12RB1,0.9361350971041658,3
AAR2,0.9360010478310951,3
TNFRSF1A,0.9358540103029868,3
NTF3,0.9355199807607552,2
GGNBP1,0.9352179852468504,3
ACOT2,0.9350688766235855,3
FCER1A,0.9350111702232103,3
BTNL9,0.9349549488325168,3
VMAC,0.9348681373444289,3
TOMM40L,0.9340215637829417,3
YIF1B,0.9339288407275985,3
CHN1,0.9337474384302006,3
PTPRJ,0.9337174034478982,3
SLC8A1,0.933697734669566,3
TNRC6C,0.933192295498709,3
SULF2,0.9322099877039305,3
PRICKLE1,0.9321110771329094,3
CD164L2,0.9317177699476967,2
TNFRSF1B,0.931365756756545,3
YARS2,0.9311110464731224,3
SLC12A2,0.931090956768247,3
ENTPD4B,0.9310871910078191,3
OGFOD3,0.9298114541472601,3
PMP22,0.9298061010099768,3
SELENOS,0.9289584510664862,3
GATD3A,0.9284351315848763,3
FOXS1,0.9276718570877178,3
ATP1A1,0.9275655173233585,3
TMC5,0.9271498167313753,2
KCNK7,0.9267645559663122,2
TAX1BP3,0.9264273251247449,3
SYDE2,0.9259769423339167,3
IFNGR1,0.9256823880595214,3
LAPTM4A,0.9255569596290968,3
RSL1,0.9252485186759712,3
HBB-B1|HBB-BS,0.9251866201254936,3
DRC1,0.9250113376387707,3
SLC35A2,0.924590833322061,3
CLIP1,0.9239360494910484,3
ATRAID,0.9238349100002029,3
ASAP3,0.923522751222757,3
CAR2,0.922748729393052,3
SLC49A3,0.922519727193927,3
TEAD4,0.9223119720052236,2
TMEM231,0.9216672929574771,3
RPL7A-PS11,0.9210041060919897,2
TMCO6,0.9205723720523006,3
MYB,0.9204765725247869,3
CMA1,0.919759013180788,3
PLPPR3,0.9196864601426592,3
MSR1,0.9187879931838042,3
SYF2,0.9182361205141071,3
PARP16,0.9180232802891356,3
WDR19,0.9179969512318619,3
USP54,0.9177718466643627,3
GM5050,0.9175140114676559,2
SLC38A2,0.9175134702890189,3
GRINA,0.9173699601145087,3
RPL36-PS12,0.9172723808994543,3
SPARCL1,0.9172480067875872,3
FN3KRP,0.9172189480865471,3
RMDN1,0.9170621864452734,3
COX7B,0.9169856730610242,3
PTPRU,0.9167234746451705,3
RETN,0.9160088587460021,3
CRAT,0.9158695276998502,3
LPAR1,0.9157045494839241,3
BC028528,0.9150993807741242,3
GM17823,0.9146827237390845,3
COLEC12,0.9145117930795928,3
PHAF1,0.9144495282406847,3
ERN1,0.914439782325465,3
FBXW4,0.9144300812583362,3
MRGPRB1,0.9142286193217217,2
ISLR,0.914107498655102,3
GPR161,0.9140832039602397,3
TMEM123,0.9140459760373214,3
INPP5D,0.9135633172566796,3
PGRMC1,0.9134218491495213,3
HSD11B1,0.9131465631435703,3
PTTG1,0.9127735021781893,3
0610040J01RIK,0.9121741912502949,3
RGS3,0.9116387301840431,3
PRDX3,0.9115328827663594,3
NPTN,0.9114741601757298,3
DYRK3,0.9113408455342175,3
HSPB8,0.9108545135264762,3
FLAD1,0.9097028387324926,3
IL33,0.9096963519435185,3
GATA6,0.9091470577977668,3
LPPOS,0.9091013284993724,3
NOM1,0.9089425772268142,3
NLGN2,0.9080423507056437,3
TPM4,0.907711873229878,3
CXCL15,0.9074290737726415,2
SBDS,0.9074280143981066,3
ZFP27,0.9070696378862472,3
KHDRBS3,0.9058036468347619,3
GZMM,0.9049061817172626,3
CDKL5,0.9048439286236386,3
SLC29A2,0.904698983257485,3
TNNT3,0.904586441967148,3
CAMK2D,0.9038459407787188,3
SELENBP2,0.9034771979073208,2
TTLL11,0.9027170259407322,2
TMEM216,0.9020768287370737,3
FXYD5,0.9020521282025052,3
MYO1C,0.9017151219346441,3
ZC2HC1A,0.9013630303645236,3
RASGRF2,0.900748837291145,3
