gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreenyellow,kMEmagenta,kMEpink,kMEpurple,kMEred,kMEturquoise,kMEyellow
ENSMUSG00000082127,yellow,0.3430675049919311,0.283361975407864,-0.07147100975123058,-0.35964504221960847,-0.010856443357305639,-0.2488662351601951,0.004774050489341527,-0.005552455252741251,0.06126313611690268,0.08383444462929794,0.3430675049919311
Ccn5,brown,0.4485454269583555,-0.11691155072600423,-0.23198601531242877,0.4485454269583555,0.22966629472477323,0.035457663538185955,0.5269981443889389,0.3325231534952642,-0.33972465838864396,0.255481196838039,-0.1900882544095187
ENSMUSG00000090638,brown,0.3192803007697326,-0.38264455514808215,0.016760827088780832,0.3192803007697326,-0.0906889146177666,0.3263585370335037,-0.07328422002934906,-0.031331302520154584,-0.004069613097684644,-0.03494381353236748,-0.40523120544967245
Gm11454,blue,0.33636373541538706,-0.06735487449829124,0.33636373541538706,0.04747331906624094,0.01863244302370211,-0.13979393922963917,0.08354565103224665,0.2077026825231801,-0.1784241301379843,-0.2778280607211205,0.06507642654795999
Gm53174,blue,0.5553713242305993,0.32647565790275085,0.5553713242305993,-0.5532850371935705,0.20807120629717318,-0.3475347208148807,0.012255564160790922,-0.12543094550353584,0.19114144839889569,-0.5196447527694988,0.5521240188514548
ENSMUSG00000108075,yellow,0.38788415148082117,0.2959298711950254,-0.02254004909912158,-0.38184562883161965,0.1725206511854454,-0.17725476393934667,-0.05655145287399415,-0.20058268096966,0.2536520411530545,0.06081813947964971,0.38788415148082117
ENSMUSG00000117789,magenta,0.5409820168546189,-0.2792737131733735,0.03459556331173008,0.007932395300785286,-0.20508558348109807,0.5409820168546189,-0.1812014720446439,-0.4285745194950562,0.4197327431768484,-0.05710622109975093,-0.30482678968591576
LOC115488024,blue,0.4255953641941675,0.3916887483917967,0.4255953641941675,-0.5691076492189449,0.2571460520701838,-0.5355217265146445,-0.04773065598096689,0.03387640092511476,0.0321011561182993,-0.3868968104670456,0.6669267749564173
ENSMUSG00000111039,turquoise,0.1433680866932506,0.13130269263905248,-0.118533953070767,-0.006531546436074023,0.12431750475250139,-0.19800252715441388,0.08057060495555667,0.14706366164688067,-0.09222013097075535,0.1433680866932506,0.1871974912382159
Hif3a,yellow,0.20052015196138376,0.010432819831650376,-0.047612032889905676,-0.16357408621250308,-0.08055579388929898,-0.1718433963961717,-0.1444806173249234,0.031935113935771225,0.013271972783778683,0.040377742988487404,0.20052015196138376
Gm2308,purple,0.44289338235862263,-0.04201601487076859,0.009468811489617947,0.15798033994489893,0.005226239286502364,-0.214447531830994,-0.02627784368519857,0.44289338235862263,-0.35567603622646743,0.009484891172142471,0.07943870679959583
Gm23442,yellow,0.8042802195829476,0.5832918049017912,-0.03286754613435251,-0.39528749722158113,0.40387591277315477,-0.6645924729161077,0.1358721616129979,0.311522943047092,-0.16173593908504533,0.09446536510852992,0.8042802195829476
ENSMUSG00000097154,blue,0.6951003026549114,-0.07626776288372421,0.6951003026549114,-0.2491267248229127,0.15349073580741224,0.003086597623018941,0.027594385587032214,-0.21954025166828064,0.23477216888614985,-0.6790872016409292,0.15851499566450147
Psrc1,turquoise,0.3360377834530039,0.3804359907359652,-0.2842211733691698,0.35370262040691636,0.07286300928602385,-0.12029012546658997,0.12242904057422252,0.3580084468767272,-0.414857228393008,0.3360377834530039,-0.16109931905264543
ENSMUSG00000108219,yellow,0.7296992718079185,0.548196714592326,-0.06740092341202611,-0.43146738351762487,0.3300480523352114,-0.6894470548131079,0.049820635285755706,0.3062019221902196,-0.20787398670266624,0.11055670277484525,0.7296992718079185
