gene,mars_delta,mars_delta_lo,mars_delta_hi,mars_se,iss_delta,iss_delta_lo,iss_delta_hi,iss_se,mars_over_iss,mars_over_iss_lo,mars_over_iss_hi
ZFP385A,-4.041767968063695,-59.85626896768621,54.366460553170604,28.70712390098078,-0.2908015319587281,-1.848096646424276,1.3508827736299662,0.8373932134554771,13.898716216657764,-44.30900307274334,-29.417541911760736
ITGA5,53.038397482032686,-89.20967398559517,200.4209338647983,73.11530448111934,1.3835988216654933,-2.5236565499753136,5.410593074174642,2.0211797017767497,38.33365326098518,-16.487965877789403,-79.41688177290163
GABRA2,8.317404637001788,-80.18968292404014,92.95172398916125,44.88914322831419,0.8077911250846749,-1.6576452202757612,3.127287257324191,1.2328279396304767,10.296479348086345,-25.64193063372536,-56.07455856790518
WDR77,4.433423158217085,-41.78925115637795,52.59614289147999,23.428943222337438,0.3938474109369343,-1.0133688567981611,1.7046302937566424,0.6852390392159549,11.256702558156455,-24.51514050256806,-51.90226889117423
ADORA3|TMIGD3,30.485718792865963,-121.42750119522951,183.63344418869434,79.43399753397547,1.0810433345210186,-3.2793666994871864,5.306128594436824,2.165593264297996,28.200274512004988,-22.88438718250051,-55.99661794986519
ATP5PB,-0.6168585067690394,-43.24584554394845,45.40165959856672,21.85092787054879,-0.5212384093934427,-1.7757633508887125,0.7701480672519441,0.631858432697461,1.1834479110756024,-56.152637892423776,-25.567404336757285
SOX9,-3.0523110760207475,-35.69050449179512,29.358303190187836,16.946073016187345,-0.4776133541233822,-1.3979216943907842,0.5275555433374042,0.48890958389978517,6.390757397525032,-67.65260064563259,-21.001393216794032
HNRNPD,27.920304670198064,-52.93506909240103,105.33039235451743,40.39785691647947,2.1625036563113844,-0.1154836394686316,4.227984961588114,1.151222928824154,12.91110171708202,-12.520164942241795,-912.0806448356517
DYNLT1C,-11.482938672909393,-291.6576168464731,270.23663734809895,140.92900223069572,-1.0964686765139449,-9.089191325644165,6.569594547394664,3.952361085023428,10.47265546100017,-44.39507107210097,-29.731648027438442
C1D,8.945454381589213,-66.6247243074711,84.01474384385456,38.863300943429195,-1.31062546189824,-3.667015459978822,1.0709698682966668,1.1680803956791515,-6.825332363551898,-62.2097094229504,-22.91093254467484
GM2A,3.429947317854128,-32.37851258362205,40.016132183895,18.869378745373094,-0.5797645287289127,-1.619749471846886,0.46566609120637337,0.5417484342251189,-5.916104121399101,-69.53160901138618,-24.70513673837932
KRIT1,-1.246238321764221,-27.11603228876264,24.95645392421916,12.813738267442693,-0.3051048202963326,-1.04440672650446,0.3619181657763641,0.3667983740577097,4.084623509237953,-74.92310376461771,-23.895340092021694
CLCN4,-4.0494448591943035,-31.475242782340043,24.20397771555365,14.070802256636734,-0.439699569937476,-1.2290881841536274,0.38375625579290484,0.41273447496950283,9.20957202612257,-82.0188395816686,-19.692629078702723
GRM6,4.127062938598403,-121.17207622153046,132.88347887659216,64.02086614733823,-0.31663298025963316,-3.8544828172743215,3.093689132226517,1.7755028299583513,-13.034216888001648,-39.16750230632363,-34.47504767204023
SEMA4F,-27.05402143501673,-81.62195655198985,27.108387054754765,28.725149962417746,0.29679918841520386,-1.3774394321806793,1.8804300557729552,0.8239074727666991,-91.15261257780062,-43.40600507921522,-19.68027516958651
HK2,-5.568833885860924,-79.22677620104211,70.15805083984435,37.371251434003284,0.4561817999683861,-1.6266190532277736,2.523148383678697,1.0870281369568842,-12.207488080951169,-31.399967086173167,-43.13121176136881
MYO18A,9.130069170564271,-40.09100364009663,61.48682388402961,26.066024264633462,0.7735409244507493,-0.6926004691663157,2.1637985522127994,0.7398850509389839,11.802955579948213,-18.528066579533355,-88.77675748334592
SEZ6,46.30027997291169,-53.27966514523207,144.00201300848263,50.06666911013897,2.2652872686050816,-0.45405037539094406,5.096352753698505,1.4500181773484835,20.43903244175405,-10.454469641365812,-317.14986004470273
HAAO,120.76041843329361,-111.31705756977703,339.54649434889586,115.46204640261287,1.1311044722143102,-5.428363473932426,7.685861631014803,3.2926915949967626,106.76327554154798,-14.483354360762709,-62.550434579304415
