gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
PRDM15,ENSMUSG00000014039,10.022562489720412,0.4546911998906986,2.320689492371853,0.03299379333921504,-0.11645330758149865,-0.7279439561624347,0.47655557021094586,-0.3564095799511686,-1.4090470046548742,0.17685055004555994
RNF168,ENSMUSG00000014074,10.178485579769992,0.23910089027996564,3.386359313396438,0.0035098659996970483,0.08105003389053071,1.4058878401433357,0.17777164682783342,-0.31028506190082106,-3.4039904837836623,0.0033784738046744867
DYNLT2B,ENSMUSG00000014075,6.970706847972972,0.1476835295500915,0.7320630786253707,0.47410246049966465,0.04507333786132625,0.27364139184388786,0.7876570930812641,-0.21077952759736607,-0.809320409739018,0.42951348889438723
CHP1,ENSMUSG00000014077,12.456579401537144,0.2872326982682491,3.338917380377548,0.003889049654451693,-0.04368800197767906,-0.6219845650412654,0.5422046745492133,-0.21659597464514677,-1.9502837454220372,0.067829243780825
SVAL2,ENSMUSG00000014104,0.549528181102572,-0.014984257314221252,-0.020182872942119946,0.9841324887810723,0.8432812876217779,1.3911240437965915,0.18212793314352926,-0.14725540433925563,-0.15363658021216012,0.8797053235678098
TRPV4,ENSMUSG00000014158,9.620734072861458,-0.21911053032057365,-1.4760677621561318,0.1582085372990587,-0.09587120512963618,-0.7910006881884322,0.43984039805697717,0.24620124953235403,1.2847212958273306,0.21612010740695542
KLHL3,ENSMUSG00000014164,7.290951277948514,-0.3621291338847352,-1.598197058678017,0.12841859696959435,0.18201786380499171,0.983844594319335,0.33898799834868365,0.2196139880753424,0.750762349731758,0.4630618288451067
TVP23B,ENSMUSG00000014177,9.321872347837898,0.03899936337967815,0.5057144478450822,0.6195513359540399,-0.013839343672281937,-0.21979052548304745,0.8286518524477415,-0.08610215096086836,-0.8648433883717969,0.3991645889014379
DNAJC7,ENSMUSG00000014195,11.320608041704288,0.1974039754363497,1.5248402525601932,0.14568655870798275,-0.1035029272040526,-0.9791894267691941,0.34121664449076805,-0.14866393655493765,-0.8895076902624774,0.3861448679605308
ZFP385C,ENSMUSG00000014198,4.379022365564735,-1.4867646665669205,-2.439312408271408,0.025971563143346144,-0.5980249693463946,-1.201683617662672,0.24595986380092394,0.8513407356638013,1.081942630503645,0.29438717436889283
CACYBP,ENSMUSG00000014226,10.070678077154538,0.41935662867784457,2.6830678145529165,0.01572059006718529,0.018526463262129495,0.14517314536970177,0.886281500479468,-0.38446610760180555,-1.9053809701807054,0.07378720950942785
CLUAP1,ENSMUSG00000014232,9.008668831788448,0.051615504789774745,0.6486871218144696,0.5252073879466366,-0.0450991103399691,-0.6941745722695062,0.4969502705810962,-0.0552400377914923,-0.5377552875027094,0.5977161246002227
ZSWIM7,ENSMUSG00000014243,6.976210447795708,-0.22931991661582368,-0.8614972774101499,0.40095288623480885,0.09882180132726912,0.4546848978858352,0.6550883798723883,0.13714920145452683,0.3990993703215138,0.6947888457283014
PIGL,ENSMUSG00000014245,7.672047713169165,-0.08218622084592027,-0.8065651049318894,0.4310567906667542,-0.03829597732379041,-0.46029812399183023,0.6511352514885882,0.170617253134967,1.296997051944647,0.21195985349550495
NDUFA2,ENSMUSG00000014294,10.460626459162247,-0.20720021367070204,-2.0613041660350766,0.05490965834001482,0.03210643045342282,0.39119161345800685,0.7005151371995075,0.16970892663894863,1.3077724795689352,0.20836027107161237
PAM16,ENSMUSG00000014301,8.7013705439382,0.03002992274893338,0.2142987272312089,0.8328635276376155,0.019618435075192755,0.17146495420045557,0.8658826366601111,-0.02798371509115533,-0.15468434845775939,0.8788918154196219
GLIS2,ENSMUSG00000014303,9.475490157206945,-0.3066677684407354,-1.9535467762385843,0.06741354832993318,0.14679517532204717,1.145283735220299,0.26795965225977825,0.11434982039053664,0.5642437973031205,0.5799571463428488
COX6C,ENSMUSG00000014313,11.684527206728951,0.1290511614918122,1.5801595566042457,0.13249582811684935,-0.04060002207905861,-0.6088508598152738,0.5506734075380071,0.020355481738925537,0.19306165933808747,0.8491984329409314
BICC1,ENSMUSG00000014329,10.10641370000258,-0.35261102311728526,-1.4182140203158133,0.17419970897151615,0.11570784300374518,0.5699730439093003,0.5761517515561156,0.22192015628684036,0.691382311723612,0.49865907883894156
UBE2Z,ENSMUSG00000014349,11.510185562993861,-0.014070313196309544,-0.3076403027554374,0.7620931165649025,0.07247807997888246,1.9408491192753257,0.06904412115790826,0.02031410471902036,0.34404304081842557,0.7350327548619648
TMEM87B,ENSMUSG00000014353,11.314648908916917,0.13055209728243744,2.212443990960092,0.04090983908575185,-0.03641326769985823,-0.7557770772116768,0.46012773700201226,-0.07752735392004503,-1.0176982287583474,0.323087259864111
ANAPC1,ENSMUSG00000014355,12.674305077911317,0.23563189911691074,2.9419707612010164,0.009113617747512182,0.037005264661491115,0.5658657558432142,0.5788785299978896,-0.2499059754804509,-2.416888050325391,0.02718095407389276
MERTK,ENSMUSG00000014361,10.281301245626253,-0.009478975585244659,-0.08249463081288026,0.9352169370225683,-0.003045273418165474,-0.03245907951128051,0.9744840051533243,-0.010412097863594495,-0.07019046914771745,0.9448611413884345
TSG101,ENSMUSG00000014402,10.821585665225305,0.29231728091478654,2.989617969314004,0.008234919109460836,-0.06176287762395371,-0.7736318777073579,0.4497734671677944,-0.20061089830290696,-1.589246825950505,0.13042825815264703
HPS5,ENSMUSG00000014418,10.790760060875957,-0.0924487811746676,-1.1584089767162313,0.2627123400317375,0.0011041476181299743,0.016944684769915317,0.9866780274239928,0.06819464787075713,0.6618912513961097,0.516913414281368
MAP3K4,ENSMUSG00000014426,11.746131346187948,-0.2454406886762221,-3.1258707291856775,0.006153572372605831,0.0450185094432879,0.702200596254026,0.4920574945712817,0.17491015685193712,1.7255005709597229,0.10256685928356091
PIEZO1,ENSMUSG00000014444,12.3100961677729,0.060961556322639616,0.5535001314203085,0.587127605561812,0.043097829312533,0.4792506480880904,0.6378672697904313,0.03286098496302299,0.23110954597440989,0.8199883263861847
BLK,ENSMUSG00000014453,5.210969681382363,-1.3323964376327317,-2.8308741934739174,0.011530439101347545,0.5799649535910776,1.5091572229226815,0.14961985807689948,0.5153131713104483,0.8480744410112473,0.40817920618217496
RNF166,ENSMUSG00000014470,9.612961525353427,-0.10949844933421088,-0.8144635956938971,0.4266420659962171,-0.054981110921978396,-0.5008674956952603,0.6228872571602739,0.10034731485488549,0.5781560697773496,0.5707389153239624
ANKRD28,ENSMUSG00000014496,11.357592460179735,-0.01853742070506082,-0.3178908862662989,0.7544393192324592,0.01694045678012723,0.35579473466471373,0.7263710388317639,-0.020769962037058047,-0.2758926297169879,0.7859562725918106
ANKRD52,ENSMUSG00000014498,11.571652722210173,-0.16508518615821138,-1.6633080402120326,0.11457502470756742,0.004458299909687261,0.05501479419923834,0.956768068495307,0.17175510536479785,1.340447667789723,0.19773991614482034
