gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_HLUxIR,t_HLUxIR,p_HLUxIR
ENSMUSG00000103748,ENSMUSG00000103748,7.122099783798139,-0.296985961065883,-0.8860187581709797,0.38796926179538027,-0.2170734230174973,-0.7931572177095553,0.43861673792957423,0.014664543328166416,0.0338884078097115,0.9733608597597905
PCDHGB5,ENSMUSG00000103749,8.35573808044304,-0.182314672148677,-0.6355282049021376,0.5335463116966053,0.09335987314533298,0.3985832931779096,0.6951619818059105,-0.009946163592039257,-0.026856191927202448,0.9788871819821903
ENSMUSG00000103751,ENSMUSG00000103751,4.781714485920066,-0.609776184178116,-1.785664366212742,0.09200409033875889,-0.08442221577561355,-0.30278318289884254,0.7657287146176988,0.04041704215599995,0.09167892799042668,0.9280247989033248
ENSMUSG00000103753,ENSMUSG00000103753,7.711573649635748,-0.04679794258736356,-0.1293812885739744,0.8985744221382688,-0.1768467127625714,-0.5988076403156617,0.5571969567834234,-0.26160377268585033,-0.5602273924198993,0.5826325040951281
ENSMUSG00000103755,ENSMUSG00000103755,1.621281224627311,-0.5539570678788872,-1.0451537902947565,0.3105864120156312,0.10936694750630896,0.2527177884833163,0.8035167247728365,-0.3025044847248653,-0.4420908585976575,0.6639960694221232
ENSMUSG00000103756,ENSMUSG00000103756,6.993310712355476,-0.12689329501979182,-0.5004320371274014,0.6231873771747121,-0.1412531260919027,-0.682260342203904,0.5042652131792771,-0.002889391536492542,-0.008826498499495244,0.9930603186888161
ENSMUSG00000103761,ENSMUSG00000103761,3.1661565897237454,0.013169608380802503,0.02730229610310306,0.9785365716283936,0.15479778211891007,0.39303993130977727,0.699175024980029,0.03152383373097543,0.05062219414605997,0.9602166219461581
ENSMUSG00000103763,ENSMUSG00000103763,5.05929203957988,-0.1605922868047765,-0.5258440565208844,0.6057888984233779,0.15962982849377633,0.6401650554401486,0.5305995913906498,0.22775272808202124,0.577658941490321,0.5710669969042499
ENSMUSG00000103766,ENSMUSG00000103766,2.282692866458495,-0.9411961563637357,-1.116794251526625,0.27961868477848517,0.17542100641150812,0.2549295930515449,0.8018359143346232,0.5632849742607101,0.5177222340902181,0.6113237758421461
ENSMUSG00000103767,ENSMUSG00000103767,0.290754275513405,1.1651435271248645,1.8294755674100533,0.08492322612797931,-0.2907542755134043,-0.5591378939233604,0.5833593088551203,-0.5426107453065703,-0.6599502566256321,0.5181279686249771
ENSMUSG00000103768,ENSMUSG00000103768,3.7092984493208845,-0.2215001936237572,-0.42676625774474386,0.6749051800258243,-0.31775638864381306,-0.7498180400044683,0.46361560960878223,-0.12938704297065418,-0.19310004597675934,0.8491688408927374
ENSMUSG00000103769,ENSMUSG00000103769,2.988908695155459,0.2502956273194715,0.47781169049289834,0.6388702825626082,0.3225290002836866,0.7540808444441786,0.46111892313029457,-0.6683162407355632,-0.9882370887242152,0.33689446081489116
PCDHA9,ENSMUSG00000103770,2.9579525806027225,-1.8357820848454207,-1.8969099725470437,0.07496212641838129,-0.28618024545949977,-0.3621686662866178,0.7216888799073398,1.6196287571549384,1.2963333584623975,0.21218315545721467
ENSMUSG00000103772,ENSMUSG00000103772,9.645080319009804,-0.13784025021969543,-0.381720702345531,0.7073978411612933,-0.08933731835140926,-0.3030038892698772,0.7655633910836319,-0.07099174435811668,-0.15228359967146252,0.8807560093531004
ENSMUSG00000103774,ENSMUSG00000103774,6.5546755990273535,-0.3465991419262831,-1.0112147336655615,0.3260908138679288,-0.06855900736514842,-0.24497741976522916,0.8094065938312482,0.13707969490553193,0.3097880492753824,0.7604873266347631
ENSMUSG00000103776,ENSMUSG00000103776,1.1071732062495305,-0.13993860900367705,-0.2365715123412161,0.8158162396201882,-0.44456751409413975,-0.9204670514724371,0.37020673321762887,-0.024337023195839566,-0.031868966138867756,0.9749477238902791
ENSMUSG00000103778,ENSMUSG00000103778,4.874144550922145,-0.00855278731561105,-0.02036290840987678,0.9839909678677017,0.01686540401252173,0.04917841348923667,0.9613502896004009,-0.28022625174636645,-0.5167929475472556,0.6119586231021348
