gene,mars_delta,mars_se,iss_delta,iss_se,mars_over_iss
DRP2,-10.170477390877137,22.58113418676462,0.09471441175456885,0.6433239344605363,-107.38046304116472
TSPAN32,55.68746976917957,121.46743486867518,0.4789738818530904,3.4605395575899203,116.26410516108243
LHX2,-55.384468847426234,80.8593671510194,-0.7872387508145116,2.3036383284977946,70.35282344793501
GMPR,19.28673200564252,23.208728468748454,0.5196411994630671,0.6612037459612103,37.115478960427005
GLRA1,60.62171748855366,182.25052421057876,-0.5342301329706558,5.192215914529471,-113.47491230316558
MID2,14.380185764444418,34.12174305018016,-0.27024265371588413,0.9721094524366095,-53.212124609917524
TRIM25,-35.30100225374358,48.20220953266797,-0.6210538770340974,1.3732540991861548,56.84048286169135
DGKE,-15.539091483694762,23.130865309270337,-0.08565650986394302,0.6589854679203158,181.4116814749642
SCPEP1,-17.07430304413773,31.153761688474,-0.22168357185195192,0.8875533167161337,77.02105709276711
MNT,-14.298188567916217,31.00030441045085,0.5038562780398903,0.8831814043465896,-28.377513967949863
ITGB2,-39.67408043855794,48.22606112492835,-0.8465517169011287,1.3739336177634403,46.8655129349783
HDDC2,24.89952863771082,39.99306281493532,0.48984136476876344,1.139380081993919,50.83182113349083
TPD52L1,8.300961690111853,26.556549141579545,0.14452780298006063,0.7565812920712003,57.4350506888773
PEMT,11.333685036837714,60.28213368333438,-0.8766801653745033,1.7174044092775986,-12.927958775018197
CDH1,-94.90481548179235,128.0087644310371,0.09491814055165948,3.6468983930610026,-999.8596151400599
CDH4,1.6741122597521887,61.495568678199675,1.0078743593106183,1.7519744963534907,1.6610326915125355
CKMT1,-9.81789654873791,25.19038142548847,0.3858326339955022,0.7176599348453171,-25.445998300009947
BCL6B,-35.23505822422047,97.43066453900327,-2.3567180914253916,2.7757453602607027,14.950900726064177
CLEC10A,-96.65976627672397,134.91916109377345,0.2661989735190802,3.843771744637832,-363.1109654515469
ALOX12,49.217735195481254,104.29903411053994,-0.44791125776317786,2.971421383419887,-109.88278223072466
COMT,-15.48227254320202,23.783893495001454,-0.7170467463645599,0.6775898771711322,21.591719956470655
RTCA,-12.806481820632792,12.290625670583335,0.34227944367169705,0.3501530790253993,-37.41528174539263
DBT,25.49769955166969,33.61926459962159,0.17885491445189217,0.9577941212791321,142.56079923667951
DAZAP2,-12.870152101559196,16.347016130624475,-0.8542876038127796,0.4657173836736303,15.065362114723767
MCTS1,-15.49014295457809,24.765304937524952,-0.07283891105045792,0.7055497424864388,212.66302215648935
REM1,50.994377774394195,106.40926425077406,0.4374270972312162,3.0315406646395315,116.5780037340473
RNF17,60.866173400787645,103.50452826560081,-0.9627813123807398,2.9487863544664825,-63.219105541505996
TRAPPC10,-20.285062070242564,13.032064400923575,-0.19345275556378466,0.37127625544421167,104.85796395675654
CCM2,21.87746193754137,37.95782130949605,0.28961176799292654,1.0813971852081592,75.54065254031978
TBRG4,-14.282926271358873,22.270508407177804,-0.0968068352133368,0.634474379030066,147.5404731482344
TMPRSS2,30.99824872770545,66.0779424943358,0.12620363482649521,1.8825237738248364,245.62088699205734
MX1,-4.2153654593805925,118.59430897804364,0.5025988868690012,3.3786858014023813,-8.38713648102308
FAP,-17.205314943880577,131.2537779409548,-0.2821206354337431,3.739347020366952,60.985666353077875
NDUFA9,-4.733374636485671,15.286380369059358,0.08715165842797942,0.4355004616396829,-54.311928445942854
EGFL6,21.28603059096841,52.47754450105184,-2.1353836141958764,1.4950560109169444,-9.968246665123967
LCK,0.29712464432532215,95.3416251389919,1.1949552360742035,2.7162297914259854,0.2486491839656423
TSSK3,-47.54122048921431,94.44260395189804,-0.35609497210859864,2.690617178593472,133.50713773828747
CTTNBP2,14.970982653124807,35.14238558943462,0.14770395417758597,1.001186989844621,101.35803564964172
GALNT1,10.434284769770322,28.471673240621985,-0.15341471140537488,0.8111421108585173,-68.01358666444526
MKRN2,2.678693737587164,47.989492520251524,0.27864895423783287,1.367193909993592,9.613148360502516
PPARG,-94.4452872860427,74.02030874787444,-1.534728610723887,2.108797364198693,61.53875455641345
RAF1,-4.306463131491078,21.97044459704907,-0.028000062920670477,0.6259257282260519,153.80190907756565
SEPTIN1|GM4532,46.901514678644794,72.4142488947342,0.2209022163737865,2.0630416136170027,212.31799050527948
PDGFB,-23.641946577621386,49.36080428616259,-0.45280788900487146,1.406261818333422,52.21186987174386
ACVRL1,3.3307464312051778,40.96980219206677,0.33346559577986623,1.1672068427687183,9.988276072125696
TAMALIN,4.428739252055934,94.1068436886133,1.9322027186461181,2.6810515557232786,2.292067602078069
ACVR1B,-3.5386775555252576,28.90584096495794,0.5340003450544315,0.8235113074774947,-6.626732713374098
TOM1L2,-0.043097528828384024,21.100616492427214,0.40575578944683793,0.601144810051551,-0.10621543783056892
ZFP385A,-4.368111524762771,28.56350857705506,-0.2712522838447953,0.8137584484378438,16.103501370930797
ITGA5,54.31866474954851,73.67823818436152,1.3971872680522799,2.0990519643900676,38.87715411640583
GABRA2,8.57560669196944,44.59106801140877,0.7948075691994165,1.270374688783823,10.789538278563912
WDR77,4.5591825535252255,23.20978937213921,0.38567809507573075,0.6612339705078506,11.821212072285299
ADORA3|TMIGD3,31.72680927426111,78.92774983545094,1.041231223851345,2.2486076271589774,30.470474326450567
ATP5PB,0.03190899760072696,22.219354872733746,-0.4876237978775979,0.6330170433281507,-0.06543773650837419
SOX9,-2.485386769044476,16.941482145748026,-0.45586570471907867,0.48265338930511514,5.452015238953024
HNRNPD,26.678635676228406,41.221042025754564,2.132382203339872,1.1743645256806763,12.511188488837808
DYNLT1C,-6.894278544419194,140.70180398617796,-1.0336576972358937,4.008516019498145,6.669788811958929
C1D,8.506233290005426,39.80085304396698,-1.3240364740155264,1.133904132686927,-6.424470516441133
GM2A,3.950564791701833,19.045767724083262,-0.5650441361743026,0.5426033132675994,-6.991603909828344
KRIT1,-1.607723734339645,13.152048452498756,-0.30805266152068167,0.3746945342380689,5.218989916864288
CLCN4,-3.489434434908092,14.375115577302289,-0.41599104867116155,0.40953903533045105,8.388244040478066
GRM6,4.486010425468763,64.08343038507873,-0.2994617092287435,1.825701234848536,-14.980247180924653
SEMA4F,-26.826066720751992,29.89541975566536,0.35041826101557727,0.8517038559930489,-76.55441997516073
HK2,-5.195393386801662,38.043116873710126,0.4709189376279071,1.0838272083198583,-11.032457970307325
MYO18A,9.450760404652476,26.756405426745623,0.7922024488583272,0.7622750863082975,11.929728844277523
SEZ6,44.46522478136377,49.85776808571919,2.2138180522613853,1.420420040155717,20.08531131812894
HAAO,123.98672103568128,111.60082265984406,1.224360797250756,3.17944527182539,101.2664904937234
CD52,-10.293632139739373,63.6574445051515,-0.32769189341317606,1.8135651344191797,31.41253215794529
ABHD15,43.671654748329004,78.70145903468759,-0.9714991336461982,2.2421607282975087,-44.95284991600765
LOXL3,83.43046606192476,62.474039005512125,-0.3692797609864098,1.7798505709347436,-225.92753482906193
BTN1A1,3.5516148697795984,110.04455368258324,-0.6970932858711956,3.1351080355621597,-5.094891805392948
KAT2B,43.18721181874942,44.12410167776849,0.25380780218731247,1.2570710780557957,170.15714823012755
RAB5B,-10.392550246247687,10.806402469874765,-0.3112546904137369,0.30786838680400025,33.389216504443155
CRYBA1,69.91275381951077,85.75737172659285,1.0060787859641473,2.443179750487592,69.4903369347082
DNMT3L,22.612666484699616,122.10032071036284,0.4461957556293239,3.4785701226789625,50.67880229565661
