gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
ENSMUSG00000105516,-0.38261770042239485,-3.590250326331325,9.383387967592274,-2.3114170344805856,6.041061435288729,-3.1003535239834314,8.103006004585684,-2.9446719937995,7.696120672276004,True,6.041061435288729,3.1003535239834314,0.13645199020105414,True,True,False
ENSMUSG00000105517,0.2122511708780111,1.583831537852077,7.46206266519192,1.3813343673311675,6.508017654824027,1.7316271716554543,8.158386898372811,1.6701513714046643,7.868749861288466,True,6.508017654824027,1.7316271716554543,-0.09331524866830931,True,True,False
ENSMUSG00000105519,0.17209043351677827,1.4413761030186325,8.375689883296754,1.2011926609606454,6.980008338717636,1.5218071206928403,8.843066343629548,1.4643916937727548,8.509431139471104,True,6.980008338717636,1.5218071206928403,-0.055801547913666205,True,True,False
ENSMUSG00000105526,0.2529759739266243,4.318001248810788,17.068819547516494,1.9813871896695865,7.83231371309707,2.9421339797082973,11.630092510530915,2.7362347584795628,10.816184304020934,True,7.83231371309707,2.9421339797082973,0.31863521796836336,True,True,False
ENSMUSG00000105528,-0.7706941598021193,-1.3638951378403839,1.7696969939289182,1.5247849308911565,-1.9784565790438258,1.3786953229420273,-1.7889007012795013,1.4630400266974561,-1.8983406168188703,False,1.7889007012795013,1.5247849308911565,-0.11796346257640344,False,False,False
GM5279,-0.5728595802909555,-3.5176932390045765,6.140585511754799,-1.2934707005275237,2.257919296506431,-2.0126802900701675,3.5133920411140314,-1.8486002551161822,3.2269692586397487,True,2.257919296506431,2.0126802900701675,0.4278408737426723,True,False,True
TRAV7D-2,-0.7997236135594586,-0.3850349592256661,0.4814600353138618,-0.49582864040686125,0.6199999999999961,-0.471436389818224,0.5894991492372298,-0.477741446725531,0.5973831941752604,False,0.5894991492372298,0.49582864040686125,-0.2877496666900312,True,False,False
ENSMUSG00000105535,-0.4245529518592521,4.224799607291816,-9.95117237741506,2.5417622213199866,-5.9869144948558315,3.5984541310377605,-8.475866473849699,3.3905603902067893,-7.98618965045102,True,5.9869144948558315,3.5984541310377605,0.1482544817446515,True,True,False
ENSMUSG00000105541,0.47691908106785497,-0.5921001729068909,-1.2415107644280816,1.2400867232402528,2.60020362461408,1.067732340143817,2.23881237410986,1.1342510406203954,2.378288237242948,False,2.23881237410986,1.2400867232402528,-1.094386693305795,False,False,False
ENSMUSG00000105542,-0.7044473019571993,-1.958277870991598,2.7798784459118826,-1.7476518191120851,2.480883686056432,-2.114694221576628,3.0019196832769075,-2.0503114219143015,2.9105249125347266,False,2.480883686056432,2.114694221576628,-0.07987444116182885,True,False,False
ENSMUSG00000105545,-0.320511505989561,1.739651906304187,-5.4277362085118,0.7747533747605935,-2.4172404431116647,1.2253151322869063,-3.822998892048557,1.1314949674343224,-3.530278777171809,True,2.4172404431116647,1.2253151322869063,0.2956549940556593,True,False,True
IGLC3,-0.09386576699349142,-2.1089737797537773,,-1.3685887510524068,,-1.8521395517965735,,-1.7576292655822416,,False,,1.8521395517965735,0.12178161266053733,True,False,False
ENSMUSG00000105549,-0.5792375536057641,-10.656399905518406,18.397287674430164,-5.1221327704786335,8.842887928438454,-7.5056795679145,12.957860762292622,-7.000357586407815,12.085469153079705,True,8.842887928438454,7.5056795679145,0.2956646114577878,True,True,False
GM19710,0.09189606499496472,-1.9747837493771012,,0.9978725520019549,,0.5735771663994065,,0.7051376948486681,,False,,0.9978725520019549,0.4946927468302743,False,False,False
