gene,ensembl_id,beta_intercept,beta_HLU,t_HLU,p_HLU,beta_IR,t_IR,p_IR,beta_T,t_T,p_T,beta_HLUxIR,t_HLUxIR,p_HLUxIR,beta_HLUxT,t_HLUxT,p_HLUxT,beta_IRxT,t_IRxT,p_IRxT,beta_HLUxIRxT,t_HLUxIRxT,p_HLUxIRxT
ADIG,ENSMUSG00000044405,0.25118044537208156,-0.2511804453720831,-0.4508785591024289,0.6551175725431309,-0.09195832790915873,-0.23344244382182366,0.8169047814030201,-0.25118044537208056,-0.5703212779594012,0.5724429070752759,0.22629771236658536,0.3316716043721365,0.742299775270804,0.8225880225821636,1.1583224036773596,0.25530445399187607,0.7606030172088569,1.2872281836970634,0.20724786588373778,-1.1220883836574798,-1.2146033562398018,0.23340449147480724
SPTSSA,ENSMUSG00000044408,7.183659315987332,-0.6065387142725731,-2.8479732282470764,0.007625868755714249,-0.46299831656403523,-3.074480805066478,0.004291067071027221,-0.5672569842347732,-3.369125736530342,0.0019797135536738786,0.6877586029789883,2.6367428572285374,0.012807986384211656,0.39193397691978915,1.443655626438482,0.15855539018192744,0.21677935224683156,0.9596636151418193,0.34441992027450063,-0.03997480776284942,-0.1131872251772933,0.910589244996963
GM9493,ENSMUSG00000044424,4.1376460579596985,-1.8764092083267803,-1.0096854754531446,0.320220147405216,-1.2308458224324323,-0.9366497189416362,0.35595438175072136,0.3855224290679217,0.26240263651169743,0.7946929900362196,2.0876008499652707,0.9171922761902016,0.365903189776805,0.5019980456511257,0.2119014346531928,0.8335278394215448,-0.6346280706690892,-0.32195974139146954,0.7495770799433443,1.6873113445161723,0.5475041720391618,0.587831117828201
CRYGA,ENSMUSG00000044429,0.31420749726657016,0.6575763247502855,0.7914899841284768,0.4344859958549414,0.9453357651319961,1.6091641248533493,0.11740309513693092,0.3339318158783665,0.5084134665412262,0.6146507324314965,-0.17955055923130037,-0.17645760789108603,0.8610464981052761,0.3189711560718264,0.3011785129798996,0.7652267883036701,-0.2984645286016358,-0.33870040655163947,0.7370479114349273,-1.1482722059972188,-0.8334465646485693,0.41077100022059176
CAMSAP3,ENSMUSG00000044433,8.380024050675685,0.12569012059082943,0.7576767090957994,0.454188265086809,0.13281347022075796,1.1322437095455176,0.2659451830090993,0.059863173351155506,0.4564597844116476,0.6511425881521722,-0.05616932149428115,-0.27646257109634637,0.783970643800042,-0.10304434469518436,-0.4872818927578206,0.6293801302094182,-0.03927724594248558,-0.22322743103658899,0.8247773980588735,-0.12726820730964244,-0.46263275078183114,0.6467582342113765
ENSMUSG00000044434,ENSMUSG00000044434,0.6247018844558476,-0.6247018844558505,-0.9916192913014467,0.32882266772184354,-0.13065019042829698,-0.29328995975850236,0.7711942161672471,-0.04813252917052403,-0.09664309395249647,0.9236125783965861,0.6323322358625716,0.8195431863777899,0.41853900669368826,0.22455504278234756,0.2796200318018033,0.7815685234547636,0.27196458511057353,0.40701296574889134,0.686708231816477,-0.6615666241740421,-0.6332561135512705,0.5310665258016294
N6AMT1,ENSMUSG00000044442,7.955161771928185,0.042767101541674485,0.23567389697793495,0.8151875623172817,0.05653103386967656,0.44055850662069446,0.6624945405774416,-0.004438118445497646,-0.03093574258136172,0.9755129311749142,-0.08508127954131499,-0.3828159712889651,0.7043873615448852,-0.231924986307598,-1.002588046404775,0.3235811636190502,-0.04252058918200696,-0.22091473170698397,0.8265623720050539,0.21972043580135273,0.7301393757652462,0.47061680274315787
PFN3,ENSMUSG00000044444,0.7411189999908048,-0.2882084893877433,-0.5033907858475053,0.6181373004681032,-0.559644787424689,-1.382375262877045,0.17642952756501273,-0.5588324297459537,-1.2346392657945051,0.2259544126076536,0.4419909344011092,0.6303274563827277,0.532956185935809,0.685145971700584,0.9387607402462483,0.3548858323768891,1.063519555670945,1.7513288885864244,0.08947050528220313,-0.9908296844552578,-1.0435929944735072,0.3044938330183211
DOCK5,ENSMUSG00000044447,8.245544817979072,-0.038027182797899114,-0.08819694955716785,0.9302697907502624,-0.6111036749530544,-2.0044226676057386,0.05354877817123227,-0.5799222755904986,-1.7013324849426252,0.09857958036660208,0.5178919603806004,0.9807378846555379,0.3340790990306812,-0.28421507852255207,-0.5171063185360621,0.6086379922422824,0.5058062308771436,1.1060310671117604,0.2769591270197054,0.13944329998772073,0.19502519341345112,0.8466062240497878
ZFP507,ENSMUSG00000044452,8.47018637035435,0.1489518278624388,0.8617845088890888,0.39521825999220717,0.11243013182737381,0.9199210650997048,0.3644970681757844,0.15146497657894809,1.1084728477155177,0.2759195910747534,-0.1882552870179252,-0.8893125035592928,0.3804720681058926,-0.15398851587908258,-0.6988991250010804,0.48966396312901006,-0.17392832518001178,-0.9487393195522236,0.34986365157349053,0.3620360917568846,1.2631018380780261,0.21567869581494792
