gene,iss_delta,linear_mars_delta,linear_mars_over_iss,cap5_mars_delta,cap5_mars_over_iss,sqrt_after5_mars_delta,sqrt_after5_mars_over_iss,log_after5_mars_delta,log_after5_mars_over_iss,linear_extreme_gt5,min_bounded_abs_over_iss,max_bounded_abs_delta,max_abs_delta_shrink_frac,bounded_sign_stable,robust_regime_flag,saturation_sensitive_flag
STK36,0.29068382142128746,60.2869503154286,207.39699244580538,1.779309093293869,6.121114978446358,5.5589635265903965,19.123745860399303,2.7754311325303327,9.54793809631361,True,6.121114978446358,5.5589635265903965,0.9077915950714834,True,True,False
PTPRM,0.17497195591737047,10.494538626218269,59.978403803031476,1.015406259086374,5.803251462570915,1.3628487754640108,7.788955483286753,0.9492375360067906,5.425083871469453,True,5.425083871469453,1.3628487754640108,0.8701373329496128,True,True,False
RPGRIP1L,-0.348313616008735,-41.73120632077355,119.80928795998321,-1.595079003166057,4.579433389494758,-5.646506060249608,16.21098286352379,-3.3887575012326656,9.729041144195989,True,4.579433389494758,5.646506060249608,0.8646934378832272,True,False,True
WDR3,0.4538934837815123,-6.568091676126052,-14.47055732416659,0.9090469993025114,2.0027760516167565,1.215471522418957,2.6778783257528334,1.4409339398414565,3.174608121351813,True,2.0027760516167565,1.4409339398414565,0.7806160433053915,False,False,True
KCTD17,-0.2306534584364201,-0.6849889314204702,2.9697752466576963,-1.3628165665310101,5.908502633211858,-2.1320014746325944,9.243310241629363,-2.024313725891916,8.776429105440535,False,5.908502633211858,2.1320014746325944,-2.112461204608717,True,False,False
NOC4L,0.9544746367771894,13.255901362734804,13.88816512452728,2.2319430718723696,2.3383995612587345,4.559845110856144,4.777335023016002,3.7447169500934523,3.9233278767234667,True,2.3383995612587345,4.559845110856144,0.6560139528742381,True,False,True
PTPRF,0.5265715086850166,-1.4849264127342003,-2.8199900454972213,2.365766151032334,4.492772799159331,3.087963251383225,5.864280919973543,3.1468486453373483,5.976108835048506,False,4.492772799159331,3.1468486453373483,-1.119195010844372,False,False,False
LPP,-0.3148049398923385,15.503559640405426,-49.24814599703409,0.11482359399259279,-0.36474521026214457,1.182983191205548,-3.7578291865754125,0.4062982130487758,-1.2906348076613012,True,0.36474521026214457,1.182983191205548,0.9236960273224961,True,False,True
MIF,0.5569455561521911,-4.636312139114983,-8.324533857754783,2.356703018025736,4.231478269272235,2.707674512351696,4.861650268041274,2.9304972773783566,5.261730244558353,True,4.231478269272235,2.9304972773783566,0.36792493916560287,False,False,True
DPYD,-0.6543706125502349,-30.014846346739674,45.86826757052065,3.111234755935515,-4.754545354367776,-0.1918101219153856,0.29312154035746935,1.7074306151263547,-2.6092715387570653,True,0.29312154035746935,3.111234755935515,0.8963434721606206,False,False,True
