source_id,glds_prefix,sample_id,true_label,organoid_type,microglia_condition,disease_context,donor_or_line_id,ipsc_line_id,matrix_path,n_features,sample_sum,sample_mean,sample_median,nonzero_features,zero_fraction
OSD-871,GLDS-720,GSM8115919,Ground,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,26926171.76,962.1300565,56.83071815,22034,0.2126777675
OSD-871,GLDS-720,GSM8115920,Ground,dopaminergic_neural_organoid,with_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,29641400.58,1059.151025,62.85894269,25178,0.1003358822
OSD-871,GLDS-720,GSM8115921,Ground,dopaminergic_neural_organoid,with_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,30363107.11,1084.939152,62.1064249,25122,0.1023368827
OSD-871,GLDS-720,GSM8115922,Ground,dopaminergic_neural_organoid,with_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,31195319.48,1114.675891,61.4315499,25050,0.1049095977
OSD-871,GLDS-720,GSM8115923,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,30477862.47,1089.039608,62.51360333,25384,0.09297505896
OSD-871,GLDS-720,GSM8115924,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,28062362.99,1002.728614,58.91706752,25494,0.08904452226
OSD-871,GLDS-720,GSM8115925,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,26671228.42,953.0203822,57.5897423,20828,0.2557707425
OSD-871,GLDS-720,GSM8115926,LEO_or_ISS,dopaminergic_neural_organoid,with_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,34692051.09,1239.621635,63.51323823,25458,0.09033087973
OSD-871,GLDS-720,GSM8115927,LEO_or_ISS,dopaminergic_neural_organoid,with_microglia,no_known_diseases,Subject3,UEC741iPS517,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,33863356.11,1210.010581,65.72105403,25135,0.1018723648
OSD-871,GLDS-720,GSM8115928,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,24616835.16,879.6124904,63.79499517,22904,0.1815907954
OSD-871,GLDS-720,GSM8115929,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,28750277.42,1027.309277,63.16629796,25609,0.08493532481
OSD-871,GLDS-720,GSM8115930,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,28223339.41,1008.480648,64.37892198,25669,0.0827913957
OSD-871,GLDS-720,GSM8115931,LEO_or_ISS,dopaminergic_neural_organoid,without_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,29441521.81,1052.008926,67.04344309,25731,0.08057600229
OSD-871,GLDS-720,GSM8115932,LEO_or_ISS,dopaminergic_neural_organoid,with_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,26111698.06,933.0271586,63.64682672,25831,0.07700278711
OSD-871,GLDS-720,GSM8115933,LEO_or_ISS,dopaminergic_neural_organoid,with_microglia,sporadic_parkinson_disease,Subject4,HDF410iPS504,v9/human_organoid/matrices/GLDS-720_rna_seq_Normalized_Counts_GLbulkRNAseq.csv,27986,28649353.24,1023.703039,66.67520175,25942,0.07303651826
