sample_id,geo_accession,geo_series_accession,geo_pubmed_id,geo_sample_title,geo_subject_id,donor_or_line_id,ipsc_line_id,geo_source_name_ch1,geo_cell_line,geo_cell_type,geo_treatment,geo_title_organoid_type,geo_title_microglia_condition,geo_title_spaceflight_condition,geo_title_replicate,geo_biosample_accession,geo_sra_accession,geo_metadata_status,geo_metadata_source
GSM8115913,GSM8115913,GSE259421,39441987,"Subject3, Dopaminergic organoid, with microglia, Ground1",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,1,SAMN40179178,SRX23771858,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115914,GSM8115914,GSE259421,39441987,"Subject3, Dopaminergic organoid, with microglia, Ground2",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,2,SAMN40179177,SRX23771859,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115915,GSM8115915,GSE259421,39441987,"Subject3, Dopaminergic organoid, with microglia, Ground3",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,3,SAMN40179176,SRX23771860,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115916,GSM8115916,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, Ground1",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,1,SAMN40179175,SRX23771861,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115917,GSM8115917,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, Ground2",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,2,SAMN40179174,SRX23771862,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115918,GSM8115918,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, Ground3",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,3,SAMN40179173,SRX23771863,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115919,GSM8115919,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, Ground4",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,without_microglia,Ground,4,SAMN40179172,SRX23771864,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115920,GSM8115920,GSE259421,39441987,"Subject4, Dopaminergic organoid, with microglia, Ground1",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,1,SAMN40179171,SRX23771865,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115921,GSM8115921,GSE259421,39441987,"Subject4, Dopaminergic organoid, with microglia, Ground2",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,2,SAMN40179170,SRX23771866,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115922,GSM8115922,GSE259421,39441987,"Subject4, Dopaminergic organoid, with microglia, Ground3",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid with microglia,"ground control, no microgravity exposure",dopaminergic_neural_organoid,with_microglia,Ground,3,SAMN40179169,SRX23771867,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115923,GSM8115923,GSE259421,39441987,"Subject3, Dopaminergic organoid, without microglia, LEO1",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,1,SAMN40179168,SRX23771868,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115924,GSM8115924,GSE259421,39441987,"Subject3, Dopaminergic organoid, without microglia, LEO2",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,2,SAMN40179167,SRX23771869,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115925,GSM8115925,GSE259421,39441987,"Subject3, Dopaminergic organoid, without microglia, LEO3",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,3,SAMN40179166,SRX23771870,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115926,GSM8115926,GSE259421,39441987,"Subject3, Dopaminergic organoid, with microglia, LEO1",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,dopaminergic_neural_organoid,with_microglia,LEO_or_ISS,1,SAMN40179165,SRX23771887,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115927,GSM8115927,GSE259421,39441987,"Subject3, Dopaminergic organoid, with microglia, LEO2",Subject3,Subject3,UEC741iPS517,UEC741iPS517,UEC741iPS517,iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,dopaminergic_neural_organoid,with_microglia,LEO_or_ISS,2,SAMN40179164,SRX23771888,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115928,GSM8115928,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, LEO1",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,1,SAMN40179163,SRX23771889,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115929,GSM8115929,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, LEO2",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,2,SAMN40179162,SRX23771890,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115930,GSM8115930,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, LEO3",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,3,SAMN40179161,SRX23771891,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115931,GSM8115931,GSE259421,39441987,"Subject4, Dopaminergic organoid, without microglia, LEO4",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid without microglia,38 days microgravity exposure,dopaminergic_neural_organoid,without_microglia,LEO_or_ISS,4,SAMN40179160,SRX23771892,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115932,GSM8115932,GSE259421,39441987,"Subject4, Dopaminergic organoid,  with microglia , LEO1",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,dopaminergic_neural_organoid,with_microglia,LEO_or_ISS,1,SAMN40179159,SRX23771893,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
GSM8115933,GSM8115933,GSE259421,39441987,"Subject4, Dopaminergic organoid, with microglia, LEO2",Subject4,Subject4,HDF410iPS504,HDF410iPS504,HDF410iPS504,iPSC-derived dopaminergic organoid with microglia,38 days microgravity exposure,dopaminergic_neural_organoid,with_microglia,LEO_or_ISS,2,SAMN40179158,SRX23771894,parsed_from_geo_series_matrix,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259421/matrix/GSE259421_series_matrix.txt.gz
