,MEblack,MEblue,MEbrown,MEcyan,MEdarkgrey,MEdarkorange,MEdarkred,MEdarkturquoise,MEgreen,MEgreenyellow,MElightcyan,MElightgreen,MEmagenta,MEmidnightblue,MEorange,MEpink,MEpurple,MEsaddlebrown,MEtan,MEturquoise,MEwhite,MEyellow
RR-1.Mmus_C57-6J_GST_GC_Rep5_M37,-2.834297126967503,0.15992745974737932,-2.257269602975865,-0.5799856055388077,-8.813938725805048,0.15981607745875662,0.3333141916122354,-3.1050609674449223,-1.8986836636278133,-1.7865814378010454,-2.2424224818810683,-3.8607566488564418,-1.345083242165696,-14.47178071439267,-0.4519926759605571,0.9249098116082599,-2.2782816336578486,-1.6575885576214513,-2.2878903346640915,-3.1580375031075163,-2.9345475556496976,-0.8766788820878644
RR-1.Mmus_C57-6J_GST_GC_Rep6_M38,0.1331928983277556,2.6453514384020074,2.7969615311199703,-0.21566321430166874,6.101655817563362,-0.6234469325721615,0.36622519929654074,1.187828777445899,1.7822580982843947,1.7169792609434336,-0.9775493053247508,-0.7574063400554036,0.9871687014063706,-20.127094476280554,0.33286922713128525,2.926580905548928,2.06631947546778,-0.6709571970656353,1.0032138835158821,1.1655851204865728,1.2955293662709415,2.715777894820374
RR-5.GSM5398358,4.6534518963846265,2.2150878702937016,1.6837015108787594,2.0306076997838405,5.653350358121182,-0.0718088644611689,0.7648706432509703,2.53777812903919,1.101394701390019,1.1399166147381512,-2.262522764303869,7.944590028012164,1.9968421167774963,-0.9447985369361332,0.6304655050347038,5.333571907727691,0.8873287505172142,1.7366834981611357,0.7640241897560226,3.9136810649947,2.6265993507649825,1.0639228870808886
RR-5.GSM5398359,4.947114302066962,2.838995008118322,2.830974070317348,-1.102649724432547,2.3395417569867467,1.6685708069441616,1.8423059148934826,1.8504968243438291,2.36135418407395,2.7685630500230385,-0.1814506357100613,7.149234632833216,1.1353091578559389,4.986109755414499,-1.225233424815879,3.629168524115441,1.4370278189203458,-0.8043688284812386,0.9633615960556801,4.133805440109372,0.7929106174093971,2.7896151397325917
RR-5.GSM5398360,1.6521881996125216,0.19018623799669793,0.9225929749388778,-2.6965787858433856,2.5467090177970415,0.24144582166963197,0.9102467554692183,0.972051074455975,3.4301332406365845,-0.3319779813177889,-4.304292365211427,5.890683778475898,0.47820187105528394,-3.3996004011086427,-0.4845469227511877,1.2092287062287466,2.496228953202725,-5.407757414917973,1.3342863062851167,1.3952637604376998,2.3364269288876005,0.7329694481348502
RR-5.GSM5398361,4.947953782638328,2.5235555815191186,2.7734125183600815,-1.4279265084383763,-1.0741296037309536,1.133143976485614,-3.326560636428627,0.8089232586358721,3.4357588423280334,1.6963667627459456,-1.765961077713258,7.047879669991548,2.3578796774227353,-3.1724983586772204,3.6525139217605163,5.873005068145683,3.330893931014893,-2.1646510915441324,-0.2006577946029689,2.307253174200983,-2.6223550611870357,3.5561693799082925
RR-5.GSM5398362,11.524769140247582,5.354780599390277,3.467383697184206,1.2070095099602804,-1.4479258568940006,-0.1957700479183628,0.9540817028398714,4.8514108455047396,2.7801800021009435,3.5394257234889475,-2.714883281732515,12.100825616033347,1.58645306525662,-3.0801140018187327,-1.1770208044964352,7.985142216516852,1.4588705081115667,7.627471211739665,2.120313100209526,4.626109333576347,-0.9373803079305018,5.4813169417700855
RR-5.GSM5398363,9.588594375960593,4.010729004461014,1.8345055072534406,0.07140341388051788,-0.7405575513424256,-0.11991654366973506,-1.312323467053317,2.455595777967343,3.5660323466187784,4.02965932041752,-6.778799197255564,11.188584822734752,3.0436524813958683,-3.284040620878428,-0.29734814621087335,4.810876487207156,3.623751406711677,4.185815273279279,4.034035723498379,5.734694953457205,0.26664581121515857,4.294773279004471
RR-5.GSM5398364,-2.874650672440132,1.5714077880146897,1.7245871213597217,0.7722672292191451,-2.4322405862044083,1.9834628790773898,1.3717444947908457,-0.4065526333091627,1.291218602402006,0.9835622356446965,7.731356387880923,-8.326627084292785,0.4752868467413567,8.456247356522038,-1.72657676234458,0.7366199706342444,1.0172502613236223,-0.04966751165404265,2.167702341875904,-0.6295360183947477,0.039213295545480566,0.20821987552448484
RR-5.GSM5398365,-5.664012861563811,0.5390454115503018,-2.3691483581145287,-0.8078539303672777,1.0096732953417882,0.6479212897447939,-1.349131585101011,-0.5509709586680472,0.5879872609966955,0.42729666833134866,4.4524930116560775,-5.803902316255447,-1.741201241847354,1.2385816600983195,0.33409836862341147,-0.48431941402031375,1.211322598041795,-4.338726389676206,-0.6351927855264534,-0.8802923563732625,0.5356672517014923,0.005020478455062609
RR-5.GSM5398366,-16.428847151545476,-13.66905958475547,-12.801375417646419,5.152781326652253,0.978624364210305,-4.120157123054095,-1.9422660383843422,-10.521427377201276,-20.405923161783143,-9.18337811764459,5.557006936207687,-11.162915201804429,-8.070313004761624,-5.027979598314527,0.8138371339065009,-21.715777177552713,-12.822816105217179,-8.272154434617613,-6.29266955650271,-15.90940144514458,5.03006814004254,-15.487896446872874
RR-5.GSM5398367,-6.779621312065868,-5.5408534052418315,-1.2682451993556827,0.42916415991812096,-1.833724551112906,-2.124719615859361,-0.4712340588483285,-2.4595445099692967,-1.486114363721972,-5.109225012535894,1.6577138334562753,-9.232910282062981,-1.171489781732215,6.269599339942868,0.0045996600675086785,-6.412080337028998,-1.436778824987099,-6.21305424459801,-1.0688147180734862,-3.9347304226380477,-4.16886203035712,-2.810643430984638
RR-5.GSM5398368,-4.1839165097877755,-0.13158779656387562,-0.6420337259064526,-2.4976216425224176,-2.494052491340352,0.2856966075059162,-0.6364222864276716,0.14377567239152972,3.4595100134123875,0.6741188716685301,-1.721662602884734,-9.649099274296765,-0.09786909658202575,-2.0685214525281013,-1.339253696504492,-0.14830794517186893,-1.6725652187091338,8.268837995603405,-2.694154112292334,-0.4202352362982836,-2.191484388358021,-0.9859517600639164
RR-5.GSM5398369,-1.3830231895075875,0.09771328521708345,1.8436453007306823,-1.1306027478101868,-2.5052681518320985,0.6721308135352416,3.1946885609988787,0.3184638968093209,-0.12153166845426576,-0.6343281355598854,0.33100175561045425,-7.146344389368573,0.007247908417891426,0.027014858284064754,0.8144651677307917,-0.817128006801879,0.46948592106956266,5.431571936705697,-0.4922342906826547,-0.3366122479273937,-1.7074496077339818,1.1524842083106583
RR-9.SRR11148753,12.426079725290558,42.236719711665394,-19.463096152486955,-8.49560094043169,1.3639399590805075,-9.804556337296395,-9.75317353970064,13.719282303299558,-9.545534243474277,-18.02763642003761,14.87890667938802,2.073895704386713,19.435797968706012,0.549271108950507,-14.79831768205907,-5.377901389033229,-22.31549942418048,-0.7008672517035145,-19.43847797109736,-19.73762009484956,8.445621447809168,-15.850431843098256
RR-9.SRR11148754,5.290533258619012,-1.3711418395201376,4.907030024240817,16.920416357442523,1.9608294574654466,12.374356451203685,-11.191341153675042,-11.601595150126856,21.769599812553057,-4.330188502657671,-4.863501015489068,-1.4585340409313918,8.620626000803062,-1.0952815486763767,6.389141110425375,-4.130550537555998,9.123137892502653,-1.9090658827958957,1.3938364964236734,-4.515429764480138,5.271898940780833,5.532966154583062
RR-9.SRR11148755,6.305316629526476,13.343755742300717,17.18695920066565,12.0019235564272,9.947980530680407,5.697804913169693,5.931675934352233,5.790006239421408,13.442177442598075,5.434786474656528,6.289508650021363,4.5992437856609945,8.198872073950008,1.9659270203513641,0.48893098701843,14.52551076633109,5.813268539362958,-1.0243986362765751,8.347677225641988,10.7662741821601,4.817555746770703,14.415481852037104
RR-9.SRR11148756,3.7894236350944324,0.5851760166660056,-18.979921703780466,-7.926788189865174,11.644878202015255,-11.551860645942822,16.280162605588394,0.5817664335275714,-9.020017664616244,-13.567222972125425,6.942153429153078,-2.1112278111550937,-17.284536752503833,-1.1526495317127083,8.175973829580869,-3.4506023225801035,13.375919220819734,-2.300612935254756,21.511930801482606,-13.953063749814348,6.889748352716238,34.66240024221512
RR-9.SRR11148757,3.1836375402630024,-23.25710467532862,-19.987298416328652,-8.49560094043169,-10.539614880023178,17.85976086542159,16.593617902136465,-12.854310156022004,-9.700730365427258,-11.768244063003825,-9.10333001960818,-2.304707281453243,-20.971769611673796,-2.3038257286616366,-6.042603658710306,-5.481474776366146,15.831730424518373,8.662835782726557,-21.31201924796707,30.197410277405766,-14.21803022537066,-17.59423806749663
RR-9.SRR11148758,-0.207984335913754,-22.365710136011096,37.470588168119384,-8.495600940431691,-6.42314622844325,-10.46426889091458,-9.283934995839196,10.312608722690436,-9.803065786991619,-7.924694005365831,5.811345089964235,-1.0743258301977843,14.33030418565747,1.5238375723394526,-14.594534312817576,-5.878693406607357,-6.96986854656944,-0.27522573573141385,21.020302763345487,6.021875166883018,-1.144997914450729,-16.27543925278275
RR-9.SRR11148759,-39.945124515776705,-24.981689616306735,-21.155895277440095,-8.49560094043169,-5.157207578360435,-11.874446815991838,-12.932124823542516,-13.483967129517632,-10.37276057275356,43.37988184871176,-25.875807979612702,-4.131236008020068,-21.711630204093215,-4.340265370696153,17.778193216148345,-5.517197817498855,-21.739193457781617,-1.5722541978147972,-21.620909085448694,-21.78629112010496,-15.112400808134556,-18.190335093409942
RR-9.SRR11148760,9.158118062896957,15.809994796534486,20.021634157010308,12.98685203772221,-2.797659462414768,7.763210460350675,4.355118070680317,7.536208736727518,13.230331378111815,6.803317639822043,5.920725166183264,4.406891481709899,9.382336339154241,4.852986478105556,2.6032165104139215,15.310909483310645,6.880505351327821,-0.8804111431496497,10.097659017619327,13.006845102800112,5.050604459878988,13.299596007952312
