gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEdarkgrey,kMEdarkorange,kMEdarkred,kMEdarkturquoise,kMEgreen,kMEgreenyellow,kMElightcyan,kMElightgreen,kMEmagenta,kMEmidnightblue,kMEorange,kMEpink,kMEpurple,kMEsaddlebrown,kMEtan,kMEturquoise,kMEwhite,kMEyellow
Gm2436,grey,,0.09279011692330164,0.16968791417305612,0.2046696368379669,0.46045252139290227,-0.00697233060958928,0.1453628354260188,0.1253219804249256,0.12942565743009976,0.14080240901685553,0.04820260788272871,0.20726792023749477,0.164578528996327,0.14550938011106,0.3055586362701345,0.06887507431671389,0.24943238606641294,0.040885055732601615,-0.13722325832373952,0.15390162816120256,0.16638347072275203,0.21663443762214943,0.15370651604600552
H3c2,grey,,-0.08762910903548599,-0.015750746025537856,0.07776642140878885,0.38691450138233846,-0.07594196765244703,0.1376271309204782,0.013010887333275243,-0.13624606285503368,0.12204641773758561,-0.08161996456087735,0.12337700681465086,-0.37460258917743106,0.06946113155838089,0.14843211309845186,0.07879554332742628,-0.14914928895127436,-0.01313995312299225,-0.020239373243636713,0.02218134795710286,-0.07697729007211208,0.08083880992357079,0.01503178124140919
ENSMUSG00000121571,grey,,-0.11854502047836318,0.04068507331281329,0.050007755067375544,0.16086663471925747,-0.12355497065972101,0.0471412737630308,0.03103868099934511,-0.03956997947744146,-0.006778183151218792,0.02804159418189053,0.1361281362188269,-0.2969405948623303,0.01645132543925906,-0.06842495182022836,0.04751473907962747,0.009600499377477483,0.00322083997172758,-0.03711505395092122,0.0129717843209528,-0.011464817481654978,0.014495873436746097,0.019869337516260712
2210418O10Rik,grey,,-0.26086615603932256,-0.19921721024748923,-0.15977258747929873,-0.2632280946324365,-0.0421208378893329,-0.009028515070959423,-0.02988242579465459,-0.22411196753579365,-0.25443819716774635,-0.09738544431138058,-0.16011449760977986,-0.4275639939628987,-0.19005511875885855,-0.47069046575291146,0.03617460219133971,-0.26603684319236465,-0.1377785787991847,0.05467924236371255,-0.21006399555286384,-0.14419459403314025,-0.1617796454215625,-0.2083373402939964
Spata31f1b,grey,,0.19902071337086782,-0.052300872233882814,0.04030989950117074,0.33412764527075234,0.09391172587074754,0.4649833155439258,0.07927509518151363,-0.21410524035645068,0.3587743916780013,-0.0653130526193837,-0.15160171552506807,0.15709143328308012,-0.007435934536966871,-0.07853079442110021,0.038743615866835716,0.050890210295829574,0.3666095585511744,0.17978676517460457,-0.06310285976009185,0.3136787506935182,-0.034394380830535684,0.06992727215186839
Aldh1a2,lightgreen,0.6992034505165515,0.5992212827037287,0.6042038999521387,0.1437805837595687,0.2511680696917939,0.3322058030706827,0.15238764699465593,-0.11265978307978863,0.4057319050338063,0.5400844690803308,-0.03756659462246958,0.030147161664739124,0.6992034505165515,0.48591501490700556,-0.07327769511183409,-0.09408394728896237,0.5453694663043547,0.12865815057959695,0.2084449225269695,0.07250397690287062,0.10574998360376835,0.4170157889125279,0.3199981472364157
Gm2446,grey,,-0.19570167784162965,-0.21311134805112344,-0.3017897114256378,-0.4251984187892105,0.03937763240705455,-0.17106276143445479,-0.08254519471823267,-0.23141865618276627,-0.28485619810549945,-0.10320065696389527,-0.13990620837155726,-0.2852715235161938,-0.23565297445018843,-0.3404332179499418,-0.03352580803668698,-0.41180612745972545,-0.09911171494599856,-8.1870270566747e-05,-0.19122653137609585,-0.2568993120292684,-0.15565910219498402,-0.1928949702625976
Rps2-ps8,grey,,-0.046276080558427427,0.036345294316299424,0.3198106149309807,-0.02681620272597797,0.10588069377424245,-0.21704965247253893,-0.1619107784337238,0.26595890745448025,-0.2561199274134965,-0.2324428024703055,0.34753870060694736,-0.16313768005372334,0.3107419736333672,-0.09008184901636562,-0.4321628833521103,-0.2321275191755416,-0.3206714507279026,-0.3272145656663343,0.151136587903326,-0.09465055631999404,0.34043955442017587,-0.26422755015697313
Sft2d1rt,grey,,0.13536540067458105,0.12956739974168513,0.36911175613194136,0.3859752570531639,0.24281925910614782,0.2709412887070717,0.09933662269647313,0.08388581389591289,0.48013655015528584,-0.01777873775918572,0.27903407930752033,-0.07816431884818145,0.22098276322478264,0.19334233640052406,0.046564430448133125,0.26296706827513766,0.32049128172034086,-0.2402250483959057,0.39006137891925646,0.12968026864020807,0.3415441899945083,0.36484903321263684
3110040M04Rik,darkgrey,0.5791039961082399,0.0655436348376215,0.014419565749934369,-0.02648492816759695,0.2776831590395522,0.5791039961082399,0.025349861821060117,0.0161110991968153,-0.1503693640483583,0.17569343703052098,-0.13139553225835285,0.044500851498184224,0.06538447607133334,-0.023964271400006933,0.02482540848114314,0.2131348804473188,-0.062000617935972106,0.20933156246598741,-0.3814646969777156,0.1937460262116814,-0.10587115825604053,0.36690430448211303,0.2823641180279296
ENSMUSG00000110620,grey,,0.38857482607813837,0.12896500752647128,0.08339650919505943,-0.1589067358518039,0.1892069075299488,0.06201478634112505,0.28524508176890334,0.251037932068118,0.055930622677681105,-0.4187983906964135,0.2952828504596089,0.050362263964876974,0.13364427960411632,-0.050586504730762094,-0.3295231345418471,0.10170024169474329,0.30739287867151593,0.2387210759028466,0.20224466188700807,0.2141738972409003,0.15465170552662594,0.1849796832479989
ENSMUSG00000099519,darkred,0.714235603043819,0.5450884474178236,0.27329520801507373,0.06855636379144149,-0.022438759698767116,0.10695868673494105,0.2867719334106209,0.714235603043819,0.3448850899130574,0.09557549454428181,-0.22460121402986982,0.2332598826747983,0.38162962923661364,-0.010130298443313944,0.11042407349042827,-0.25785653230350714,0.46803506059125766,0.4869716238240788,0.39598919190914406,0.2208077575583054,0.5442900205331703,0.14704087032330207,0.37269191808656116
Prnd,tan,0.6180086452697836,0.2786443723179827,0.008899925345267066,0.3781223127758598,0.23587850569278646,0.3966466464009018,0.033810241551543004,0.07736896411866828,0.17535427263749495,0.37660301067131025,-0.13082619081228627,0.1685448385354366,0.15812191048514498,0.1992073994517502,0.1070979331548638,0.05875638415370802,0.22827246972361148,0.42609321695499436,-0.14277150578866138,0.6180086452697836,0.09052379158196805,0.3748417773671779,0.5013484310011279
S100a9,grey,,-0.057490176921678335,-0.07682780398157298,0.3247631209979431,0.4438806410969288,0.015617401997665556,0.31244699108937996,0.15088986638882776,-0.04556537061873247,0.20848626769167922,-0.0943208212111557,0.24891231925869023,-0.4054681642599589,0.12298051346404561,0.17966246066705993,-0.06811213180932872,-0.005024072318507744,0.16254944746046934,-0.09368670946273645,0.1131702082349353,0.26059290268260255,0.0883834699096458,-0.004995299508976796
Pira2,darkred,0.38297310122872513,0.04210194685946876,0.15755607915630798,-0.18150416715692422,-0.0219149719617059,0.1766814889962667,0.11512215340994379,0.38297310122872513,0.01136554797438548,-0.13398684122285276,-0.25338108837700957,0.3006383411037308,-0.25698294574904845,-0.07315042535604105,-0.025999737146199336,-0.20326510453275864,-0.10704024824948728,0.04507858908740234,-0.05686090051792703,-0.1273181460764148,0.027060705342079175,0.17166472987651799,-0.012752118856045875
2810025M15Rik,lightcyan,0.5353685089010402,0.3970803771428507,0.44516100573681977,0.3209917566538278,-0.11705495978274795,0.26332895992860456,-0.4197731667047752,0.010583800842404205,0.7165983685426572,-0.06336041630441089,-0.3308173888005471,0.5353685089010402,0.18799740981795077,0.469974774386211,-0.030900397001567565,-0.37526497692443583,0.23620344115688527,-0.05567613511059815,-0.1283380959530061,0.4788904647006587,-0.05702775457498894,0.4520100910941084,0.29048128787086885
H4c17,darkred,0.5215497152730898,0.3492404440887589,0.020557548388550718,-0.049292467739879574,-0.12967818947086596,0.056440497549788665,0.16230803875295494,0.5215497152730898,0.07965763948410505,0.11539296774043914,-0.08767654959997825,-0.08667499023770993,0.35551424988993896,-0.1777868552249313,0.12133957631208092,0.02498436307756234,0.3303015713021701,0.48337342597164085,0.24156623570446606,0.15952642242420878,0.3537142801901304,-0.1296941231545721,0.349891685448647
4933417D19Rik,yellow,0.6515500373328438,0.3559536036253283,0.28190496757564143,0.15236122112454314,0.17056020659627988,0.14511312591880182,0.005182291530917405,0.35536885936054335,0.28862924629789516,0.30150651860074285,0.025289329980362707,0.08989485459732317,0.41438154882436656,0.04505997562360985,-0.1244980326620915,0.20894706642749458,0.503001921686218,0.36893698908177863,0.029022021116623137,0.42720686328652024,0.17418880285551225,0.1574525959016907,0.6515500373328438
