stressor,gene,n_environments,mean_beta,std_beta,cv,icp_score,environments
IR,ENSMUSG00000110710,3,0.046727329269270125,0.37289962729336174,7.980332391011784,0.11135445287090687,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,NOP2,3,-0.03827873765416084,0.30549003979698786,7.980671530402729,0.11135024776428451,analog_spleen|analog_skin_analog|analog_brain
IR,TRIM28,3,-0.01468485960910231,0.11719929544833656,7.9809607028677805,0.11134666246570729,analog_spleen|analog_skin_analog|analog_brain
combined_flight,CPTP,6,0.12793117658585587,1.021073951811892,7.98143166568321,0.11134082373758514,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,NIFK,6,-0.06458358700651042,0.5156868186619307,7.984796673265448,0.1112991241054494,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,TRIM55,5,0.09617349481768914,0.7679612625512908,7.98516531006706,0.11129455780625326,flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,6530402F18RIK,6,0.062365567109496284,0.49804021757950045,7.9858202639168265,0.1112864458257159,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,TTC12,6,0.04722310834745711,0.37713210080371345,7.986176810782609,0.11128203028456878,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,APOA2,3,0.0684915266954479,0.5470070500779388,7.986492176232975,0.11127812503356427,analog_spleen|analog_skin_analog|analog_brain
IR,ENSMUSG00000108811,2,-0.05757607755055058,0.45984686072435654,7.986769371947079,0.1112746926744977,analog_spleen|analog_brain
combined_flight,DCTN5,6,0.05470680632624397,0.4369398401490809,7.986937302763635,0.111272613384371,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,ZFP981,3,0.0338334475295713,0.2702458450177531,7.987534725629619,0.11126521682840511,analog_spleen|analog_skin_analog|analog_brain
combined_flight,NAT14,6,0.0362559851032739,0.2896339888495723,7.988583954786392,0.11125222894174595,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,MASP1,6,0.06199167368161992,0.49524339215195184,7.988869387630658,0.11124869623493175,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,SLC52A3,3,-0.006881670566863501,0.05498560274587482,7.990152132606922,0.11123282289885172,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,SPRY3,2,0.01790668839063711,0.1430837998184703,7.990522239877835,0.111228243845998,analog_spleen|analog_skin_analog
IR,FTSJ1,3,0.013295494841732767,0.10624670086455335,7.9911800303873814,0.11122010643990135,analog_spleen|analog_skin_analog|analog_brain
IR,ENSMUSG00000105156,3,-0.015893592205750665,0.12701412566001832,7.991529921255423,0.11121577848904907,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,MRPL21,3,-0.03884119917704961,0.3104019074434755,7.991563237710791,0.11121536640102586,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,SMARCE1,3,0.023135176011171127,0.18490798968489422,7.9925037787957685,0.1112037341989213,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,MLXIP,3,-0.047490325940720855,0.3795732205522003,7.992642818104776,0.11120201482780039,analog_spleen|analog_skin_analog|analog_brain
combined_flight,4930562F07RIK,4,-0.07326960723221812,0.5857082406642674,7.993877063023789,0.11118675438774507,flight_thymus|flight_skin|flight_liver|flight_kidney
HLU,ENSMUSG00000113392,3,0.06561636371805098,0.5245679759029946,7.994468729821094,0.11117944039146054,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000101905,3,0.020196381108943732,0.16146462118625407,7.994729962786323,0.11117621141905044,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000104574,2,-0.08193402698562019,0.655041656421135,7.994744949389013,0.11117602618270206,analog_spleen|analog_skin_analog
IR,ENSMUSG00000117770,2,-0.05954779510682448,0.4760761974650283,7.994858392592426,0.11117462403004967,analog_skin_analog|analog_brain
combined_flight,CD109,6,-0.04332957771267585,0.34647543860666213,7.996279883176028,0.11115705747106681,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
IR,IK,3,-0.011497305724066867,0.09194525421434288,7.997112403888247,0.11114677188737065,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,GM2446,3,0.4023132080096219,3.2174582936317475,7.997396609353677,0.11114326103624263,analog_spleen|analog_skin_analog|analog_brain
IR,ENSMUSG00000104377,3,0.06479574631454477,0.5181989781266744,7.997422664347506,0.1111429391844092,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,CRTC1,3,0.05289727406335817,0.4230419373268718,7.997424003791682,0.1111429226385887,analog_spleen|analog_skin_analog|analog_brain
IR,GRK5,3,-0.023345993249421566,0.186746928366687,7.999099390308209,0.11112223086200974,analog_spleen|analog_skin_analog|analog_brain
IR,SELENOP,3,-0.052577370825597956,0.42058946789907353,7.999438794586234,0.11111804000506867,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,SELENOW,3,-0.05380711752761913,0.43044652555288343,7.9998062957401395,0.11111350257319738,analog_spleen|analog_skin_analog|analog_brain
IR,PHF20,3,0.0209227303574147,0.16738477335191762,8.000139680262109,0.11110938669019382,analog_spleen|analog_skin_analog|analog_brain
combined_flight,ANKRD34B,4,-0.06013349911001503,0.48109443512145245,8.00043959259454,0.11110568430710747,flight_skin|flight_eye|flight_liver|flight_kidney
IR,KAT7,3,0.0142512947244878,0.11402230936611919,8.000838069074398,0.1111007655426952,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,LIFR,3,0.0395377782605111,0.3163944695054479,8.002332842741405,0.11108231804673847,analog_spleen|analog_skin_analog|analog_brain
HLU,ENSMUSG00000108452,3,0.10203914664041357,0.8166098033318177,8.002906945181024,0.11107523448693078,analog_spleen|analog_skin_analog|analog_brain
IR,FOXP4,3,-0.025226620757747703,0.20189176536627804,8.003123339504317,0.11107256474118868,analog_spleen|analog_skin_analog|analog_brain
IR,DCAF12L2,2,0.0508680064432232,0.4071154221512558,8.003368769764796,0.11106953692246953,analog_spleen|analog_brain
HLU,CTIF,3,0.02865695874608783,0.22935633303018213,8.003512412425161,0.11106776491138781,analog_spleen|analog_skin_analog|analog_brain
combined_flight,CSNK2A2,6,-0.08066744243914631,0.6456737971235411,8.004143550311257,0.11105997970961179,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ENSMUSG00000115454,3,-0.09932267880566059,0.7950117550899435,8.004332511421367,0.11105764905189472,analog_spleen|analog_skin_analog|analog_brain
HLU,CYP2D10,2,-0.0752030185469611,0.6019542482897601,8.004389343886187,0.11105694809598404,analog_spleen|analog_skin_analog
combined_flight,MFAP3,6,0.0425562804230035,0.34066803330905016,8.005117503638473,0.11104796795777011,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLU,RNASEL,3,-0.0627081073274411,0.5019874173945017,8.005143685299652,0.11104764509559564,analog_spleen|analog_skin_analog|analog_brain
IR,PRDM10,3,0.019480086124606305,0.1559486414788167,8.00554127305878,0.1110427424270018,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,ENSMUSG00000114285,3,0.08145698418443552,0.6521389444640964,8.00593028317361,0.11103794594861208,analog_spleen|analog_skin_analog|analog_brain
IR,WLS,3,0.006713870839841797,0.05375450412056972,8.006483502049745,0.11103112549669518,analog_spleen|analog_skin_analog|analog_brain
HLU,ENSMUSG00000081999,3,0.06326705504282452,0.5065471883255969,8.006492162093375,0.11103101873655219,analog_spleen|analog_skin_analog|analog_brain
combined_flight,SLC7A8,6,-0.09034065118713024,0.7234076005453308,8.007553443901152,0.11101793691572061,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
combined_flight,MACROD1,6,0.09746502759339092,0.7805048126994708,8.008049902243568,0.11101181841265526,flight_thymus|flight_gastrocnemius|flight_skin|flight_eye|flight_liver|flight_kidney
HLUxIR,ENSMUSG00000082087,2,0.01745582420689025,0.13980915217095463,8.009312107213841,0.11099626565265627,analog_spleen|analog_skin_analog
HLU,HERC3,3,0.07237874132395739,0.5797435831077097,8.00985986345074,0.11098951761243087,analog_spleen|analog_skin_analog|analog_brain
HLUxIR,SEC62,3,-0.0202676249128667,0.16234802160513714,8.010214038047353,0.11098515482288307,analog_spleen|analog_skin_analog|analog_brain
IR,TMA7|TMA7-PS,3,0.03052402632004757,0.24451282832525803,8.010503521095556,0.11098158917076961,analog_spleen|analog_skin_analog|analog_brain
