,MEblack,MEblue,MEbrown,MEgreen,MEpink,MEred,MEturquoise
Mmus_BAL-TAL_LRTN_GC_Rep1_G6,-5.903353565501295,43.17687651477593,2.1358923235561633,20.474832793805515,0.3720338508984224,10.52194779530339,23.892234786785977
Mmus_BAL-TAL_LRTN_GC_Rep2_G8,8.007502893640797,-2.903784683808903,0.4158946408470238,-22.334827753207268,0.0818354822424287,0.08215659009872298,-24.718932063401088
Mmus_BAL-TAL_LRTN_GC_Rep3_G9,-14.581228626593758,-17.06843109820616,-2.893947264702626,-21.568193076260986,-0.7103218435728659,-10.887884758387885,4.632058561511157
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8,-2.6518250302136317,-27.19407366478926,-2.7310690626320477,-18.541116286605124,-0.40970594747965366,-9.478788711106175,-22.75140001144243
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9,9.271116572390982,9.237753079062916,2.739280163441439,23.850537848584807,0.013879676824848947,23.01434341816586,-9.0845116590018
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10,-11.975672847182182,4.496427768270374,-3.633137256471491,-15.055706619851602,0.7023572095223818,-11.547940509503674,-33.3545087200844
Mmus_BAL-TAL_RRTN_GC_Rep4_G10,0.18294133404921695,3.203392387453615,2.3115480002095343,25.37537046769924,-0.3649330991119735,-9.635585539197375,23.75795300882668
Mmus_C57-6J_EYE_FLT_Rep1_M23,9.966052745567312,-0.9781202676722452,-15.46331389515041,0.5129277011155484,-6.706417538801042,-3.4156247917065,-2.6872362360765107
Mmus_C57-6J_EYE_FLT_Rep2_M24,3.4930779497952464,-2.0466541876657396,1.5387029312326417,-0.2965528024901644,-10.252156923510956,-8.941013114981788,-2.3693079567693016
Mmus_C57-6J_EYE_FLT_Rep3_M25,1.764149451578095,-3.9894899749316117,-22.198957743438402,-0.8495326033863474,-12.099238440802779,2.403845353829391,-0.011985584611856554
Mmus_C57-6J_EYE_FLT_Rep4_M26,4.280316933910887,8.620857105830149,37.910339165546084,-2.633589469413285,-8.880000305012208,0.7624838242702929,7.397372629849359
Mmus_C57-6J_EYE_FLT_Rep5_M27,-5.973827948587641,-4.507111631258493,-19.699313184957536,0.009173739209353963,33.04466523512602,-6.431569121818361,2.3607381520508905
Mmus_C57-6J_EYE_FLT_Rep6_M28,-9.318489862065439,-5.237104356126387,-26.644152970392188,-0.13276443410454428,19.953848406250074,-0.1724515134398061,-2.6127107663094704
Mmus_C57-6J_EYE_GC_Rep1_M33,-14.988536930773543,-7.009246212018217,-28.51939631147973,5.037544943595349,-11.459480368060754,-7.140305465075327,-1.8089579166847765
Mmus_C57-6J_EYE_GC_Rep2_M34,-7.383155150897988,4.014564063972737,16.426471884618042,0.5445128544024753,-9.315919656657728,3.8344600328047287,-0.8334756269394838
Mmus_C57-6J_EYE_GC_Rep3_M35,0.06731177436818805,-7.91285528843009,-26.295384261573815,2.4116244725917135,-10.279163137227105,7.306847256717755,-2.227885748336451
Mmus_C57-6J_EYE_GC_Rep4_M36,0.863851986129584,4.912631266239254,25.69499030616854,-1.345648002790911,16.45333200231284,5.5589909090361616,3.0053574250560433
Mmus_C57-6J_EYE_GC_Rep5_M37,13.097642727486157,12.139689295917103,53.31572724200366,-4.0252872406543085,-2.086322979738249,2.4104774395643065,-1.695892188707855
Mmus_C57-6J_EYE_GC_Rep6_M38,4.1316063234891836,1.99284018614369,3.9342868374231403,0.7675908419252041,1.6268537061219035,3.823859190799241,1.4839838174795144
