gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEgreen,kMEpink,kMEred,kMEturquoise
ENSMUSG00000116358,turquoise,0.25212376583781737,0.2893035944187271,0.206496448178746,0.23232207749527095,0.3020395988518848,0.16766230398230803,-0.014086073503565487,0.25212376583781737
Cyp2a5,blue,0.8778433198102222,0.16034586227254197,0.8778433198102222,0.5211262331004544,0.13617748990871062,0.12697480885145596,0.6066010438081836,0.38416594847852603
Gm5938,pink,0.9827383262595308,0.019661736449908956,0.06359171381603976,-0.08024053183154033,0.0842863001125842,0.9827383262595308,0.11310727036011504,0.19914543288594158
Il36g,blue,0.8761536187323241,0.2686144613421287,0.8761536187323241,0.6427343457044163,0.15026139746948836,0.11421345442700527,0.5081069136742664,0.4149901086765994
Actg2,turquoise,0.686354196867012,0.31331321307214677,0.3291123206892697,0.38357730970573267,0.3717265251265493,0.26317650556893085,0.35606762028191613,0.686354196867012
Panx3,brown,0.8618661640513376,0.3369989813849469,0.6183501721750778,0.8618661640513376,0.009750227630619578,0.06111429078243731,0.3899625335951312,0.25798674313732406
Spink5,blue,0.8250405553902957,0.38274050304367996,0.8250405553902957,0.7762569913089503,0.2200343705728664,0.06959704834031602,0.5364784313908308,0.49916334950397484
Esp6,blue,0.6705057639838525,0.31124611656034146,0.6705057639838525,0.4705623327016798,0.07815725433950257,0.4366574946004909,0.49496026650502967,0.3484390442364068
Psapl1,brown,0.7236366707923441,0.7766469846699455,0.6991261677690654,0.7236366707923441,0.3814763302791286,0.1197537935845235,0.5287896341040699,0.5659786196550138
Adh7,blue,0.9059001891791455,0.14293751229997018,0.9059001891791455,0.4099498271621755,0.21470603500774338,0.1644746784941052,0.6500940952540786,0.6137465854528903
Il1rn,blue,0.8711343673819442,0.21006519092904674,0.8711343673819442,0.5349970989644912,0.31894236897425227,0.16958488926310739,0.6703980845294221,0.58223199176957
Aadacl2fm1,brown,0.9138386194804313,0.5854720248631187,0.554840909707729,0.9138386194804313,0.20859192137905655,-0.02259983045915415,0.3307838702751244,0.3620163190270775
Krt12,turquoise,0.3944724849138911,-0.021851241675557468,0.2216931755794447,-0.10531639402199204,0.15036612624166137,0.12383944845808234,0.29633749242291,0.3944724849138911
ENSMUSG00000108815,grey,,-0.07867194319796209,-0.17191213115652385,0.023323905193213,-0.13825499163169191,0.012014753454618278,-0.4625505893556421,-0.06171680687352604
Cidec,turquoise,0.2329743175872245,0.18496693199976555,0.11611179128739928,0.1851178021459928,0.31862606882901195,0.34278931482664704,0.20674412288682767,0.2329743175872245
ENSMUSG00000116093,grey,,-0.2687710610336071,-0.21449246762704957,-0.39498237353094834,0.05846524695728038,0.11156403283572956,-0.15949379157200322,0.059143753158609404
ENSMUSG00000092029,turquoise,0.2707920244481233,-0.024036648958117888,-0.0554840843383287,0.043871439306452674,-0.06478974468915179,0.0951224626608507,0.09428330925301345,0.2707920244481233
Adipoq,turquoise,0.19844834985227403,0.22547662345555503,0.22147161789414516,0.30855354009366986,0.10618273055301625,0.20945730268495158,0.26710638521788765,0.19844834985227403
Scd4,brown,0.9125377228080088,0.45367605656971677,0.6326240046143944,0.9125377228080088,0.17727686083278169,0.02125423727661573,0.4084384018706015,0.3934851888139461
Aadacl4fm1,black,0.9717486018391917,0.9717486018391917,0.2715654648804223,0.3942598923890589,0.290872467312805,0.07119036499311811,0.2926435899073213,0.31759262476095185
ENSMUSG00000045048,brown,0.28322650610379346,0.033006732356963074,0.08172486655267555,0.28322650610379346,-0.10615515394108811,0.0443636981342656,-0.03766940411068453,-0.24883040108096827
Rspo1,green,0.9008439555071008,0.3603198456770899,0.428729051541799,0.32034551947288925,0.9008439555071008,0.18606298929755816,0.33794556534008385,0.7414388072064049
Krtdap,brown,0.904242621118512,0.3497302636215348,0.5437557828922419,0.904242621118512,0.26408890893151454,-0.030082265848440773,0.37298692228604047,0.33971428366835543
Myh4,red,0.9207535677925652,0.34063479697232013,0.7056371155795061,0.39926158403129947,0.21790360789950827,0.13984019530578476,0.9207535677925652,0.5428294408103275
ENSMUSG00000093639,green,0.9251818170023144,0.2975885019520186,0.17637441533518683,0.17892888575385263,0.9251818170023144,0.054720452732744396,0.25189959181019916,0.47245341959332526
ENSMUSG00000082160,turquoise,0.7335890020978044,0.27450849400400756,0.3849839703930051,0.25525043979353584,0.5642298891849828,0.22882894650201954,0.44781930222985555,0.7335890020978044
ENSMUSG00000092534,turquoise,0.1395393077546421,0.011836786038838613,-0.03648771678745497,0.09493603473215681,0.14671335504576988,-0.005893787327687538,0.07549935954159344,0.1395393077546421
Krt5,blue,0.8591633847311007,0.11563801972516449,0.8591633847311007,0.3618124954728383,0.22205372948593788,0.14576750588710174,0.6064824297447172,0.6092935040189279
ENSMUSG00000112061,turquoise,0.19700037970509393,0.2655156692733871,0.1521637918528551,0.31814864003614196,-0.12732834548563127,-0.11275651445848034,0.02525307475547483,0.19700037970509393
Dynlt2a3,turquoise,0.026208931127969844,-0.12305572787448939,-0.002601050780557489,-0.16667609218260218,0.01111731608621685,-0.18101580029577474,0.1402435555765634,0.026208931127969844
Alox12e,blue,0.905640177318384,0.1462693999543078,0.905640177318384,0.45014672593483906,0.06480952407377565,0.12391061607591511,0.5903045037363226,0.4409835950144205
Rsc1a1,grey,,0.2284662710930859,-0.11314012126698964,0.22180747206395257,-0.037293209423512864,-0.009319866319064526,0.039453402128041465,-0.15778310740557067
Gm1553,pink,0.9866634608836446,0.05140754914687676,0.10433865343316581,-0.03142342424788567,0.08007437188980751,0.9866634608836446,0.1266849960106092,0.1855838459194946
Prb1,turquoise,0.7159367413209397,0.2071368969187622,0.25796980899705424,0.1156415436399154,0.40912869329280055,0.26059087870662445,0.33961414567367687,0.7159367413209397
Kera,turquoise,0.6036392488692606,0.19740297188080386,0.5764778025713696,0.16897452416531514,0.5125538495357141,0.023324483497054595,0.5639462370834297,0.6036392488692606
Cd300ld5,turquoise,0.2909380031269967,0.2524583277014095,0.08365801428842112,0.3068586034592124,-0.02338382789201171,0.08128167579738614,-0.05734907483101401,0.2909380031269967
Gm36033,turquoise,0.6439046179265745,0.3180099829025333,0.35319580107963755,0.06218573353948175,0.4041078430362548,-0.031488697081104425,0.25015348819429506,0.6439046179265745
ENSMUSG00000106279,turquoise,0.08385499082422905,-0.020432627796279322,-0.1634865528115277,-0.11848139004548432,-0.06866690828607,0.2461991676427949,-0.07539779287355597,0.08385499082422905
Tmem45a,brown,0.772720240489704,0.45739017759238043,0.7357382307207252,0.772720240489704,0.2326195285563386,0.14050314912115458,0.546811907569884,0.708257995496776
ENSMUSG00000111533,turquoise,0.8109047375064204,0.22949426256000552,0.40227906748286485,0.22647008519931122,0.27385529929340835,0.17629159021828908,0.3996544701400878,0.8109047375064204
Atp2a1,red,0.9586459800326094,0.2729933039697229,0.6621650452419942,0.3386315762957337,0.132659140712719,0.132334135060378,0.9586459800326094,0.46055372018833035
Obp1b,pink,0.9829417026773375,0.03409034333094414,0.08529856617977162,-0.07312725576372023,0.08707155536729745,0.9829417026773375,0.05411856432097875,0.19361640324023138
Slc6a14,blue,0.9024141908921628,0.2827588624482041,0.9024141908921628,0.4417328796841205,0.31704525035233583,0.18713422557516424,0.5761443054902095,0.5749629021275144
Ly6d,brown,0.9745297549976581,0.39136759760441225,0.5667416296947166,0.9745297549976581,0.18818533970516976,0.03204097983377215,0.32746719576320144,0.3326714734951847
Kcnj16,blue,0.7975217784207882,0.22234938673544993,0.7975217784207882,0.5841534490149848,0.2114437330640614,0.13006040952516507,0.5990490284899257,0.30629710010208955
Pip,pink,0.9868126424463691,0.04165080418565749,0.1213002672710551,-0.008877886670398946,0.1594204529143812,0.9868126424463691,0.162440600360112,0.2517327646751493
ENSMUSG00000085927,blue,0.05462012255025535,-0.4242916017617889,0.05462012255025535,-0.2282176375796399,-0.2904741154993026,0.08295462673991119,-0.04328125779319315,-0.10812767864009529
Rptn,brown,0.9682432209156422,0.3681988339645263,0.5573324149100426,0.9682432209156422,0.1773503408730359,-0.011444906357100037,0.3385683067179222,0.3047260032881605
Flg,brown,0.8237152222215053,0.4043831594456217,0.5259743850202858,0.8237152222215053,0.3887969371654086,-0.03284622496933233,0.32927344732649766,0.45167070178930635
ENSMUSG00000115248,grey,,0.04147014951600702,-0.16592875030130072,-0.07742056771933814,-0.03107146776447773,-0.017739313716414254,-0.02589913883120131,-0.11906513690660929
Ereg,blue,0.8684543192324699,0.10378462731480569,0.8684543192324699,0.43894225871973513,0.07530190719111994,0.05360931379360649,0.495199083036216,0.4445202120758191
Gm2004,turquoise,0.12009245672660263,-0.11277422680637894,-0.054372883364285696,-0.09897614529091502,0.08034223984910574,0.15672340450405398,0.18295632447598617,0.12009245672660263
Ltf,blue,0.7015393479530299,0.2526602993186724,0.7015393479530299,0.4930898271286384,0.299151224391531,0.16892343278486951,0.4061258071200995,0.36363955893484884
Sdr16c5,brown,0.9436935069159956,0.42944513507493315,0.5809967233577865,0.9436935069159956,0.08324082781380035,-0.06396033289006296,0.31770349132992304,0.29024769301087816
Trdn,red,0.9161915290275469,0.3160756370621464,0.6741343753244478,0.3536374976322448,0.3088798627183708,0.15696136573772415,0.9161915290275469,0.5747640755256233
Aox4,black,0.906518883017919,0.906518883017919,0.17219249445928983,0.46598290232458855,0.43304793885979787,-0.04926894526362351,0.26775903119089683,0.31299902611127417
Sprr2a2,brown,0.8565542866998311,0.301786091900354,0.6480921609200168,0.8565542866998311,0.12852117194244267,-0.22608113803299545,0.3195366293407515,0.29525933642873864
Alox15,blue,0.8121263257002486,0.03485590070885263,0.8121263257002486,0.34604777551488114,-0.018701541998409597,0.10712735202988664,0.6041987709932424,0.3267007551768148
ENSMUSG00000098021,turquoise,0.05467062478251913,0.10646659083921099,0.10191216725211061,-0.061151118449491906,-0.08764158002494535,0.18512083016051706,-0.004649125436730559,0.05467062478251913
ENSMUSG00000099647,turquoise,0.12600642994317263,-0.056404169415506536,-0.14993282818857523,0.11177761910061272,0.11155005180403396,0.04184667702181636,-0.007761111211076992,0.12600642994317263
Top2a,turquoise,0.7530217303734086,0.28015087316644244,0.719115451629389,0.39743047629961314,0.4264641608066311,0.06092667295512826,0.4834146398391327,0.7530217303734086
ENSMUSG00000105081,turquoise,0.4080120418608827,0.12729737103797267,0.3235472488712165,0.15136278251093135,0.11687446772503678,-0.06655627385492724,0.26924727687315825,0.4080120418608827
Myh6,turquoise,0.24168720831414778,0.21760206454782638,0.13455252351417935,0.2246760025370701,-0.013133932075561142,0.105057584358678,0.11878987992708454,0.24168720831414778
Gm37500,turquoise,-0.052234054664459566,0.19189604943738764,-0.20277477214970627,-0.04228178561899484,-0.011951248323455945,0.006674029334718119,-0.11831558795207131,-0.052234054664459566
Clca3b,blue,0.7859457109162442,0.56777356926395,0.7859457109162442,0.5484553496467819,0.48331758270623076,0.19435152564210878,0.6179147255706217,0.5802955584154326
Flg2,brown,0.8474747538631004,0.26798491511476685,0.33878901628539376,0.8474747538631004,0.19361717796924063,-0.07339142860459515,0.21690821361860818,0.19734501614516528
Pabpc1l2a,turquoise,0.034894987237651526,0.10516386007210149,-0.03451758592329395,0.1529598535711209,0.14606882588206216,-0.044109573420965546,-0.007406625592823088,0.034894987237651526
Krt6a,blue,0.9026219125009602,0.16058654930683242,0.9026219125009602,0.40239711748825585,0.21721194935584542,0.1597035511701798,0.6067665158708766,0.6086054494761971
Krt28,brown,0.5298650463573791,0.09528599691429075,0.2058102331518516,0.5298650463573791,-0.06163965996226794,0.03436831878635136,0.1707530957820942,0.1751500713256695
