pathway,pval,padj,log2err,ES,NES,size,leadingEdge_str,tissue,mission,species,ranking_metric
HALLMARK_COMPLEMENT,0.129806623694154,0.483978638184246,0.0396816148434397,0.782934920624644,1.41105358874363,195,CCL5; KIF2A; CLU; CALM3; CA2; TIMP1; CALM1; LYN; CTSS; CD36; PLEK; S100A9; JAK2; GP1BA; FCER1G; SERPINA1; GP9; EHD1; PRKCD; LRP1; CD46; CASP3; PFN1; IRF1; ZEB1; GNB4; DGKG; ADAM9; CPQ; XPNPEP1; LIPA; S100A12; AKAP10; CTSC; PIK3CG; ZFPM2; GPD2; IRF2; VCPIP1; RAF1; PLA2G4A,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_DNA_REPAIR,0.403583815028902,0.576548307184145,0.0197020017265474,0.566156337177201,1.0230877742646,147,NT5C3A; GPX4; DAD1; SRSF6; RBX1; TMED2; SDCBP; GTF2F1; NUDT21; SUPT4H1; BCAP31; SMAD5; AGO4; SSRP1; GTF2B; DCTN4; VPS28; POLA1; POLB; CETN2; NME4; UPF3B; POLR2K; MPC2; NFX1; LIG1; POLR3C; EIF1B; PNP; TAF12; ERCC4; POLE4; POLR2C; POLR2E; CDA; NT5C; POLR2I; ADA,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_E2F_TARGETS,0.278704939919893,0.497687392714095,0.0249584694382482,0.627215300846486,1.13160427918475,193,NAP1L1; RPA1; DEK; XPO1; DNMT1; BARD1; TACC3; SLBP; LUC7L3; STAG1; NUDT21; SYNCRIP; IPO7; CTCF; EIF2S1; NUP205; CDKN1A; PRKDC; SSRP1; ATAD2; PNN; SMC6; PDS5B; RAD21,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.121060251698407,0.483978638184246,0.0413223597412866,0.795379908719674,1.43653657111839,190,TPM4; SPARC; SAT1; FLNA; MYL9; ITGB1; THBS1; DAB2; TIMP1; TPM1; TGFB1; CALD1; WIPF1; MYLK; FSTL1; GADD45A; ITGB5; NOTCH2; LRP1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.558679706601467,0.720198982811746,0.0143510516547404,0.498749937503031,0.899624857622504,194,RAB31; ELF1; ZNF185; NRIP1; ENDOD1; JAK2; RHOBTB3; ELOVL5; SLC37A1; ADD3; AMFR; AFF1; SLC24A3; PPIF; TMEM164; MED13L; IL6ST; SVIL; ABLIM1; DHRS3; IGF1R; MYOF; CBFA2T3; NCOR2; GLA; RBBP8,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_ESTROGEN_RESPONSE_LATE,0.292287174927762,0.503943405047865,0.0241540686554305,0.619989137401308,1.11831119669817,194,PRKAR2B; CA2; RAB31; CD9; NRIP1; S100A9; JAK2; HOMER2; SERPINA1; ELOVL5; ADD3; AMFR; AFF1; SLC24A3; PPIF; COX6C; IL6ST; MYOF; MEST; NCOR2; STIL; GLA; RBBP8; PTPN6,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_FATTY_ACID_METABOLISM,0.25222209396283,0.497687392714095,0.0272885165856835,0.648844313675933,1.17247266444854,149,CA2; ODC1; YWHAH; PRDX6; ALDOA; CD36; CPT1A; ELOVL5; RDH11; ACSL4; DLST; DLD; ACADM; SMS; CRAT; MGLL; GLUL; GPD2; ACSL1; HSD17B11; HCCS; ACSL5; ADSL; HPGD; ACAT2; ADIPOR2; NCAPH2; RAP1GDS1; VNN1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_G2M_CHECKPOINT,0.664580306247904,0.740249264954596,0.0119142008840528,0.458025354305076,0.827155273179976,187,ODC1; AMD1; TGFB1; ATRX; EGF; XPO1; MEIS1; KIF5B; BARD1; SMARCC1; TACC3; RAD23B; NOTCH2; NUMA1; STAG1; KIF20B; SYNCRIP; YTHDC1; CTCF; CUL3; BUB3; MNAT1; STIL; CUL5; SS18; PDS5B; RAD21; CUL1; WRN; SMAD3; E2F3; ODF2; SLC12A2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_GLYCOLYSIS,0.247911794186435,0.497687392714095,0.0269649784012008,0.649066762499786,1.17228022886479,190,KIF2A; PKM; ALDOA; ARPP19; ME2; PYGL; FUT8; PPIA; UGP2; GFPT1; DLD; PYGB; G6PD; PLOD2; ZNF292; EGLN3; PSMC4; TPI1; TALDO1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_HEDGEHOG_SIGNALING,0.490721948390838,0.669063274163205,0.0201703841075602,0.557706185332121,0.976132565543004,33,MYH9; RASA1; OPHN1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_HEME_METABOLISM,0.668781302170284,0.740249264954596,0.0117591495711418,0.455620347962358,0.822216087961522,192,YPEL5; ARHGEF12; CA2; EIF2AK1; NCOA4; ADIPOR1; MPP1; RIOK3; CLCN3; DMTN; UCP2; ENDOD1; CCND3; TAL1; SMOX; PICALM; CAST; DAAM1; MBOAT2; RBM5; PDZK1IP1; NEK7; TRIM58; SDCBP; XPO7; BACH1; RNF19A; VEZF1; KAT2B; ISCA1; BMP2K; GCLM; TNRC6B; NFE2; NNT; FBXO9; SNCA; KHNYN; CIR1; GMPS; HTATIP2; SLC10A3,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_HYPOXIA,0.91024924555717,0.91024924555717,0.00688912528244454,0.350149269631558,0.63234013587586,187,MYH9; ALDOA; GAPDH; TPST2; SLC2A3; PDK1; UGP2; HK1; MAP3K1; WSB1; TES; XPNPEP1; NDST1; CDKN1A; ZNF292; ANXA2; SLC6A6; TPI1; NR3C1; PGK1; PRKCA,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_IL2_STAT5_SIGNALING,0.222630173564753,0.483978638184246,0.0288495731535058,0.670592129794383,1.209863539105,193,SH3BGRL2; RABGAP1L; CA2; ODC1; GPX4; AHNAK; CDC42SE2; CCND3; SELP; HIPK2; SLC2A3; GSTO1; CST7; CASP3; BCL2L1; IFNGR1; MXD1; NFKBIZ; PHTF2; SERPINB6; BMPR2; DHRS3; IGF1R; SNX14; IL10RA; TNFRSF1B; FURIN; MAPKAPK2; RNH1; TWSG1; FAM126B; IGF2R; ARL4A; MAP3K8; CTSZ; ITGAE; GBP4; PNP; ADAM19; HOPX; IFITM3,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0729127783999005,0.483978638184246,0.0578509291080087,0.858872022311921,1.55669480458666,85,PF4; TGFB1; CD36; CD9; IRF1; IFNGR1; STAT3; ITGA4; IL6ST; PDGFC,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_INFLAMMATORY_RESPONSE,0.214485302335979,0.483978638184246,0.0296102583825489,0.676080162693463,1.22094392026122,187,CCL5; SEMA4D; TIMP1; LYN; ABI1; GP1BA; ACVR2A; IRF1; ATP2A2; ATP2C1; MXD1; CYBB; CDKN1A; CD82; NFKBIA; IFNGR2; RAF1; IL10RA; TNFRSF1B; ATP2B1; FPR1; RNF144B; CSF3R; EMP3; SLC11A2; SERPINE1; GNA15; PSEN1; GCH1; SCN1B; EIF2AK2; MSR1; RIPK2; MARCO; HIF1A,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0668053346384437,0.483978638184246,0.0600616151238803,0.876489194166784,1.59202941126354,95,B2M; ELF1; HLA-C; GMPR; NCOA7; EPSTI1; TMEM140; PSME2; IRF1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0999110913536341,0.483978638184246,0.0459169499433583,0.831227149725316,1.49808882166767,195,B2M; CCL5; SOD2; HLA-B; HLA-A; SELP; JAK2; BANK1; CIITA; EPSTI1; VAMP8; ST8SIA4; PSME2; CASP3; IRF1; TNFAIP2; PARP14; STAT3,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_KRAS_SIGNALING_DN,0.705040027060548,0.750042581979306,0.0111695743113028,0.442526476905659,0.798791590441643,178,SNN; PTPRJ; EGF; GP1BA; BARD1; TGFB2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_KRAS_SIGNALING_UP,0.0943650882915307,0.483978638184246,0.0476877974326016,0.835977324718419,1.50873454856543,181,PPBP; F13A1; GNG11; RABGAP1L; MMD; CA2; CTSS; LCP1; FCER1G; ITGB2; TFPI; SDCCAG8; EVI5; ST6GAL1; MAP3K1; NIN,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_MITOTIC_SPINDLE,0.155740432612313,0.483978638184246,0.0357051552759562,0.743274804539901,1.33880050729006,197,VCL; TLK1; MYH9; ARHGEF12; PCGF5; FLNA; YWHAE; CTTN; RANBP9; CDC42; ARHGAP10; ROCK1; ABI1; RASA1; NCK2; TUBA4A; CLIP1; KIF5B; ARHGAP4; PDLIM5; CAPZB; PCNT; HOOK3; FGD4; KIFAP3; RABGAP1; OPHN1; NOTCH2; ARFGEF1; NUMA1; AKAP13; KIF20B; MYO9B; CKAP5; NIN; SOS1; SPTAN1; DLG1; CEP57; DST; MAP3K11; CDK5RAP2; ARHGAP27; NEDD9; RICTOR; RAB3GAP1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_MTORC1_SIGNALING,0.343520782396088,0.554065778058206,0.0215718965502049,0.593863141094427,1.07029676974339,195,SKAP2; RPA1; DAPP1; ALDOA; CD9; POLR3G; TUBA4A; IFRD1; ACTR3; GAPDH; RAB1A; SLC2A3; ITGB2; PDK1; ELOVL5; RDH11; PPIA; ADD3; ACTR2; IMMT; INSIG1; SQSTM1; UBE2D3; ATP2A2; GSK3B; RIT1; ACLY; PITPNB; SERP1; NUP205; TES; CTSC; G6PD; CDKN1A; PLOD2; NFYC; GMPS; EGLN3; PSMC4; SLC6A6; PDAP1; UCHL5; MAP2K3; TPI1; GLA; CACYBP; IGFBP5; MTHFD2L; UFM1; EIF2S2; PGK1; TBK1; M6PR; MTHFD2; SC5D; PPP1R15A; SSR1; ARPC5L,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_MYC_TARGETS_V1,0.772954924874791,0.805161380077908,0.00957017468108466,0.415624163967733,0.750038657597576,192,NAP1L1; YWHAE; ODC1; VDAC3; DEK; EIF4G2; XPO1; IFRD1; SMARCC1; CBX3; RAD23B; PPIA; EIF4E; RSL1D1; ACP1; POLE3; CLNS1A; SYNCRIP; YWHAQ; SRSF3; EIF2S1; UBE2L3; HNRNPR; UBA2; BUB3; PSMC4; EIF3J; TARDBP; SNRPD3; UBE2E1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_MYC_TARGETS_V2,0.203454085930918,0.483978638184246,0.0640748785378994,-0.516632629233248,-1.21042229969696,58,NPM1; WDR43; GNL3; MAP3K6; MPHOSPH10; HSPD1; DDX18; MYC; CDK4; MRTO4; SUPV3L1; IMP4; NOLC1; MCM5; SLC19A1; DUSP2; AIMP2; UNG; TFB2M; GRWD1; HSPE1; TCOF1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_MYOGENESIS,0.168977857302617,0.483978638184246,0.0342024449747538,0.722743850739953,1.30545175154376,186,CLU; SPARC; MYH9; TPM3; ITGB1; APP; TGFB1; CD36; MYLK; IFRD1; FHL1; ITGB5; GABARAPL2; MEF2C; PVALB; SPTAN1; RIT1; PDLIM7; SVIL; CDKN1A; ABLIM1; CRAT; KIFC3; MYOM2; TNNC2; PKIA; CNN3; ACSL1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_NOTCH_SIGNALING,0.377654122126226,0.576548307184145,0.0244760079391778,0.621530480174408,1.08714718688321,31,SKP1; RBX1; NOTCH2; ARRB1; CUL1; PRKCA; TCF7L2; FBXW11; NOTCH1; CCND1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.579231895483726,0.720198982811746,0.0140218489927212,0.491918070184074,0.887738546455287,180,GPX4; VDAC3; ETFA; CYB5R3; NDUFA6; NDUFA5; ATP6V1E1; CPT1A; COX6B1; UQCRH; OPA1; IMMT; ATP6V0E1; RHOT1; DLST; NDUFA4; ISCA1; COX6C; DLD; ACADM; NNT; VDAC2; NDUFA1; NDUFS4; CYCS; SLC25A20; MRPS22; AFG3L2; NQO2; HCCS; GLUD1; LRPPRC; NDUFAB1; PDK4; ATP6V1C1; TCIRG1; ETFB; MTRF1; COX10; ATP6V1H; BAX; COX7B; MTX2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_P53_PATHWAY,0.604967145561867,0.720198982811746,0.0132316610688838,0.481579355978266,0.869781030642353,190,TSC22D1; SAT1; APP; STOM; TGFB1; FBXW7; CCND3; PDGFA; GADD45A; RAP2B; F2R; MDM2; VAMP8; WWP1; APAF1; RCHY1; TAX1BP3; MXD1; DEF6; TRAFD1; CDKN1A; NOL8; CD82; PLK2; CGRRF1; ZMAT3; ABHD4; RNF19B; DRAM1; TM7SF3; PPP1R15A,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_PANCREAS_BETA_CELLS,0.876703223662346,0.894595126186068,0.0241043177935426,-0.314197700874617,-0.695861967541355,36,PAX6; SEC11A; FOXO1; NKX6-1; FOXA2; PCSK2; SRPRB; CHGA; INSM1; ABCC8; HNF1A; SRP14; STXBP1; ELP4; NKX2-2; SYT13; VDR,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_PEROXISOME,0.598196881091618,0.720198982811746,0.0146908389208985,0.483251574071115,0.875761204238353,101,SOD2; YWHAH; SMARCC1; ELOVL5; RDH11; ACSL4; ALB; GSTK1; DHRS3; CRAT; GNPAT; ACSL1; HSD17B11; ABCB4,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.269980506822612,0.497687392714095,0.0270431395006687,0.640658253092018,1.15997863837221,103,DAPP1; ARF1; PRKCB; PLA2G12A; SMAD2; ACTR3; ITPR2; AP2M1; RALB; PDK1; YWHAB; EIF4E; ACTR2; MAPKAP1; PFN1; SQSTM1; CFL1; UBE2D3; PTEN; GSK3B; RIT1; CAB39; CLTC; CDKN1A; RAC1; RPS6KA1; RPS6KA3; MAP2K3; ATF1; RAF1; PTPN11; PRKAG1; TBK1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_PROTEIN_SECRETION,0.150661440470358,0.483978638184246,0.0385322134325831,0.737137150816066,1.33902234576478,94,GNAS; SNAP23; ARF1; CLCN3; VAMP7; DNM1L; STX7; TMED2; AP2M1; SGMS1; ARFGEF1; AP2B1; ARFGEF2; NAPG; RAB14; DST; CTSC; CLTC; AP1G1; STAM; CLTA; RPS6KA3; VAMP3; SEC31A; ICA1; STX12; GLA; ADAM10; SNX2; RAB2A; TOM1L1; TMED10; SEC22B; ANP32E; BET1; M6PR; IGF2R; COPB1; NAPA; ATP6V1H; TMX1; SCRN1; SCAMP1; STX16; GBF1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0883397050791917,0.483978638184246,0.0548754448345273,0.828662251701596,1.47411090683795,46,SOD2; FTL; PDLIM1; PRDX6; GPX4; NDUFA6; CDKN2D; GCLM; SCAF4; G6PD; ABCC1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_SPERMATOGENESIS,0.603125372778242,0.720198982811746,0.0142680548833327,0.481988397524859,0.873333486932624,114,JAM3; VDAC3; ACRBP; BRAF; TALDO1; TSN; TLE4; SLC12A2; ARL4A; ZC3H14,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_TGF_BETA_SIGNALING,0.212700943270891,0.483978638184246,0.0330503054273023,0.696423722370173,1.25017087015269,54,RAB31; THBS1; TGFB1; RHOA; HIPK2; FKBP1A; PPM1A; UBE2D3; BMPR2; ACVR1; CTNNB1; IFNGR2; TRIM33; NCOR2; FURIN; SMAD3; PPP1R15A; SLC20A1,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.180685358255452,0.483978638184246,0.0327704032046978,0.709435110947287,1.27994295781433,193,CCL5; TSC22D1; SOD2; SAT1; SNN; PLEK; NFAT5; PDLIM5; EIF1; SLC2A3; GADD45A; EHD1; NFE2L2; SQSTM1; IRF1; TNFAIP2; MXD1; IL6ST; BIRC3; CDKN1A; NFKBIA; IFNGR2; MAP2K3; PLK2; ATP2B1; TRIP10; SMAD3; BCL2A1; RNF19B; DRAM1; PANX1; DDX58,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.624620982413584,0.726303467922772,0.0140022164472261,0.473289099809635,0.8568041978939,106,YWHAZ; ATF4; KIF5B; DNAJC3; EIF4E; PARN; SERP1; NABP1; ATF6; EIF2S1; DCP2; WIPI1; NOP14; SEC31A; NFYB; XPOT; EDC4; LSM4; SPCS1; EXOSC1; CEBPG; MTHFD2; SSR1; SLC30A5,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_UV_RESPONSE_DN,0.183101878865679,0.483978638184246,0.0334492751193387,0.703684973612928,1.27242795074959,136,PRKAR2B; LTBP1; DAB2; ATRX; AKT3; GRK5; NIPBL; PDLIM5; NEK7; ACVR2A; NOTCH2; TFPI; ADD3; DYRK1A; INSIG1; ATP2C1; DLG1; PTEN; SCAF8; SYNE1; YTHDC1; IGF1R; ANXA2; PHF3; ABCC1; CELF2; MGLL; ICA1; INPP4B; NR3C1; ATP2B1; IGFBP5; SMAD3; COL3A1; PRKCA; TGFBR2; FHL2; PLCB4; ATP2B4,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_UV_RESPONSE_UP,0.398249452954048,0.576548307184145,0.0198459112740289,0.568074460808325,1.02691876571959,154,SOD2; CA2; AMD1; LYN; ALDOA; CCND3; TUBA4A; GLS; PRKCD; CASP3; POLE3; SQSTM1; IRF1; PPIF; IL6ST; TMBIM6; PDAP1; NFKBIA; PRKACA; FURIN; PPP1R2; NXF1; CEBPG,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.307692307692308,0.512820512820513,0.0469282432542117,-0.482963854977811,-1.08975904010144,41,CCND2; TCF7; PTCH1; NOTCH4; LEF1; MYC; MAML1; DVL2; CSNK1E; GNAI1; NKD1; FZD1; TP53; JAG2; HEY2,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
HALLMARK_XENOBIOTIC_METABOLISM,0.396557505309042,0.576548307184145,0.0194573329366398,0.568562237069958,1.02677558808278,187,CA2; PGRMC1; CD36; PROS1; ARPP19; SMOX; PDLIM5; GSTO1; ELOVL5; ACP1; MAN1A1; ATP2A2; PGD; ABCC3; TMBIM6; SLC6A6; TGFB2; LONP1; CNDP2; PDK4; ADH5; SERPINE1; PINK1; VNN1; GCH1; DHRS7; CDA; SLC35D1; GSTM4; CYFIP2; PAPSS2; FAS; FAH; GART; APOE; TPST1; GSS,blood_cfrna,JAXA_CFE,human,edge_pre_vs_flight_diff
