gene,module_color,kME_assigned,kMEblack,kMEblue,kMEbrown,kMEcyan,kMEgreenyellow,kMEmagenta,kMEmidnightblue,kMEpurple,kMEsalmon,kMEturquoise,kMEyellow
D930015M05Rik,grey,,-0.172203160324474,0.14629078265535506,0.14447792130145923,-0.01637899136602977,-0.08706739775875627,-0.04236859248162037,-0.1987251496766487,0.15025691905159022,-0.014680018519601672,0.2012392771098334,-0.10730056769763294
ENSMUSG00000048824,black,0.5055359831396499,0.5055359831396499,-0.2845458560410388,0.09056308124881092,-0.2596189414183716,0.35320268044221426,-0.3320332511248049,0.0389674577547039,-0.3822572865306067,-0.09896481550775323,-0.5135503627571222,0.47470710185283505
Cebpe,magenta,0.28084016823841246,-0.01853042865451113,-0.004998078018223306,0.19628781065943984,-0.014000756828016594,-0.09869886154481222,0.28084016823841246,-0.16114904747684414,0.10652656580261585,-0.16894764224544168,0.09835684701775205,-0.19093028364853118
ENSMUSG00000086718,grey,,0.12037873723009651,-0.2512147913646154,0.14543228934159458,-0.14898749019404658,0.1694436018509429,-0.11589068641870907,-0.13711690505917987,-0.0011372717361927312,-0.008631088004146345,-0.22447841036879124,0.1916029589812982
Ankrd22,salmon,0.6320087039044523,0.04818472616225156,0.46432034894359225,-0.043753627949466356,0.3007101864384297,0.44069492668384613,-0.3234668955350081,0.08925558632004989,-0.11340528908108545,0.6320087039044523,-0.006606782127364688,0.16505280464090855
1700028K03Rik,yellow,0.5482477746191459,0.3216280220594662,-0.3731094028907608,-0.23923794621995223,-0.2728146610485625,0.3132595107823425,-0.23073174926286144,0.3213048983176787,-0.4182992653305729,-0.1460769413995237,-0.46289300496258107,0.5482477746191459
ENSMUSG00000084817,brown,0.4953452253091511,-0.14294515581990896,0.3045722990289381,0.4953452253091511,0.1420950785541106,-0.23794813705865384,0.013734046282681387,-0.5531358191358096,0.05449257777408852,0.04263311432592399,0.2680491833899123,-0.34848613941786455
Timp1,turquoise,0.29388438091182134,-0.32018298406180457,0.39082923384713664,0.18415418952424215,0.09804995064895902,0.02537526560934927,0.07254062982833534,-0.24806380253649765,0.30808290425163504,0.12333253502467667,0.29388438091182134,-0.4218450065486825
ENSMUSG00000116581,purple,0.6643282470680557,-0.46595344553009443,0.34381089184975205,-0.21841208206979826,0.23110318454234804,-0.27438551128050365,0.27556127023148047,0.08263788963343326,0.6643282470680557,0.16900520043086298,0.47377092637275225,-0.5196656106092387
Zfp105,turquoise,0.5181058685186007,-0.34501757111935155,0.5088290615888065,-0.18667780038511175,0.26073328314934613,-0.13369640964978213,0.21584979256251255,0.11955330702375587,0.5580348449303317,0.23317042839841484,0.5181058685186007,-0.5541195864432076
H2bc26,brown,0.7453156297543464,0.6754801531625976,-0.33149582860790594,0.7453156297543464,-0.2680920630439932,0.35345812479762806,-0.3621881374661501,-0.4918213897751449,-0.5067207610636298,-0.18935074087735546,-0.4607013914063913,0.44300473359996445
Ighv7-4,grey,,-0.046266292140462184,-0.043287150880955166,-0.1369134403651193,0.08414285701548539,0.11423155091476446,0.10312736948430884,0.22135207386952188,0.3396616575109425,0.12197036525919326,-0.009177278992702822,0.006772299825805785
Cilp,purple,0.7615342445705463,-0.6121774020600487,0.5736540250489235,-0.0345096643682176,0.45619912376751004,-0.35904442970885103,0.3773944541000224,-0.10562567162315883,0.7615342445705463,0.3156155033560489,0.7161675437613725,-0.7183720695980975
Atp13a5,blue,0.8951394283273164,-0.42561349311344787,0.8951394283273164,-0.11032916210557261,0.5686928599809856,-0.13926065852773134,-0.008905697773830677,0.0028523923243542384,0.307458265266933,0.5238020388820821,0.6084342932026213,-0.45052045600574564
Zmynd10,blue,0.5453845394106595,0.03964172252817177,0.5453845394106595,0.5126057976412237,0.11650690588043604,-0.0801139276060705,-0.28693551871571177,-0.5158949631494604,-0.1565847083662149,0.24906501582828294,0.2000314422302186,-0.17077441251811468
Ccl6,turquoise,0.6509019157418566,-0.6731942558818569,0.456048964750006,-0.17525139397677786,0.25316892822076636,-0.23803583992918861,0.3242916936806532,-0.0029032505839450655,0.5452648036681396,0.1203593352304084,0.6509019157418566,-0.6631530878529197
ENSMUSG00000071419,grey,,-0.03354560527736538,0.04957469091363039,0.02270798689000236,0.023517871690782646,-0.10780023709864628,-0.005057806041520166,-0.055710648613316704,0.14243394929044273,0.09339332865875163,-0.04435237007804323,-0.13154279739471117
ENSMUSG00000115204,grey,,0.21824109546908926,-0.21065432049440586,0.05456179952798658,-0.10363178378340951,0.2457776215473902,-0.14880815869502806,-0.06427768332062973,-0.3706315247041835,-0.09884392873009766,-0.3183999934203469,0.33269428953111885
Neu2,salmon,0.5919964898477146,0.2153395836838948,0.23257707948820577,0.24294559211901479,0.44399483033995546,0.2903252529011841,-0.1868931911856951,-0.17209688208882024,-0.1737386578707373,0.5919964898477146,-0.05960672605966525,0.21693494276119799
Gm17767,yellow,0.7102190027420121,0.4677125333354453,-0.3149708905144906,-0.053706382864482656,-0.21687882729924232,0.5628060163102971,-0.3411015635605733,0.1719367826475951,-0.39913915333178646,-0.028595041602271526,-0.5423757903836826,0.7102190027420121
Tnk1,brown,0.538892148475324,0.058584944909457114,0.46311601028376903,0.538892148475324,0.17133881546601587,0.11050103815908176,-0.18760755534373083,-0.5234560405818403,0.004792182674031634,0.30728852394518824,0.18870164132668887,-0.15231223767577484
Amd2,grey,,-0.26305973105584685,0.1730698213586676,-0.20912984875544258,0.08559962552808731,-0.03605594530459609,0.0014580397242755126,0.11758364727042127,0.048100705518154936,0.07015693493731599,0.11390497930239396,-0.12417575085020566
Hpse2,blue,0.5484290138481651,-0.08876548106836936,0.5484290138481651,0.09782536988591331,0.11780244735486499,-0.016339910977961503,-0.08688801728788881,-0.1014614576228449,0.08110043087636919,0.23478893861882771,0.19498245331554603,-0.2193411341949135
Adamts2,turquoise,0.4649835567637944,-0.13953312644064572,0.4037340169119562,0.3616302595072939,0.13370604577432713,-0.35574829119964635,0.220549860566222,-0.41901684959674973,0.2511541206670225,0.03971064188084467,0.4649835567637944,-0.5239464483581772
Gjb4,salmon,0.7265102089534349,-0.3551473687901662,0.6001772409755833,0.160876045996817,0.570387918547924,-0.07348706980969198,0.01056715903027141,-0.24099519216456278,0.39158525176168185,0.7265102089534349,0.41864163121685966,-0.44771641870939144
Gm19283,turquoise,0.2973755502971781,-0.2745362400476724,0.29591286682214984,-0.13648941685510604,0.21297055247396152,-0.19175904484573972,0.03627646287668389,-0.030523749256987014,0.15659026191932068,0.2288525740194282,0.2973755502971781,-0.2664446735693778
ENSMUSG00000086328,turquoise,0.3737098261961986,-0.2220207701292987,0.3444729484005717,0.10085008241594655,0.13607808494764018,-0.04271042130928697,-0.05198830642769066,-0.15177132966721676,0.24534272620770492,0.15331441946027932,0.3737098261961986,-0.28264892336585934
Mep1a,greenyellow,0.7924121011832523,0.19568235282685204,0.04506436985498972,0.17223708041134864,-0.18047274343504888,0.7924121011832523,-0.4715039544639786,-0.06929792730438046,-0.22444382441460967,0.12879576941243742,-0.24668192472514452,0.334598067344746
Ighv14-4,turquoise,0.299763223742724,-0.09843958568880919,0.12098121299931419,0.3351720271626168,0.14888396379046165,-0.13111297739682246,0.15739254037512437,-0.3397772650870586,0.40327891297218654,0.038094546442834186,0.299763223742724,-0.36396404203563115
