gene,beta_intercept,se_intercept,t_intercept,p_intercept,beta_isolation,se_isolation,t_isolation,p_isolation,beta_time_num,se_time_num,t_time_num,p_time_num,beta_iso_x_time,se_iso_x_time,t_iso_x_time,p_iso_x_time
ABCA11P,5.8573209154545465,0.15718600213568334,37.263629304589685,0.0,0.5492362935005861,0.3619131170894544,1.517591564289257,0.13611198523646073,0.0768008043100224,0.07119124012289522,1.0787957082562905,0.2864275387119124,0.21252908750408206,0.22050617549192253,0.9638237433938321,0.3402853887915147
ABCA2,6.955634785818185,0.12831422715605909,54.20782200058425,0.0,0.4136458145023384,0.29543726086301086,1.4001138965817137,0.1683363571122114,0.06477762503496348,0.05811490102512755,1.1146474293564592,0.2709193632162523,-0.04898467227855405,0.1800038114523764,-0.2721313059057859,0.7867658106783781
ABCA3,6.505495634636359,0.15397769434610858,42.24959765934286,0.0,0.2867879237546669,0.35452614460506554,0.8089330733961594,0.4228100988132424,0.12820548745454574,0.06973816283145413,1.8383834940475516,0.07261168001180107,0.04096852630827713,0.2160054459685048,0.18966432130720745,0.850425120071121
ABCA5,7.573197318272736,0.15255350924540284,49.64289157118129,0.0,1.5436676056567598,0.3512470277492029,4.394820407587813,6.6841298262732e-05,-0.20340675175757902,0.06909313399869411,-2.943950288337239,0.005111110573115862,0.15149922875116978,0.21400754790199553,0.707915352689096,0.4826485578035753
ABCA7,10.672204705818183,0.17087996011892617,62.45439604732305,0.0,0.5083968150792635,0.39344278863571197,1.2921746941713228,0.20289322058007397,0.20037377088111663,0.077393381775282,2.58902978891552,0.01291854674020576,-0.1515579071631652,0.23971655212345894,-0.6322379736427619,0.5304307446707539
ABCA9,14.91056254363638,0.092277289092991,161.58431495110884,0.0,0.5420544209790354,0.21246396548327037,2.5512769647600186,0.014202173567999798,0.17651703237762495,0.041793382085246224,4.223564200130586,0.0001155249044526574,-0.17144193468531177,0.12944989901259624,-1.3243883231506381,0.19206144113930157
ABCB1,6.720560498545456,0.1560661485598154,43.062256360928075,0.0,0.856037668377628,0.35933470875271023,2.3822849491746223,0.021492082727768702,-0.1184304768228451,0.07068404632867123,-1.6754909059982142,0.10077407876778088,0.023036944361307432,0.2189352046308376,0.10522265891477656,0.9166667633946506
ABCB10,8.324180313363645,0.12045953180551919,69.10354198290392,0.0,0.7934808841043189,0.2773522072356014,2.860914257770026,0.006385871696676038,-0.3146377486340336,0.05455742456288008,-5.767093134526508,6.913628958216123e-07,0.2865724478583944,0.1689849623954059,1.6958458539514716,0.09682411452267647
ABCB6,8.36905287218182,0.055929916454508156,149.63463925409178,0.0,-0.018121247797197464,0.12877590960759386,-0.14071923741339942,0.8887197754396037,0.09285134470862494,0.025331263969226272,3.6654840761765994,0.0006489999100445232,0.07730124059907184,0.07846049778860435,0.9852249574982829,0.32978144165993384
ABCB7,8.997412259636363,0.09469894592186798,95.01069068983873,0.0,0.6628409584662049,0.2180397124298928,3.0400010671419815,0.003934187073816764,0.09625406550582391,0.042890176650012955,2.244198392822307,0.029783983400609948,-0.09317643522377494,0.1328470862839451,-0.7013810978482525,0.4866767566984911
ABCB8,6.614091994727272,0.13680304862839426,48.34754825306195,0.0,0.48646434921183485,0.3149823590125062,1.544417759575291,0.12949129539263282,0.22349262709090753,0.06195958006515902,3.607071365814202,0.0007729689657247629,-0.2202648984146235,0.19191223543330166,-1.1477376516265723,0.2571421469629005
ABCC1,7.857539761090908,0.10538629569136246,74.55940745941712,0.0,0.15599532954371306,0.24264681494506612,0.6428904891211101,0.5235576187559967,-0.09724989723543112,0.04773059292996062,-2.037475155151218,0.04750837380651629,0.14550629529312653,0.14783968480923526,0.984216758043555,0.33027135445779576
ABCC10,8.865689329727257,0.1870613216317498,47.39456159291077,0.0,-1.258710440802044,0.43069958570598926,-2.9224788752438786,0.005415784566723536,-0.06360636154156507,0.0847220953841466,-0.7507647356119009,0.45670232707857394,0.3603134878984114,0.26241634786204476,1.3730603707960765,0.17653721137942613
ABCC13,7.905635000181804,0.29947836353142776,26.39801722888797,0.0,-1.2172891045984726,0.6895343514936495,-1.76537847891351,0.08428521409896672,-0.18910553593239704,0.13563698929993717,-1.394203284136775,0.17010236695962888,0.28593183534907163,0.4201190162460626,0.6805972219586511,0.4996134717805183
ABCC2,7.062075104636363,0.12229074969700679,57.74823624954207,0.0,0.2968986426328744,0.2815684972752588,1.0544455274860844,0.2973077486060942,0.06506077765967228,0.05538680294809852,1.1746620891016037,0.24630858766771335,-0.21523019654428724,0.1715538606958777,-1.2545925557795334,0.21610401295147152
ABCC3,8.753478288454541,0.171390327221903,51.073350698031,0.0,-0.8585717686756884,0.3946178840423552,-2.175704151775179,0.03486877051960846,-0.04948663821561414,0.07762453255515543,-0.637512865928717,0.5270214126944768,0.08456904801369686,0.24043251344600194,0.3517371540213507,0.7266771734180413
