mouse_tissue,human_mission,human_compartment,n_pathways,spearman_r,spearman_p,concordance_1.0
kidney,Inspiration4,CD4_T|Immediately Post-flight,139,-0.20903972474194554,0.01352511382291707,0.3508771929824561
liver,Inspiration4,CD4_T|Immediately Post-flight,147,-0.2726541190337668,0.0008345683445710242,0.1282051282051282
skin,Inspiration4,CD4_T|Immediately Post-flight,137,-0.36764239177105307,9.892824307691569e-06,0.2
thymus,Inspiration4,CD4_T|Immediately Post-flight,141,-0.4246500278265336,1.5366960190348857e-07,0.2
eye,Inspiration4,CD8_T|Immediately Post-flight,147,-0.5907373686238657,3.3869233985646297e-15,0.0
gastrocnemius,Inspiration4,CD8_T|Immediately Post-flight,151,0.4482955733705123,7.821200956783086e-09,0.8372093023255814
kidney,Inspiration4,CD8_T|Immediately Post-flight,148,-0.18090080218555774,0.027787073705019646,0.3684210526315789
liver,Inspiration4,CD8_T|Immediately Post-flight,156,-0.3093929288299537,8.490669053635613e-05,0.14634146341463414
skin,Inspiration4,CD8_T|Immediately Post-flight,146,-0.3939402118901411,8.676515287044071e-07,0.17142857142857143
thymus,Inspiration4,CD8_T|Immediately Post-flight,150,-0.41659273745499803,1.1417316534922682e-07,0.19540229885057472
eye,Inspiration4,DC|Immediately Post-flight,168,-0.6315872059768882,4.3593367481698694e-20,0.0
gastrocnemius,Inspiration4,DC|Immediately Post-flight,172,0.3923725835626841,1.0182325820997994e-07,0.8279569892473119
kidney,Inspiration4,DC|Immediately Post-flight,169,-0.1351374869474417,0.07980927442726278,0.3793103448275862
liver,Inspiration4,DC|Immediately Post-flight,178,-0.24777297008603844,0.0008543292472709631,0.16279069767441862
skin,Inspiration4,DC|Immediately Post-flight,167,-0.3621749616086244,1.5132746947081393e-06,0.1891891891891892
thymus,Inspiration4,DC|Immediately Post-flight,171,-0.4772313821489429,4.130027863298557e-11,0.15151515151515152
eye,Inspiration4,NK|Immediately Post-flight,150,-0.6169074181074715,4.2505118908923897e-17,0.0
gastrocnemius,Inspiration4,NK|Immediately Post-flight,154,0.458514666863813,2.2322291999186075e-09,0.8488372093023255
kidney,Inspiration4,NK|Immediately Post-flight,151,-0.2150644823980481,0.008003984510859301,0.35714285714285715
liver,Inspiration4,NK|Immediately Post-flight,159,-0.2487341772151899,0.0015695317676720044,0.16666666666666666
skin,Inspiration4,NK|Immediately Post-flight,149,-0.38223834572827864,1.5057642848471343e-06,0.15151515151515152
thymus,Inspiration4,NK|Immediately Post-flight,153,-0.43519225872167044,1.891706515731476e-08,0.16666666666666666
eye,Inspiration4,other_T|Immediately Post-flight,151,-0.6567933077727429,5.3440496414521996e-20,0.0
gastrocnemius,Inspiration4,other_T|Immediately Post-flight,155,0.47319454738809574,5.043837445145854e-10,0.8333333333333334
kidney,Inspiration4,other_T|Immediately Post-flight,152,-0.2348669687463692,0.003584493433731839,0.3728813559322034
liver,Inspiration4,other_T|Immediately Post-flight,160,-0.32208191726239305,3.276695391929095e-05,0.16666666666666666
skin,Inspiration4,other_T|Immediately Post-flight,150,-0.355320680919152,8.125580048358454e-06,0.24324324324324326
thymus,Inspiration4,other_T|Immediately Post-flight,154,-0.45965482967380505,2.0134442190601903e-09,0.2
eye,Inspiration4,other|Immediately Post-flight,76,-0.7397129186602871,2.2993289689851998e-14,0.0
gastrocnemius,Inspiration4,other|Immediately Post-flight,76,0.638961038961039,5.260085411648083e-10,0.9423076923076923
kidney,Inspiration4,other|Immediately Post-flight,76,-0.2723444976076555,0.017309173129484007,0.2777777777777778
liver,Inspiration4,other|Immediately Post-flight,76,-0.5183048530416952,1.6208289545396405e-06,0.13333333333333333
skin,Inspiration4,other|Immediately Post-flight,76,-0.4709774436090225,1.756486667688284e-05,0.22727272727272727
thymus,Inspiration4,other|Immediately Post-flight,76,-0.37561175666438823,0.0008270947193475814,0.15217391304347827
eye,NASA_Twins,CD19|Post-flight vs Pre-flight,47,-0.22317298797409804,0.13158322168062214,0.2894736842105263
gastrocnemius,NASA_Twins,CD19|Post-flight vs Pre-flight,49,0.015816326530612244,0.914104492604176,0.5833333333333334
kidney,NASA_Twins,CD19|Post-flight vs Pre-flight,48,0.06328701693443335,0.669134371766623,0.45
liver,NASA_Twins,CD19|Post-flight vs Pre-flight,50,-0.1958703481392557,0.1728105780743738,0.5
skin,NASA_Twins,CD19|Post-flight vs Pre-flight,45,-0.3915678524374176,0.007815406006196174,0.14285714285714285
thymus,NASA_Twins,CD19|Post-flight vs Pre-flight,49,-0.31316326530612243,0.0284524914579749,0.25
eye,NASA_Twins,CD4|In-flight vs Pre-flight,92,-0.6183746127645144,5.0965047254597426e-11,0.0
gastrocnemius,NASA_Twins,CD4|In-flight vs Pre-flight,96,0.3294899620184482,0.0010451409031135052,0.8301886792452831
kidney,NASA_Twins,CD4|In-flight vs Pre-flight,93,0.18680433290561305,0.0729842457836814,0.2894736842105263
liver,NASA_Twins,CD4|In-flight vs Pre-flight,98,-0.30906795707973905,0.0019578928108161774,0.0
skin,NASA_Twins,CD4|In-flight vs Pre-flight,90,-0.20806683952751368,0.049079858981294605,0.0
thymus,NASA_Twins,CD4|In-flight vs Pre-flight,95,-0.21864501679731244,0.033278747549001106,0.45098039215686275
eye,NASA_Twins,CD4|Post-flight vs Pre-flight,85,-0.6922024623803009,2.1839541921164381e-13,0.0
gastrocnemius,NASA_Twins,CD4|Post-flight vs Pre-flight,89,0.4148450800136194,5.2989859179969104e-05,0.7916666666666666
kidney,NASA_Twins,CD4|Post-flight vs Pre-flight,86,0.3562715222416151,0.0007605308100664307,0.3142857142857143
liver,NASA_Twins,CD4|Post-flight vs Pre-flight,91,-0.3353081700907788,0.0011580367795285072,0.0
skin,NASA_Twins,CD4|Post-flight vs Pre-flight,83,-0.0988203685823433,0.3740992821789109,0.0
thymus,NASA_Twins,CD4|Post-flight vs Pre-flight,88,-0.24657461871719913,0.02056467729562442,0.4897959183673469
eye,NASA_Twins,CD8|In-flight vs Pre-flight,83,-0.6668485789849291,5.885738506833686e-12,0.029411764705882353
gastrocnemius,NASA_Twins,CD8|In-flight vs Pre-flight,86,0.3807443747346572,0.0002986956247933668,0.82
kidney,NASA_Twins,CD8|In-flight vs Pre-flight,84,0.12232459248759744,0.2676487094688342,0.35135135135135137
liver,NASA_Twins,CD8|In-flight vs Pre-flight,86,-0.45238926364451154,1.2259709025250501e-05,0.047619047619047616
skin,NASA_Twins,CD8|In-flight vs Pre-flight,81,-0.2084010840108401,0.06189973100853836,0.05
thymus,NASA_Twins,CD8|In-flight vs Pre-flight,85,-0.2892905999609146,0.00724617436290176,0.3333333333333333
eye,NASA_Twins,CD8|Post-flight vs Pre-flight,93,-0.7607800423741458,8.94325666431897e-19,0.012987012987012988
gastrocnemius,NASA_Twins,CD8|Post-flight vs Pre-flight,97,0.4278087523669261,1.2376573601770204e-05,0.8301886792452831
kidney,NASA_Twins,CD8|Post-flight vs Pre-flight,94,0.23664342737420077,0.021655026304226443,0.35
liver,NASA_Twins,CD8|Post-flight vs Pre-flight,100,-0.36354035403540347,0.00020100999291459653,0.0
skin,NASA_Twins,CD8|Post-flight vs Pre-flight,91,-0.23172479694218828,0.027096053903162883,0.043478260869565216
thymus,NASA_Twins,CD8|Post-flight vs Pre-flight,96,-0.27565111231687467,0.006561521913635065,0.37254901960784315
eye,NASA_Twins,LD|In-flight vs Pre-flight,17,,,
gastrocnemius,NASA_Twins,LD|In-flight vs Pre-flight,17,,,
kidney,NASA_Twins,LD|In-flight vs Pre-flight,17,,,
liver,NASA_Twins,LD|In-flight vs Pre-flight,19,,,
skin,NASA_Twins,LD|In-flight vs Pre-flight,17,,,
thymus,NASA_Twins,LD|In-flight vs Pre-flight,17,,,
eye,NASA_Twins,LD|Post-flight vs Pre-flight,22,0.45567476002258617,0.033070067659191106,0.8
gastrocnemius,NASA_Twins,LD|Post-flight vs Pre-flight,23,-0.07411067193675888,0.7368224254146714,0.3333333333333333
kidney,NASA_Twins,LD|Post-flight vs Pre-flight,23,-0.4466403162055336,0.03263682786858689,0.35714285714285715
liver,NASA_Twins,LD|Post-flight vs Pre-flight,23,0.11561264822134389,0.5993707258000812,0.75
skin,NASA_Twins,LD|Post-flight vs Pre-flight,20,0.5834586466165413,0.00692269088157829,0.6666666666666666
thymus,NASA_Twins,LD|Post-flight vs Pre-flight,23,-0.18577075098814227,0.39606780480954484,0.375
