gene,module_color,kME_assigned,kMEblue,kMEbrown,kMEred,kMEturquoise,kMEyellow
H2ac15,brown,0.9442382768918146,-0.3439081977803174,0.9442382768918146,-0.6824026994032267,0.4312865385952761,-0.873296393199547
ENSMUSG00000114011,turquoise,0.9595662324416171,-0.4884711427638486,0.3902008512733214,-0.5380697658088307,0.9595662324416171,-0.3638580374405036
Oca2,turquoise,0.8867697177097371,-0.3742177386628434,0.23613533396277123,-0.31867990527532597,0.8867697177097371,-0.2119202284926729
Gm24924,brown,0.2974117277179422,-0.023503593095243688,0.2974117277179422,-0.26442455275253224,0.06957081244336617,-0.27410032411339474
Actbl2,turquoise,0.9636375506592036,-0.4850121539047837,0.24433028048998254,-0.3689232342926659,0.9636375506592036,-0.2260377104721471
Krtap10-10,turquoise,0.9684626348961336,-0.5183804523241617,0.44494580051248633,-0.558785028311246,0.9684626348961336,-0.4031769734228999
ENSMUSG00000104423,turquoise,0.9730887253076895,-0.4906690942840255,0.2771335924270308,-0.4561840142583742,0.9730887253076895,-0.252451206720523
Padi3,turquoise,0.9664642914744863,-0.4246535646878896,0.3528802945113101,-0.41544857710998223,0.9664642914744863,-0.2878304154133173
Krtap16-1,turquoise,0.963728351211127,-0.4953485467112317,0.46851269131580364,-0.5560926133701991,0.963728351211127,-0.41086551061780135
Krtap29-1,turquoise,0.9738824877174689,-0.47434934183194727,0.3101938855065195,-0.48046941183133024,0.9738824877174689,-0.2883909106712078
H3c14,yellow,0.831943088123338,0.13628599819015047,-0.8342423246279334,0.4303143926669228,-0.018016420889281636,0.831943088123338
ENSMUSG00000108294,brown,0.7657056564156648,-0.2518478369673824,0.7657056564156648,-0.5478281660433718,0.17946173281363403,-0.7748773781243927
Gm9736,turquoise,0.9281687164098917,-0.5232305462416041,0.5681101673258717,-0.621550736345973,0.9281687164098917,-0.5354147711016297
Igkv14-126,blue,0.522648262707919,0.522648262707919,-0.5191262352749124,0.46973097483085235,-0.2808982493412602,0.6678195068596395
Gm45618,turquoise,0.8420609081732189,-0.4868126972812933,0.671290806555163,-0.6687403367128807,0.8420609081732189,-0.6283890129422807
Krt74,turquoise,0.9703073017875926,-0.4402280680411518,0.4115088248107079,-0.5185267453925974,0.9703073017875926,-0.369815806832713
Gm10318,turquoise,0.9670107144538752,-0.511933584146091,0.43696710378924736,-0.5261881056210599,0.9670107144538752,-0.3839786197689006
Crnn,turquoise,0.9623012156026867,-0.424102966799021,0.18074309777300937,-0.3234415796112222,0.9623012156026867,-0.1316850164567787
Otop2,turquoise,0.9638151102765217,-0.45026820280735824,0.4096255308640166,-0.5176071824568231,0.9638151102765217,-0.33739038345346917
ENSMUSG00000045455,brown,0.8744337454578412,-0.3074065413166115,0.8744337454578412,-0.5555851869170113,0.3161710565070893,-0.8704855897666671
ENSMUSG00000082585,red,0.3968386965086065,0.11221813780730353,-0.1684810163678414,0.3968386965086065,-0.15854099695305118,0.021344938545702383
Gja3,turquoise,0.9826511595960394,-0.46792644414350965,0.3248207200982821,-0.44023258961876066,0.9826511595960394,-0.3046266738336392
Ly6g6d,turquoise,0.9283805974499759,-0.4728021379020773,0.611838957246042,-0.6002052555504394,0.9283805974499759,-0.5508824580384344
Cryba4,turquoise,0.9418552947412938,-0.4422379857108548,0.535229094683667,-0.5071344036478546,0.9418552947412938,-0.4929234076807999
S100a3,turquoise,0.9790583049428772,-0.48660496116730734,0.37484536126704754,-0.461217452150459,0.9790583049428772,-0.33328286624343173
Gm9508,turquoise,0.8580948695620171,-0.5063527717478753,0.6162131113057555,-0.6229740495878217,0.8580948695620171,-0.5823693334771848
AU018091,turquoise,0.9452117499334334,-0.38748751434037776,0.19901880445194525,-0.37758022621206955,0.9452117499334334,-0.1531251381921377
ENSMUSG00000110254,turquoise,0.8724841127565531,-0.5068286322065069,0.6098454613819787,-0.625781650056039,0.8724841127565531,-0.5714949067740148
Gm10024,turquoise,0.9649389772604681,-0.5339692729668123,0.4245623283818161,-0.5053263026612447,0.9649389772604681,-0.3882224558900989
Krtap20-2,turquoise,0.7428045482274307,-0.388451464047596,0.17527543084397304,-0.2890620832639282,0.7428045482274307,-0.1322318750652701
Krt25,turquoise,0.9374717538295553,-0.4349838488103403,0.32436456709261435,-0.3652315989213839,0.9374717538295553,-0.2626018229030694
Krtap5-1,turquoise,0.8591439671426158,-0.52072110938023,0.6149265986838898,-0.6258840145822469,0.8591439671426158,-0.59795558020612
Gm10272,turquoise,0.9258454573754753,-0.5173072135763186,0.5490182273885161,-0.6022512174166426,0.9258454573754753,-0.5127225506974683
H3c10,brown,0.9279938294112275,-0.38148262405385497,0.9279938294112275,-0.6341602171578488,0.454849412794948,-0.8620728714670713
ENSMUSG00000078132,turquoise,0.9519649799393475,-0.4516905487646888,0.3867772189378657,-0.5165005844470731,0.9519649799393475,-0.347188175617952
Gm11937,turquoise,0.78035707241203,-0.4570726528881844,0.6898722823770799,-0.6585342158749956,0.78035707241203,-0.650115815561
Krt82,turquoise,0.9686105289046415,-0.49254503907387887,0.3513855640260515,-0.4597241390135332,0.9686105289046415,-0.31800273597345174
Psors1c2,turquoise,0.9876451592459677,-0.47917471826573244,0.3815985312574788,-0.47999736011298527,0.9876451592459677,-0.3301658612751624
Spink12,turquoise,0.8048740080131952,-0.4029479861007697,0.024427088978977256,-0.20287603956706501,0.8048740080131952,0.06270655480242844
Gm11564,turquoise,0.8618398035533212,-0.4898010585830166,0.5748803339512406,-0.5698412624001954,0.8618398035533212,-0.525346939141119
Krt73,turquoise,0.9364710661695359,-0.4235160921814991,0.30330965561049944,-0.35647757572373195,0.9364710661695359,-0.24905041392872315
Tm4sf4,turquoise,0.9484579096100249,-0.3963156296406206,0.2622657651110543,-0.3710715625306119,0.9484579096100249,-0.2597315579817795
Capn12,turquoise,0.9693245271669833,-0.4690126143269756,0.4602900111464397,-0.5257975955085886,0.9693245271669833,-0.40489092408369476
ENSMUSG00000092412,blue,0.20045021984042008,0.20045021984042008,-0.18041736591976268,0.09087320103022174,-0.037761184605244316,0.19775428086699895
ENSMUSG00000089731,turquoise,0.832256587155812,-0.5006129398281762,0.6284008715145434,-0.619385349040297,0.832256587155812,-0.6021887952963363
ENSMUSG00000048643,turquoise,0.9390316753368777,-0.4322859515594549,0.3981627669893063,-0.5147154442113301,0.9390316753368777,-0.3750250711559779
Gm10100,turquoise,0.8634761484971203,-0.4969952301116598,0.6283677744640502,-0.6421611837428259,0.8634761484971203,-0.5869584135180167
Trpc2,brown,0.7180006013098944,-0.036808092547156245,0.7180006013098944,-0.4865582752795454,0.13592951850628146,-0.6629350749413999
Ctse,turquoise,0.9490602322442495,-0.4469026466394277,0.2123770638089529,-0.2934697336245239,0.9490602322442495,-0.17082208323181672
Gm7138,turquoise,0.8282688898513255,-0.4472879072818961,0.6276421253825049,-0.6198911548457747,0.8282688898513255,-0.5777939530875759
LOC100862043,brown,0.753430953532252,-0.04520637265884793,0.753430953532252,-0.46106811537187437,0.14059389589699575,-0.7167096470093112
Pinlyp,turquoise,0.9442864568870205,-0.4356610176535655,0.4392743487016077,-0.4993359259946485,0.9442864568870205,-0.35194774652276417
Idi2,turquoise,0.706178706141518,-0.3542034136934689,0.03373560518536541,-0.0420055656390775,0.706178706141518,0.024184659628333095
Krtap6-3,turquoise,0.8995286978957405,-0.43344585142280934,0.16986189882283625,-0.36318447155874534,0.8995286978957405,-0.1456766664406064
ENSMUSG00000095742,brown,0.9467910266669807,-0.2491099511854281,0.9467910266669807,-0.6449885495388543,0.1968556645654819,-0.8743496542535573
H2bc24,brown,0.635734990709584,-0.22502612702435976,0.635734990709584,-0.40027268424568224,0.2980146909808762,-0.5593006898792972
