pert_id,perturbation,rev_thymus,rev_gastrocnemius,rev_skin,rev_eye,rev_liver,rev_kidney,n_tissues,mean_rev,min_rev,max_rev
BRD-A62184259,Cycloheximide,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-A58924247,2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide,,0.0909,,,,,1,0.0909,0.0909,0.0909
BRD-K02708799,GSK-1059615,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K05104363,PD-184352,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-A87137733,GSK-690693,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-A39996500,radicicol,,0.0909,,,,0.0909,2,0.0909,0.0909,0.0909
BRD-K12244279,-666,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-A20968261,-666,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-A75409952,wortmannin,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K19540840,saracatinib,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K23192422,L-6307,,,,,,0.0909,1,0.0909,0.0909,0.0909
BRD-K37764012,PF-3758309,,,,0.0882,,,1,0.0882,0.0882,0.0882
BRD-K74236984,UNC0321,,,,,0.08,0.0909,2,0.08545,0.08,0.0909
BRD-K23478508,-666,0.1077,,,0.0588,,,2,0.08325,0.0588,0.1077
BRD-K07667918,linsitinib,,,,,0.08,,1,0.08,0.08,0.08
BRD-K96263742,-666,,,,,0.08,,1,0.08,0.08,0.08
BRD-K92093830,-666,,,,,0.08,,1,0.08,0.08,0.08
BRD-A25736793,everolimus,,,,,0.08,,1,0.08,0.08,0.08
BRD-K09951645,dabrafenib,,,,,0.08,,1,0.08,0.08,0.08
BRD-K79131256,ALBENDAZOLE,0.0769,,,,,,1,0.0769,0.0769,0.0769
BRD-K62609077,Scoulerine,0.0769,,,,,,1,0.0769,0.0769,0.0769
BRD-K90382497,GW 843682X,0.0769,,,,,,1,0.0769,0.0769,0.0769
BRD-K83336168,-666,0.0923,,,,0.06,,2,0.07615,0.06,0.0923
BRD-K74402642,Chemistry 2804,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K73044744,KUC104495 KUC104495N,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K75999307,NCGC00182357-01,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A48237631,MITOMYCIN C,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A19037878,trichostatin A,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K33272502,DG-041,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A61304759,tanespimycin,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-U08759356,EI-346,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K00627859,-666,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K00615600,AG14361,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K70577657,H-9 dihydrochloride,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A11007541,B4313,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K50140147,HY-10192,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K07303502,Arachidonyl trifluoro-methyl ketone,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K81418486,vorinostat,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K50234570,-666,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A04172077,NP-002491,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-A45498368,WYE-125132,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K82823804,-666,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K68202742,trichostatin A,,0.0758,,,,,1,0.0758,0.0758,0.0758
BRD-K10573841,T7765,,0.0758,,,,,1,0.0758,0.0758,0.0758
