perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
-666,BRD-K12184916,RMGI,0.63,6.0,0.06,11977753,CPC006_RMGI_6H:BRD-K12184916:0.63,,LEPROT|NPC1|TM4SF1
GF-109203X,BRD-K31342827,PL21,12.12,6.0,0.06,2396,CPC006_PL21_6H:BRD-K31342827:12.12,TRIM2,COL14A1|NPC1|WEE1
-666,BRD-A76528577,NPC,10.0,24.0,0.06,5022426,CPC016_NPC_24H:BRD-A76528577:10.0,NFIL3,KRT23|RIPK2|TM4SF1
480743.cdx,BRD-K53903639,NCIH596,80.0,6.0,0.06,19582717,CPC006_NCIH596_6H:BRD-K53903639:80.0,CLPX|GCLC,MATN2
Anisomycin,BRD-K91370081,HCC515,10.0,24.0,0.06,253602,CPC002_HCC515_24H:BRD-K91370081:10.0,,COL14A1|NPC1|PER3
Aloisine A,BRD-K93658967,VCAP,10.0,24.0,0.06,5326843,CPC002_VCAP_24H:BRD-K93658967:10.0,MICAL2|TUBB2A,TM4SF1
geldanamycin,BRD-A19500257,ASC,10.0,24.0,0.06,13017911,CPC015_ASC_24H:BRD-A19500257:10.0,TIMP4|TUBB2A,WEE1
CGP 57380,BRD-K42500029,HCC515,10.0,24.0,0.06,11644425,CPC004_HCC515_24H:BRD-K42500029:10.0,TUBB2A,KRT23|MATN2
thioridazine,BRD-A84481105,HT29,10.0,6.0,0.06,66062,CPC005_HT29_6H:BRD-A84481105:10.0,GCLC,MATN2|NPC1
Salermide,BRD-A67788537,A375,120.0,24.0,0.06,42626405,CPC006_A375_24H:BRD-A67788537:120.0,TIMP4,COL14A1|KRT23|RIPK2
-666,BRD-K12184916,CL34,0.63,6.0,0.06,11977753,CPC006_CL34_6H:BRD-K12184916:0.63,CDKN1A|GCLC,TM4SF1
RS 39604 hydrochloride,BRD-K20742498,HCC515,10.0,24.0,0.06,5145950,CPC004_HCC515_24H:BRD-K20742498:10.0,DNMT3B,GP2|MATN2
chaetocin,BRD-A85860691,HA1E,0.08,6.0,0.06,161591,CPC006_HA1E_6H:BRD-A85860691:0.08,DNMT3B|MICAL2,TM4SF1
PP-110,BRD-K03618428,HEC108,22.2,6.0,0.06,24905203,CPC006_HEC108_6H:BRD-K03618428:22.2,MICAL2|TUBB2A,MATN2
CAM-9-027-3,BRD-K45399554,HT115,10.0,6.0,0.06,49849912,CPC006_HT115_6H:BRD-K45399554:10.0,,BACE2|NPC1|TM4SF1
KU-0063794,BRD-K67566344,MDST8,10.0,6.0,0.06,16736978,CPC006_MDST8_6H:BRD-K67566344:10.0,TUBB2A,NPC1|RIPK2
cjd-pla-49-3,BRD-K40758391,NCIH1694,40.0,6.0,0.06,26871482,CPC006_NCIH1694_6H:BRD-K40758391:40.0,TRIM2|TUBB2A,BACE2
sirolimus,BRD-A79768653,NCIH596,10.0,6.0,0.06,5374464,CPC006_NCIH596_6H:BRD-A79768653:10.0,CLPX|TUBB2A,PRDX4
-666,BRD-K90382497,EFO27,10.0,6.0,0.06,9826308,CPC006_EFO27_6H:BRD-K90382497:10.0,,BACE2|MATN2|SPRR3
everolimus,BRD-A25736793,A375,0.37,24,0.08,,LJP007_A375_24H:BRD-A25736793:0.37,CLPX,BACE2|KRT23|SPRR3
PI-103,BRD-K67868012,A375,0.37,24,0.08,9884685,LJP006_A375_24H:BRD-K67868012:0.37,PSMD1|TUBB2A,COL14A1|NPC1|TM4SF1
linsitinib,BRD-K07667918,HT29,1.11,24,0.08,11640390,LJP005_HT29_24H:BRD-K07667918:1.11,,BACE2|KRT23|LEPROT|TM4SF1
dabrafenib,BRD-K09951645,A375,10,24,0.08,44462760,LJP009_A375_24H:BRD-K09951645:10,CLPX|MICAL2|TUBB2A,COL14A1
-666,BRD-K96263742,SKB,10.0,24.0,0.08,3392731,CPC015_SKB_24H:BRD-K96263742:10.0,MICAL2|TRIM2|TUBB2A,COL14A1
-666,BRD-K92093830,SKB,10.0,24.0,0.08,443939,CPC015_SKB_24H:BRD-K92093830:10.0,CDKN1A|TRIM2,MATN2|SPRR3
UNC0321,BRD-K74236984,NCIH1694,10.0,6.0,0.08,46901937,CPC006_NCIH1694_6H:BRD-K74236984:10.0,TRIM2|TUBB2A,KRT23|MATN2
-666,BRD-K12184916,A375,0.63,24.0,0.08,11977753,CPC006_A375_24H:BRD-K12184916:0.63,DNMT3B|PSMD1|TIMP4|TUBB2A,TM4SF1
AZD-5438,BRD-K72414522,HA1E,0.37,24,0.1,16747683,LJP006_HA1E_24H:BRD-K72414522:0.37,CDKN1A|TUBB2A,COL14A1|MATN2|TM4SF1
