perturbation,pert_id,cell_line,dose_um,time_h,score,pubchem_id,sig_id,overlap_up_dn,overlap_dn_up
CGP-60474,BRD-K79090631,HT29,0.37,24,0.0758,644215,LJP006_HT29_24H:BRD-K79090631:0.37,AUTS2,ADAMTS1|HLF|NR1D2|TNNT1|TSPAN4
geldanamycin,BRD-A19500257,A375,10.0,6.0,0.0758,13017911,CPC005_A375_6H:BRD-A19500257:10.0,,ATP2A2|DNAJB9|GABARAPL1|MIR22HG|TNNC1|TNNT1
geldanamycin,BRD-A19500257,HA1E,10.0,6.0,0.0758,13017911,CPC005_HA1E_6H:BRD-A19500257:10.0,FOSB|SOX4,ATP2A2|DNAJB9|MLLT11|TNNT1
vorinostat,BRD-K81418486,HT29,10.0,24.0,0.0758,5311,CPC005_HT29_24H:BRD-K81418486:10.0,AUTS2|LSM6|TNFAIP2,MIR22HG|TNNT1|TSPAN4
BNTX maleate,BRD-A55484088,PC3,10.0,24.0,0.0758,44369694,CPC005_PC3_24H:BRD-A55484088:10.0,SOX4,GABARAPL1|MIR22HG|MLLT11|PFN2
MITOMYCIN C,BRD-A48237631,HCC515,10.0,24.0,0.0758,5702003,CPC004_HCC515_24H:BRD-A48237631:10.0,AUTS2|SOX4,MIR22HG|MLLT11|TRA2A
AG14361,BRD-K00615600,HA1E,25.0,6.0,0.0758,9840076,CPC006_HA1E_6H:BRD-K00615600:25.0,CDKN1A|NFIL3|SOX4|TNFAIP2,TNNC1|TNNT1
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HCC515,80.0,24.0,0.0758,5280436,CPC006_HCC515_24H:BRD-K07303502:80.0,SOX4,DNAJB9|GABARAPL1|MIR22HG|MLLT11
B675700.cdx,BRD-K88510285,HCC515,0.04,24.0,0.0758,387447,CPC006_HCC515_24H:BRD-K88510285:0.04,PPP1R3C|SOX4,DNAJB9|GABARAPL1|MIR22HG|MLLT11
COT-10b,BRD-K18190982,HEC108,44.4,6.0,0.0758,73707373,CPC006_HEC108_6H:BRD-K18190982:44.4,AUTS2|SOX4,MYH2|MYL2|TNNI1|TNNT1|TPM3
trichostatin A,BRD-A19037878,HT29,10.0,24.0,0.0758,6376322,CPC006_HT29_24H:BRD-A19037878:10.0,AUTS2|LSM6|TNFAIP2,MIR22HG|TNNT1|TSPAN4
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HT29,80.0,24.0,0.0758,5280436,CPC006_HT29_24H:BRD-K07303502:80.0,AUTS2|LSM6|SOX4,DNAJB9|GABARAPL1|MIR22HG|MLLT11
DG-041,BRD-K33272502,A549,40.0,6.0,0.0758,11296282,CPC006_A549_6H:BRD-K33272502:40.0,B4GALT5|PPP1R3C,ADAMTS1|DNAJB9|MIR22HG|PER2|SLC19A2
Narciclasine,BRD-K06792661,HCC515,10.0,24.0,0.0909,72376,CPC006_HCC515_24H:BRD-K06792661:10.0,PPP1R3C,MIR22HG|NR1D2|PER2|PER3|TRA2A
-666,BRD-K53414658,RMGI,10.0,6.0,0.0909,9911830,CPC006_RMGI_6H:BRD-K53414658:10.0,ADCY2|AUTS2,GABARAPL1|IGF1R|PIK3IP1|SLC19A2
2-[(chloroacetyl)(4-methoxyphenyl)amino]-N-cyclohexyl-2-pyridin-3-ylacetamide,BRD-A58924247,HT29,10.0,24.0,0.0909,4381126,CPC007_HT29_24H:BRD-A58924247:10.0,AUTS2|LSM6|SOX4,DNAJB9|GABARAPL1|IGF1R|MIR22HG
withaferin-a,BRD-K88378636,MCF10A,3.33,24,0.0909,265237,LJP006_MCF10A_24H:BRD-K88378636:3.33,LSM6,DNAJB9|GABARAPL1|MIR22HG|MLLT11|PIK3IP1
A443654,BRD-K88573743,MCF7,1.11,3,0.0909,,LJP006_MCF7_3H:BRD-K88573743:1.11,AUTS2|DYRK2|NFIL3|SOX4,MYL2|TNNC1|TNNT1|TSPAN4
QL-X-138,BRD-K72636697,PC3,10,24,0.0909,73707530,LJP006_PC3_24H:BRD-K72636697:10,PPP1R3C,DNAJB9|GABARAPL1|IGF1R|NR1D2|PER2|SIRT1
radicicol,BRD-A39996500,HCC515,10,24,0.0909,5311380,LJP006_HCC515_24H:BRD-A39996500:10,CDKN1A|FOSB,GABARAPL1|MIR22HG|MLLT11|TNNT1
Y-39983,BRD-K56751279,MDAMB231,3.33,3,0.1061,9810884,LJP006_MDAMB231_3H:BRD-K56751279:3.33,AUTS2,MYH2|MYL2|TNNC1|TNNI1|TNNT1|TPM3
QL-XII-47,BRD-K99252563,BT20,1.11,24,0.1212,71748056,LJP006_BT20_24H:BRD-K99252563:1.11,PPP1R3C,DNAJB9|GABARAPL1|IGF1R|PER2|PIK3IP1|SIRT1|SLC19A2
CGP-60474,BRD-K79090631,MCF7,0.37,3,0.1364,644215,LJP005_MCF7_3H:BRD-K79090631:0.37,AUTS2|DYRK2|NFIL3|SOX4,MYH2|MYL2|PCK1|TNNC1|TNNI1|TNNT1|TPM3
