term,target,ko_direction,pvalue,odds,combined_score,overlap_genes,adj_pvalue
GPNMB Down,GPNMB,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,CDKN1A|PEG3|MAP7|MICAL2|SIX1|RAD23B,0.21458838082503795
ITGB3 Down,ITGB3,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,GCLC|CHKA|MAP7|MICAL2|SIX1|RAD23B,0.21458838082503795
LTA Down,LTA,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,CDKN1A|TUBB2A|PEG3|AOX1|NPAS2|TIMP4,0.21458838082503795
TUBB1 Down,TUBB1,Down,0.0014820513416898538,5.2287234042553195,34.061619847535184,CDKN1A|PSMD11|MAP7|RAD23B|CLPX|TIMP4,0.21458838082503795
CDK14 Down,CDK14,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,CDKN1A|TUBB2A|CHKA|PEG3|DNMT3B|MAP7,0.21458838082503795
LIPF Down,LIPF,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,CDKN1A|PSMD11|PEG3|MAP7|ASAP2|TIMP4,0.21458838082503795
SLC7A2 Down,SLC7A2,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,CDKN1A|PEG3|MAP7|APBB2|DTX4|CLPX,0.21458838082503795
BMPR2 Down,BMPR2,Down,0.0015129025852380757,5.2067626026308815,33.81128568671064,UGDH|CDKN1A|PPFIA1|DNMT3B|MAP7|SIX1,0.21458838082503795
KDM4A Down,KDM4A,Down,0.0015760728535172278,5.163383241397426,33.3183778032813,GCLC|TUBB2A|NEK4|MICAL2|AHSP|TUBB4B,0.21458838082503795
RAI2 Down,RAI2,Down,0.0015760728535172278,5.163383241397426,33.3183778032813,TUBB2A|PEG3|TRIM2|MAP7|AOX1|TIMP4,0.21458838082503795
SLC7A14 Down,SLC7A14,Down,0.0015760728535172278,5.163383241397426,33.3183778032813,CDKN1A|TUBB2A|PSMD11|PEG3|GRK5|MAP7,0.21458838082503795
MCTP2 Down,MCTP2,Down,0.006544453696430489,4.501144164759725,22.636872245485925,CDKN1A|GSR|PPFIA1|MICAL2|NPAS2,0.2740034856844641
GUCY2C Down,GUCY2C,Down,0.006777277068562443,4.461887477313975,22.283468621424735,CDKN1A|TUBB2A|NFIL3|PPFIA1|MICAL2,0.2740034856844641
DCLK3 Down,DCLK3,Down,0.00713732002223985,4.404255319148936,21.7676704141288,GCLC|TUBB2A|PEG3|DNMT3B|MICAL2,0.2740034856844641
MARK3 Down,MARK3,Down,0.00713732002223985,4.404255319148936,21.7676704141288,UGDH|CYP26B1|TUBB2A|DDIT4|MICAL2,0.2740034856844641
IL6 Down,IL6,Down,0.00713732002223985,4.404255319148936,21.7676704141288,CDKN1A|DDIT4|MICAL2|ALX1|CLPX,0.2740034856844641
APOE Down,APOE,Down,0.0072602522462910215,4.385370205173952,21.599442382777305,MAP7|MICAL2|SIX1|RAD23B|CLPX,0.2740034856844641
XYLB Down,XYLB,Down,0.0072602522462910215,4.385370205173952,21.599442382777305,UGDH|CDKN1A|PEG3|MAP7|ASAP2,0.2740034856844641
KLRD1 Down,KLRD1,Down,0.0072602522462910215,4.385370205173952,21.599442382777305,CDKN1A|CHKA|PEG3|MAP7|MICAL2,0.2740034856844641
GNG11 Down,GNG11,Down,0.0072602522462910215,4.385370205173952,21.599442382777305,CDKN1A|TUBB2A|PEG3|NFIL3|ASAP2,0.2740034856844641
HRK Down,HRK,Down,0.0072602522462910215,4.385370205173952,21.599442382777305,CDKN1A|CHKA|MAP7|MICAL2|RAD23B,0.2740034856844641
CDHR3 Down,CDHR3,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,CDKN1A|TUBB2A|MAP7|MICAL2|NPAS2,0.2740034856844641
WT1 Down,WT1,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,TUBB2A|PEG3|GRK5|HSPB3|DTX4,0.2740034856844641
VEGFC Down,VEGFC,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,GCLC|PPFIA1|MAP7|MICAL2|AHSP,0.2740034856844641
SCNM1 Down,SCNM1,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,UGDH|CYP26B1|TUBB2A|MAP7|NPAS2,0.2740034856844641
S1PR2 Down,S1PR2,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,TUBB2A|GRK5|PPFIA1|MAP7|MICAL2,0.2740034856844641
KIT Down,KIT,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,UGDH|TRIM2|NRIP1|APBB2|TIMP4,0.2740034856844641
HTR3A Down,HTR3A,Down,0.0073846582565567495,4.36664445924939,21.433022123664735,UGDH|CDKN1A|GSR|MAP7|MICAL2,0.2740034856844641
