"pathway","pval","padj","log2err","ES","NES","size","Cell_Type","mission","comparison","leadingEdge_str","sheet"
"HALLMARK_ALLOGRAFT_REJECTION",0.0360101623771126,0.147091932457786,0.0786526746440488,-0.450452635973917,-1.57275308578628,25,"CD16+ Monocyte",NA,NA,"RPS19;B2M;CTSS;RPL39;RPS3A;RPS9;HLA-DRA;RPL9;CD74;HLA-A;TIMP1","I4-LP3"
"HALLMARK_APICAL_JUNCTION",0.565803864382063,0.754405152509418,0.0154580379702625,-0.311467855216222,-0.923966006981859,13,"CD16+ Monocyte",NA,NA,"ACTB;PFN1","I4-LP3"
"HALLMARK_APOPTOSIS",0.888635818748502,0.888635818748502,0.00852439300283455,-0.2038656662804,-0.617247080868519,14,"CD16+ Monocyte",NA,NA,"IFITM3;TIMP1;TSPO;TXNIP;ANXA1;SOD1;TNFSF10","I4-LP3"
"HALLMARK_COMPLEMENT",0.508090981102184,0.739041427057722,0.0159837948921306,-0.292027915585471,-0.977945380153015,21,"CD16+ Monocyte",NA,NA,"FCER1G;PFN1;CTSS;SERPINA1;CEBPB;TIMP1;CALM1","I4-LP3"
"HALLMARK_HYPOXIA",0.64914017072869,0.796627728360662,0.013732778990967,-0.29390367078899,-0.849239671707718,12,"CD16+ Monocyte",NA,NA,"S100A4","I4-LP3"
"HALLMARK_IL2_STAT5_SIGNALING",0.838754764930114,0.888635818748502,0.0103541564258772,-0.246348315571732,-0.676114540706125,10,"CD16+ Monocyte",NA,NA,"IFITM3;FGL2;CDKN1C;CD48;TNFSF10;GBP4","I4-LP3"
"HALLMARK_INFLAMMATORY_RESPONSE",0.284276729559748,0.649775381850853,0.0663458340758821,0.247058823529412,1.1165186849657,15,"CD16+ Monocyte",NA,NA,"PIK3R5;NAMPT;PTPRE;RNF144B;LCP2;LYN;NFKB1","I4-LP3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0367904695164681,0.147091932457786,0.0800618093065621,-0.496062992125984,-1.57752204781137,17,"CD16+ Monocyte",NA,NA,"B2M;IFITM3;HLA-C;IFITM2;CD74;PSME2;TXNIP;IFI30;PSME1;PSMB9;LY6E;GBP2;PSMB8;GBP4;CASP1;LAP3;BST2","I4-LP3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.100615114235501,0.268306971294669,0.0454461345170903,-0.39911640156273,-1.40635202039857,26,"CD16+ Monocyte",NA,NA,"B2M;IFITM3;HLA-B;IFITM2;HLA-DRB1;CD74;HLA-A;FGL2;PSME2;TXNIP;IFI30;PSME1;PSMB9;LY6E;MT2A;PSMB10;PSMB8;TNFSF10;GBP4;CASP1;LAP3;BST2","I4-LP3"
"HALLMARK_KRAS_SIGNALING_UP",0.697049262315579,0.796627728360662,0.0128548326055892,-0.287678003923609,-0.810558402695922,11,"CD16+ Monocyte",NA,NA,"FCER1G;CTSS","I4-LP3"
"HALLMARK_MITOTIC_SPINDLE",0.0459662288930582,0.147091932457786,0.145392780236481,0.423300970873786,1.57868459701774,10,"CD16+ Monocyte",NA,NA,"MYO9B;DOCK2;NEDD9;SSH2;AKAP13;ABR;TIAM1;FGD4;FLNA","I4-LP3"
"HALLMARK_MTORC1_SIGNALING",0.451695224207073,0.739041427057722,0.0187592166676672,-0.344342767490658,-1.0214890769083,13,"CD16+ Monocyte",NA,NA,"PPIA;FGL2;CORO1A;IFI30;TPI1;PSMA4;PGK1;ENO1;CTSC;PRDX1;SERP1;GAPDH","I4-LP3"
"HALLMARK_MYC_TARGETS_V1",0.00703046534984935,0.11248744559759,0.181914998907505,-0.512351664827078,-1.75545437628278,23,"CD16+ Monocyte",NA,NA,"RPL34;RPS2;RPL18;RPS3;RPS6;NAP1L1;RPL6;RPS5;RPL14;PPIA;EEF1B2;RPL22;RACK1;HSP90AB1;RPS10;PSMA4;RPLP0;PSMA7;PGK1;HNRNPC;SLC25A3","I4-LP3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.02743312464428,0.147091932457786,0.0919032203847858,-0.489108910891089,-1.61833207022001,20,"CD16+ Monocyte",NA,NA,"SLC25A6;NDUFA4;COX7C;ATP5F1E;UQCRB;COX4I1;COX6A1;COX6C;COX8A;COX7A2;COX6B1;COX5B;NDUFA1;ATP5MG;SLC25A3;COX7B;ATP6V1G1;SLC25A5;ATP5MC2;ATP5MC3","I4-LP3"
"HALLMARK_P53_PATHWAY",0.455064194008559,0.739041427057722,0.0183212127881678,-0.332640148449685,-1.02390793001539,15,"CD16+ Monocyte",NA,NA,"S100A4;RPS12;RPL18;RPL36;TXNIP;IFI30;RACK1","I4-LP3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.477423239012643,0.739041427057722,0.0491752606397225,0.221135029354207,0.965482050708394,14,"CD16+ Monocyte",NA,NA,"CD83;NAMPT;PTPRE;CD44;NFKB1;TNFAIP2;TNFAIP8;B4GALT1;BCL2A1;KLF2;JUNB;EIF1;ID2;CEBPB","I4-LP3"
"HALLMARK_ALLOGRAFT_REJECTION",0.0516932165840279,0.116309737314063,0.0635916868333331,-0.494163580645689,-1.47227215791418,23,"Dendritic Cell",NA,NA,"RPS3A;RPL39;RPS19;RPL9;B2M;RPS9;HLA-DRA;CD74;GZMB","I4-LP3"
"HALLMARK_APICAL_JUNCTION",0.718578583353208,0.808400906272359,0.0117175199600838,-0.319203480264167,-0.802457990861513,10,"Dendritic Cell",NA,NA,"PFN1;ACTB;ACTG1","I4-LP3"
"HALLMARK_COMPLEMENT",0.904230857668429,0.904230857668429,0.00751845746270342,-0.232870694997573,-0.612576516110007,12,"Dendritic Cell",NA,NA,"PFN1;GZMB;FCER1G;IRF7;CALM1","I4-LP3"
"HALLMARK_IL2_STAT5_SIGNALING",0.0306834030683403,0.0920502092050209,0.218259775284787,0.443974630021142,1.68985148564748,11,"Dendritic Cell",NA,NA,"CD83;BCL2;CD44;CCND3;SLC2A3;PRKCH;CD86;MAP3K8;IRF8;CD48;CAPG","I4-LP3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.483814903323919,0.622047732845039,0.0161005990494625,-0.353153564421521,-1.01019442428223,18,"Dendritic Cell",NA,NA,"B2M;CD74;HLA-B;HLA-DRB1;HLA-A;IRF7;VAMP8;HLA-DMA;PSME1;IFI30;PSME2;HLA-DQA1","I4-LP3"
"HALLMARK_MYC_TARGETS_V1",0.00335922737770313,0.0151165231996641,0.256635016972443,-0.571661897765888,-1.72352657413691,25,"Dendritic Cell",NA,NA,"RPL6;RPL18;RPS6;RPS3;RPL34;RPS2;RPS5;RPLP0;RPL14;RPL22;EEF1B2;RACK1;PPIA","I4-LP3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0975051975051975,0.175509355509356,0.0448553253356751,-0.445175438596491,-1.36525577832559,28,"Dendritic Cell",NA,NA,"ATP5F1E;COX4I1;SLC25A6;ATP5MG;NDUFA4;COX8A;COX7C;UQCRB;COX6A1;SLC25A5;ATP5MC2;COX6B1;ATP5MC3;COX6C;ATP6V1G1;COX7A2;COX5B;ATP5MF;NDUFA1;ATP5F1A;SLC25A3;UQCRH;COX5A;ATP5PO;NDUFC2;NDUFV2;ATP6V0B;LDHB","I4-LP3"
"HALLMARK_P53_PATHWAY",0.121670839972684,0.182506259959026,0.0417110149952,-0.509056285848339,-1.36021894493081,13,"Dendritic Cell",NA,NA,"RPS12;RPL18;S100A4;RACK1;RPL36;HINT1;S100A10","I4-LP3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000925496842915054,0.00832947158623549,0.477270815362862,0.541964651544391,2.31958388413249,14,"Dendritic Cell",NA,NA,"NAMPT;CD83;ATP2B1;B4GALT1;NR4A3;CD44;TNFAIP8;NFKB1;SLC2A3;PTPRE;AREG;NR4A2","I4-LP3"
"HALLMARK_ALLOGRAFT_REJECTION",0.190082644628099,0.253443526170799,0.0323900972490276,-0.372676607180799,-1.27531136968236,18,"Natural Killer Cell",NA,NA,"B2M;GZMA;GZMB;RPL39;RPS19;CCL5;RPL9","I4-LP3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.126870363384886,0.253443526170799,0.0430778341543233,-0.468198953035919,-1.35824178975819,10,"Natural Killer Cell",NA,NA,"B2M;GZMA;CCL5;IFITM2","I4-LP3"
"HALLMARK_MYC_TARGETS_V1",0.0814779155132988,0.253443526170799,0.0535588041272954,-0.460080341515508,-1.43925693006237,13,"Natural Killer Cell",NA,NA,"RPS3;RPL18;RPS2;RPS5;RPL14;PPIA;RPS6;RPL34;RPL6;HNRNPC;RACK1","I4-LP3"
"HALLMARK_P53_PATHWAY",0.795926065635609,0.795926065635609,0.0109867987922639,-0.254544153560918,-0.738430755693168,10,"Natural Killer Cell",NA,NA,"RPS12;RPL18;S100A4","I4-LP3"
"HALLMARK_ALLOGRAFT_REJECTION",0.147872656947337,0.147872656947337,0.0434379986196493,-0.424650163126389,-1.35015564522134,11,"Other",NA,NA,"RPL39;RPS3A;RPL9;RPS19;B2M","I4-LP3"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.019008019008019,0.0285120285120285,0.180467893079923,0.50778983365587,1.82464536403723,10,"Other",NA,NA,"SLC24A3;TMEM164;SVIL;MED13L;CHPT1;JAK2;AREG;IGF1R;GAB2","I4-LP3"
"HALLMARK_MYC_TARGETS_V1",0.00074265389008054,0.00222796167024162,0.477270815362862,-0.6640625,-2.1113561491508,11,"Other",NA,NA,"RPS3;RPL18;RPS5;RPL14;RPS6;RPL6;RPL34;RPS2;HNRNPC;RPLP0;HNRNPA2B1","I4-LP3"
"HALLMARK_ALLOGRAFT_REJECTION",0.234733060820017,0.469466121640035,0.0298414327424622,-0.341811546963058,-1.22173979762273,25,"PBMC Pseudobulk",NA,NA,"B2M;RPL39;RPS19;RPS3A;RPL9;RPS9;CCL5;GZMA;CD3D;LTB;HLA-A;GZMB;STAT4","I4-LP3"
"HALLMARK_COMPLEMENT",0.379466119096509,0.505954825462012,0.0452289365362808,0.255777506418506,1.05287631340342,17,"PBMC Pseudobulk",NA,NA,"LYN;FCN1;S100A9;CD36;KYNU;PIK3R5;PLAUR","I4-LP3"
"HALLMARK_HYPOXIA",0.681863560732113,0.681863560732113,0.0284239138406456,0.246153846153846,0.820249024643285,10,"PBMC Pseudobulk",NA,NA,"PLAUR;EXT1;FOXO3;SLC2A3;RBPJ;MAP3K1;PLAC8;BTG1;CXCR4;S100A4","I4-LP3"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00261439954582672,0.0104575981833069,0.431707695803346,0.493851792074153,2.03287951895165,17,"PBMC Pseudobulk",NA,NA,"NAMPT;ATP2B1;LYN;CSF3R;PTPRE;AHR;PIK3R5;TLR2;PLAUR","I4-LP3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.615778136779752,0.681863560732113,0.0157151760107932,-0.282922827676657,-0.884415667126334,15,"PBMC Pseudobulk",NA,NA,"B2M;CCL5;HLA-B;GZMA;IFITM2;HLA-A;TXNIP;BTG1;STAT4;CD69","I4-LP3"
"HALLMARK_MYC_TARGETS_V1",9.31827050203797e-05,0.000745461640163038,0.538434096309916,-0.661796955523645,-2.13690115474491,17,"PBMC Pseudobulk",NA,NA,"RPS3;RPL18;RPS2;RPS6;RPS5;RPL34;RPL14;RPL6;EEF1B2;RPLP0;RACK1;RPL22;HNRNPC;RPS10;PPIA","I4-LP3"
"HALLMARK_P53_PATHWAY",0.342352291551629,0.505954825462012,0.0251257720879301,-0.370073217936655,-1.10953039780499,13,"PBMC Pseudobulk",NA,NA,"RPS12;RPL18;RPL36;S100A4;RACK1;HINT1;TXNIP;BTG1","I4-LP3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0106776180698152,0.0284736481861739,0.285313392143872,0.452012684959793,1.86065403489137,17,"PBMC Pseudobulk",NA,NA,"NAMPT;ATP2B1;PTPRE;SAT1;KYNU;TNFAIP2;TLR2;PLAUR;CD44","I4-LP3"
"HALLMARK_ALLOGRAFT_REJECTION",0.651453684922245,0.740288278320733,0.0182208068706981,0.189698132840694,0.84807348405371,27,"B Cell",NA,NA,"RPS9;RPS19;HLA-A;CD74;TAPBP;RPL9;HLA-DRA;RPS3A;HLA-E","I4-RP1"
"HALLMARK_ANDROGEN_RESPONSE",0.448504224708838,0.590137137774786,0.0291873863885422,-0.237930095810141,-1.00242050312815,19,"B Cell",NA,NA,"ARID5B;CCND3;TPD52;TNFAIP8","I4-RP1"
"HALLMARK_APICAL_JUNCTION",0.301186291739895,0.442921017264551,0.036201748643269,-0.310923031587205,-1.13586584303345,13,"B Cell",NA,NA,"PTEN;AKT3;SYK;RASA1","I4-RP1"
"HALLMARK_APOPTOSIS",0.0129733520336606,0.0540556334735858,0.167658528065765,0.445833571732364,1.82465237504462,21,"B Cell",NA,NA,"CD69;CD44;JUN;CTNNB1;DNAJA1;ETF1;IRF1;BNIP3L;SQSTM1;CYLD","I4-RP1"
"HALLMARK_COMPLEMENT",0.145818048422597,0.243030080704329,0.0491079929978342,0.401402512735661,1.34586622282523,12,"B Cell",NA,NA,"GNG2;PIK3CA;TNFAIP3;IRF1","I4-RP1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0938248847926267,0.180432470755051,0.0623299809682921,0.46295802177075,1.45497440372354,10,"B Cell",NA,NA,"CD44;JUN;TNFAIP3","I4-RP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.529558404558405,0.661948005698006,0.0221776070572722,0.242518243141492,0.939861135901834,18,"B Cell",NA,NA,"CD44;RRP12;FOS","I4-RP1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.75718194254446,0.823023850591804,0.0204620983829335,-0.185628035668556,-0.765541277468741,18,"B Cell",NA,NA,"BCL2;LARGE1;JAK2;ADD3;RABEP1;SNX10;FKBP5;ELOVL5;AFF1","I4-RP1"
"HALLMARK_FATTY_ACID_METABOLISM",0.851981566820276,0.887480798771121,0.0155640627789771,0.215600350569676,0.677584093505647,10,"B Cell",NA,NA,"HSP90AA1;IDI1;DLST;RAP1GDS1;BCKDHB;HIBCH;ELOVL5;AUH;HSD17B4;SUCLG2","I4-RP1"
"HALLMARK_G2M_CHECKPOINT",0.105926860025221,0.189155107187894,0.057746241136524,0.372633569381436,1.41199446425421,17,"B Cell",NA,NA,"EZH2;TRA2B;TOP1;SFPQ;YTHDC1;RPS6KA5;KIF20B;DBF4;SRSF10;ILF3;MARCKS","I4-RP1"
"HALLMARK_HEME_METABOLISM",0.213299418604651,0.333280341569767,0.0395665955216664,0.34097264286626,1.2425216938962,15,"B Cell",NA,NA,"YPEL5;ELL2;CIR1;TOP1;RNF19A;BNIP3L","I4-RP1"
"HALLMARK_HYPOXIA",0.0209852391961586,0.0655788724879957,0.132308522605383,0.441517978650829,1.74154085898106,19,"B Cell",NA,NA,"KLF6;JUN;PPP1R15A;FOS;DUSP1;TNFAIP3;IDS;KLHL24;BNIP3L;ZFP36","I4-RP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.0187587657784011,0.0655788724879957,0.139050712469267,0.428253459326309,1.7527026702913,21,"B Cell",NA,NA,"KLF6;CD83;CD44;SNX9;RHOH;AHNAK;AHR;MAP3K8;NFKBIZ","I4-RP1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00025889495040315,0.00161809344001969,0.49849310876659,0.640180222232257,2.27274079062177,14,"B Cell",NA,NA,"NFKB1;KLF6;CD69;NFKBIA;TAPBP;AHR;NAMPT;IRF1","I4-RP1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.400175323252246,0.555799060072564,0.0305292852884412,-0.304927281089935,-1.03820597944863,11,"B Cell",NA,NA,"SELL;TXNIP;SP110;CD47","I4-RP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00125465798867651,0.00627328994338255,0.45505986738723,0.463981724936532,2.08907966616156,28,"B Cell",NA,NA,"NFKB1;CD69;NFKBIA;PELI1;HLA-B;HLA-A;CD74;TNFAIP3;TAPBP;NAMPT;IRF1","I4-RP1"
"HALLMARK_KRAS_SIGNALING_UP",0.0681712424383434,0.160110828488372,0.0831123213823906,-0.344654776106852,-1.50129337842909,21,"B Cell",NA,NA,"HDAC9;BIRC3;IKZF1;ST6GAL1;ETS1","I4-RP1"
"HALLMARK_MITOTIC_SPINDLE",0.0705882352941176,0.160110828488372,0.0829663391489805,-0.313584170480256,-1.47780414639424,26,"B Cell",NA,NA,"NCK2;SSH2;NOTCH2;NEDD9;RASA1;SOS1;CNTRL;CEP192;TRIO;RASA2;EPB41;DOCK2;ARHGEF3;CLASP1;NIN;SPTBN1","I4-RP1"
"HALLMARK_MTORC1_SIGNALING",0.0768531976744186,0.160110828488372,0.0686890698977699,0.408446020562457,1.4883981221141,15,"B Cell",NA,NA,"PPP1R15A;IFRD1;ETF1;NAMPT;UBE2D3;SQSTM1;IDI1;RAB1A","I4-RP1"
"HALLMARK_MYC_TARGETS_V1",1.53689265895098e-05,0.000192111582368873,0.575610261071129,0.568385835862272,2.592706440082,29,"B Cell",NA,NA,"RPS2;DDX21;TRA2B;PABPC1;RPL34;NAP1L1;RPL18;RPS3;IFRD1;RPS6;ETF1;RPS5;RACK1;RPLP0;YWHAE;RPS10;EEF1B2;HSP90AB1;HNRNPA1;RPL14;RPL22;YWHAQ;UBE2L3;EIF1AX;CCT2;RPL6","I4-RP1"
"HALLMARK_P53_PATHWAY",0.067485754985755,0.160110828488372,0.0727383231489883,0.393186025728001,1.5237627486269,18,"B Cell",NA,NA,"JUN;PPP1R15A;RPL18;FOS;RPL36;RPS12;RACK1","I4-RP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.984175824175824,0.984175824175824,0.0160226152720815,-0.137751562863885,-0.487180281885639,12,"B Cell",NA,NA,"PTEN;PRKCB;SMAD2","I4-RP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",5.67215399980566e-09,1.41803849995142e-07,0.761460801445585,0.592620693165651,2.95980831501617,40,"B Cell",NA,NA,"NFKB1;KLF6;CD69;CCNL1;NFKBIA;CD83;CD44;EIF1;JUN;PPP1R15A;JUNB;FOS;DUSP1;FOSB;TNFAIP3;NAMPT;IRF1;RELB;MAP3K8;SQSTM1;REL;NR4A2;ZFP36","I4-RP1"
"HALLMARK_UV_RESPONSE_DN",0.566001734605377,0.673811588815925,0.0207326073410746,0.215700081393661,0.910205263772469,23,"B Cell",NA,NA,"NFKB1;DUSP1;PRDM2;YTHDC1","I4-RP1"
"HALLMARK_UV_RESPONSE_UP",0.000218350275610531,0.00161809344001969,0.518848077743792,0.679375868416029,2.27788567558326,12,"B Cell",NA,NA,"NFKBIA;DDX21;JUNB;FOS;FOSB;DNAJA1;EIF5;IRF1;SQSTM1","I4-RP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.138901395767672,0.212982140177097,0.0562847952048854,-0.278612502007489,-1.33218949416349,27,"CD4+ T Cell",NA,NA,"ITK;ETS1;FYB1;PTPRC;CCND3;LCP2;CD47;CD96;STAT1;TRAT1;IFNAR2","I4-RP1"
"HALLMARK_ANDROGEN_RESPONSE",0.00631395602003048,0.0290441976921402,0.269842314478839,-0.47845543798015,-1.93326129525685,17,"CD4+ T Cell",NA,NA,"INPP4B;TNFAIP8;ARID5B;CDK6;CCND3;FKBP5;IQGAP2;ANKH","I4-RP1"
"HALLMARK_APICAL_JUNCTION",0.0569565217391304,0.131236283833211,0.0880409553363699,-0.436347645387977,-1.53438741288722,12,"CD4+ T Cell",NA,NA,"FYB1;PTPRC;RASA1;AKT3;ITGB1","I4-RP1"
"HALLMARK_APOPTOSIS",0.388715882029676,0.470550804562239,0.0278021069074921,0.27888835736945,1.05675972546455,16,"CD4+ T Cell",NA,NA,"JUN;CD69;BTG3;ETF1;IRF1;CTNNB1;PMAIP1;DNAJA1","I4-RP1"
"HALLMARK_COMPLEMENT",0.994696415508413,0.994696415508413,0.013213009729163,0.105286353105078,0.435941189468787,21,"CD4+ T Cell",NA,NA,"TNFAIP3;PIK3CA","I4-RP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00100037544256611,0.00766954505967352,0.45505986738723,-0.559727653911765,-2.15430061174832,15,"CD4+ T Cell",NA,NA,"BCL2;FKBP5;ADD3;IGF1R;RETREG1;BCL11B;AFF1;MYBL1;FCMR","I4-RP1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0958933107535987,0.175220003987127,0.0662690130576484,-0.439474903015578,-1.43600167161317,10,"CD4+ T Cell",NA,NA,"BCL2;FKBP5;ADD3;AFF1","I4-RP1"
"HALLMARK_G2M_CHECKPOINT",0.0109441662029308,0.0419526371112348,0.18806904097585,0.515711075248388,1.86876486026412,14,"CD4+ T Cell",NA,NA,"TOP1;TRA2B;KIF20B;HIF1A;YTHDC1;PRPF4B;EZH2;GSPT1;SFPQ","I4-RP1"
"HALLMARK_HEME_METABOLISM",0.649386334493497,0.711232652064306,0.0194700896057285,0.223617240190839,0.847327208572447,16,"CD4+ T Cell",NA,NA,"TOP1;ELL2;RNF19A;YPEL5;CIR1;MXI1;CAST","I4-RP1"
"HALLMARK_HYPOXIA",0.0735644835809943,0.153816647487534,0.0706314172523161,0.371721196249729,1.49122418303771,19,"CD4+ T Cell",NA,NA,"JUN;TNFAIP3;KLF6;BTG1;KLHL24;DUSP1;FAM162A;S100A4;FOS;MXI1;PPP1R15A;CXCR4;PNRC1;ZFP36","I4-RP1"
"HALLMARK_IL2_STAT5_SIGNALING",0.236871017358822,0.340502087453307,0.0415155189937178,-0.291366195742592,-1.20392537419631,18,"CD4+ T Cell",NA,NA,"BCL2;SELL;ITGA6;CCND3;IGF1R","I4-RP1"
"HALLMARK_INFLAMMATORY_RESPONSE",0.120796783625731,0.198451858813701,0.054250115182477,0.337972190901064,1.38142218310486,20,"CD4+ T Cell",NA,NA,"NFKB1;NFKBIA;CD69;KLF6;NAMPT;HIF1A","I4-RP1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.642451759364359,0.711232652064306,0.0201209380145109,0.257849000166243,0.848747797646973,11,"CD4+ T Cell",NA,NA,"HLA-C;IFIT2;B2M;IRF1","I4-RP1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.00153126810135386,0.00880479158278472,0.45505986738723,0.460686246506822,2.10187493827905,28,"CD4+ T Cell",NA,NA,"PELI1;TNFAIP3;NFKB1;NFKBIA;CD69;BTG1;HLA-B;NAMPT;IFIT2;HIF1A;HLA-A","I4-RP1"
"HALLMARK_KRAS_SIGNALING_UP",0.019336409580312,0.0635339171924538,0.1535535368591,-0.416084970208863,-1.71926345875319,18,"CD4+ T Cell",NA,NA,"ETS1;IKZF1;IL7R;MAP3K1;ST6GAL1;ANKH;AMMECR1;PPBP","I4-RP1"
"HALLMARK_MITOTIC_SPINDLE",0.36448395490026,0.46572949792811,0.0321000773527401,-0.287971009101976,-1.07797581675754,14,"CD4+ T Cell",NA,NA,"ARHGEF3;NCK2;RASA1","I4-RP1"
"HALLMARK_MTORC1_SIGNALING",0.0990373935579415,0.175220003987127,0.060711786175293,0.420897747115742,1.43764100330823,12,"CD4+ T Cell",NA,NA,"NAMPT;IFRD1;UBE2D3;ETF1;RAB1A;PPP1R15A;CXCR4;ACSL3;BTG2;HSPA5","I4-RP1"
"HALLMARK_MYC_TARGETS_V1",1.60326353210172e-07,3.68750612383395e-06,0.690132458796796,0.623665614182242,2.84546615892223,28,"CD4+ T Cell",NA,NA,"RPS2;DDX21;RPL34;RPS3;RPS6;RPL18;PABPC1;RPS5;TRA2B;RPL14;NAP1L1;RPLP0;RPL22;HNRNPA1;IFRD1;RACK1;RPS10;ETF1;GSPT1;EEF1B2","I4-RP1"
"HALLMARK_P53_PATHWAY",0.0570592538405267,0.131236283833211,0.0804588724057859,0.373524618432686,1.54658948337689,21,"CD4+ T Cell",NA,NA,"JUN;RPS12;RPL18;BTG1;RPL36;RACK1;FAM162A;S100A4;CCNK;FOS;HINT1;PPP1R15A","I4-RP1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.941574936494496,0.984373797244246,0.0161201670768171,-0.179143612035466,-0.585358855708379,10,"CD4+ T Cell",NA,NA,"CAMK4;SMAD2","I4-RP1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",9.95082344060723e-07,1.14434469566983e-05,0.643551836150722,0.583620373402167,2.7119957030783,30,"CD4+ T Cell",NA,NA,"JUN;EIF1;TNFAIP3;CCNL1;NFKB1;NFKBIA;CD69;KLF6;BTG1;JUNB;NAMPT;IFIT2;REL;RELB;PER1;ZBTB10;BTG3;DUSP1;CD83;IRF1","I4-RP1"
"HALLMARK_UV_RESPONSE_DN",0.289514520062071,0.391696115378095,0.0372314563761761,-0.254495876443681,-1.1386370705482,22,"CD4+ T Cell",NA,NA,"INPP4B;RUNX1;NEK7;ADD3;IGF1R;AKT3","I4-RP1"
"HALLMARK_UV_RESPONSE_UP",0.0514965606990147,0.131236283833211,0.0855536111942314,0.449679467911882,1.58172723553032,13,"CD4+ T Cell",NA,NA,"DDX21;NFKBIA;BTG1;JUNB;BTG3;IRF1;FOS;DNAJA1","I4-RP1"
"HALLMARK_ALLOGRAFT_REJECTION",0.345883123260763,0.40692132148325,0.0278771754839041,0.248106680636813,1.09835181041651,28,"CD8+ T Cell",NA,NA,"RPS9;RPS19;RPL9;HLA-A;RPS3A;HIF1A;RPL39","I4-RP1"
"HALLMARK_ANDROGEN_RESPONSE",0.0487576183778715,0.167407061024082,0.0991087684263433,-0.399766606299099,-1.55973579725485,15,"CD8+ T Cell",NA,NA,"FKBP5;TNFAIP8;ARID5B;CCND3;IQGAP2;RPS6KA3;INPP4B;CDK6;STK39","I4-RP1"
"HALLMARK_APICAL_JUNCTION",0.286858974358974,0.358573717948718,0.0381266974919746,-0.33406299311652,-1.1519174797631,11,"CD8+ T Cell",NA,NA,"PTPRC;FYB1;RASA1;AKT3;EXOC4;CDK8;NF1;RSU1;EVL","I4-RP1"
"HALLMARK_APOPTOSIS",0.248908296943231,0.331877729257642,0.0353976826103326,0.339226942805365,1.19357105836948,14,"CD8+ T Cell",NA,NA,"JUN;CD69;PMAIP1;ETF1;BTG3;DNAJA1;CTNNB1","I4-RP1"
"HALLMARK_COMPLEMENT",0.853635725976152,0.853635725976152,0.0190271773448925,-0.181577008694844,-0.69053888145585,14,"CD8+ T Cell",NA,NA,"CBLB;DOCK10;FYN;LCP2;CPQ","I4-RP1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0759878419452888,0.167407061024082,0.078777842678775,-0.392390521408049,-1.49226443201499,14,"CD8+ T Cell",NA,NA,"BCL2;MYBL1;FKBP5;ADD3;BCL11B;AFF1;FCMR;RETREG1","I4-RP1"
"HALLMARK_G2M_CHECKPOINT",0.0778401122019635,0.167407061024082,0.0669695786521622,0.438180522665938,1.50701289289824,13,"CD8+ T Cell",NA,NA,"TOP1;TRA2B;HIF1A;YTHDC1;EZH2;KIF20B;GSPT1;SFPQ;PRPF4B;XPO1","I4-RP1"
"HALLMARK_HEME_METABOLISM",0.605030109812256,0.636873799802375,0.0200315439582317,0.259813491623965,0.870543354390616,12,"CD8+ T Cell",NA,NA,"TOP1;ELL2;YPEL5;MXI1;BNIP3L;RIOK3;RNF19A","I4-RP1"
"HALLMARK_HYPOXIA",0.0594093406593407,0.167407061024082,0.0762633077782967,0.405227493430489,1.55528160454004,18,"CD8+ T Cell",NA,NA,"JUN;TNFAIP3;KLF6;BTG1;DUSP1;KLHL24;S100A4;PPP1R15A;FAM162A;FOS;MXI1;BNIP3L;PNRC1;ZFP36","I4-RP1"
