source_id,glds_prefix,mission,tissue,task_ids,api_url,api_status,api_response_sha256,n_files,checksum_manifest_count,checksum_manifest_files,checksum_manifest_urls,parsed_checksum_entries,checksum_algorithms,checksum_payload_matches,checksum_manifest_content_sha256,audit_status,freeze_ready,pending_reason
OSD-244,GLDS-244,RR-6,thymus,A4_thymus_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-244/files/,ok,d4e86ff1189b5d4c4884f24250ebc70e6aa0f1256f26e23c840932fc897e4105,947,2,GLDS-244_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-244_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-244/download?source=datamanager&file=GLDS-244_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-244/download?source=datamanager&file=GLDS-244_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,944,md5,943,30949916c5412de055938d9773a99bba89bfb6c95485ec10857fc3f21cf1db53;35652c0854dc74374913b19a4d09d857320e347b047273eb55bd094df36e15fc,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-245,GLDS-245,RR-6,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-245/files/,ok,8d33384d77b594a26f2029891350f372b0f864af84f22d904528c7ebf18dba4c,1196,1,GLDS-245_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-245/download?source=datamanager&file=GLDS-245_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,132,md5,126,fc87f5951a59e330a2383f42f11c2bfb159eb3d24a11667ebcf72bd339364b8b,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-253,GLDS-253,RR-7,kidney,A3_kidney_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-253/files/,ok,07431146e89a7536b04610feeb63c8beb2b5827fdbf69ed75dc664fb6c2d6414,1827,2,GLDS-253_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-253_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-253/download?source=datamanager&file=GLDS-253_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-253/download?source=datamanager&file=GLDS-253_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,1824,md5,1753,4da77630e0f80a77bf181c0715947fa7e251d5cc1cca87433d45543ff46afc8f;88c22f80f4227f71d8873f4c5e2971365c83f18acf36c043ac904aab2fa5e559,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-254,GLDS-254,RR-7,skin,A5_skin_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-254/files/,ok,217e457f5cfd384d5b86a217fd8fd24250cc234b72ccdbf99b7b461282209795,1620,1,GLDS-254_rna_seq_md5sum.txt,https://osdr.nasa.gov/geode-py/ws/studies/OSD-254/download?source=datamanager&file=GLDS-254_rna_seq_md5sum.txt,174,md5,174,228ef4ae1245ee05281859d63b6f1d371904bc4682fb5957f5f01d3ebdc511e1,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-289,GLDS-289,MHU-2,thymus,A4_thymus_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-289/files/,ok,c35a47a274b61cdfe2199dfa7c0128881f7aad8ff1a729bbe1825f93ddbfb6f0,322,2,GLDS-289_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-289_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-289/download?source=datamanager&file=GLDS-289_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-289/download?source=datamanager&file=GLDS-289_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,319,md5,318,754509821571febef99ffee9d082c1166ccecaaaa0698cb575248f57c40e8bb5;82f557c2041e616b02f284e88462e4cf7fa8e91e7c7387dfe27e53efe3c8988f,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-326,GLDS-326,RR-9,gastrocnemius,A2_gastrocnemius_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-326/files/,ok,52d013f2b1ef91b35ea1bb1a0f1b58d176ddad2c301c9cb0f75f8271fd73acf4,178,2,GLDS-326_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-326_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-326/download?source=datamanager&file=GLDS-326_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-326/download?source=datamanager&file=GLDS-326_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,159,md5,158,02dff98867fefe2a30c809f5dfdbc4515625da7427554cca1eb8e87836c198fa;144de53ba8468eca2918767b037649f24972b9dbdadb231f9b67cd01053d186e,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-379,GLDS-379,RR-8,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-379/files/,ok,7b46639270870d5ea34c5bd265dc75a562b22cbc34b77347e31cb913b3944362,2291,2,GLDS-379_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-379_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-379/download?source=datamanager&file=GLDS-379_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-379/download?source=datamanager&file=GLDS-379_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,2288,md5,2287,1a325a3ce853b2d2ad535da5829dc0a54deb5a6f951234531c1f017acf14a584;afa9535265130f6cc8963812e108175ab5bc430520fe50aa56f68d65ac7975ce,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-397,GLDS-397,OSD-397,eye,A6_eye_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-397/files/,ok,a3efdcd0952bcab981f001ed26158efddae42ec3ad748cc7382577d3ee094640,277,1,GLDS-397_rna-seq_raw_md5sum.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-397/download?source=datamanager&file=GLDS-397_rna-seq_raw_md5sum.tsv,33,md5,33,029f50c5746cb15954d05a93fd63b5d2dcf88d6ca89c032f974cd0fc3731c7c0,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-401,GLDS-401,RR-5,gastrocnemius,A2_gastrocnemius_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-401/files/,ok,4ff40b449a050caf9060e092dc2fd6bece2fe6af1a3b7389e6ffdfa074edb0a4,180,2,GLDS-401_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-401_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-401/download?source=datamanager&file=GLDS-401_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-401/download?source=datamanager&file=GLDS-401_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,165,md5,164,065cc92b83155e524b08f0dd70b894790d7f007ab0df8249232bc531d05bf5a0;840c35b1fd91b4025d0af743243e3f4bdf1d0d6bc285b0e38bb1c3c04e5f2e66,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-421,GLDS-421,RR-9,thymus,A4_thymus_bulk_lomo,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-421/files/,ok,197217a33ed0ecdf2e7cbae87e86fd0cf404c86cabd1d07885f3201dbabe87f2,294,3,GLDS-421_rna-seq_raw_md5sum.txt;GLDS-421_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-421_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-421/download?source=datamanager&file=GLDS-421_rna-seq_raw_md5sum.txt;https://osdr.nasa.gov/geode-py/ws/studies/OSD-421/download?source=datamanager&file=GLDS-421_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-421/download?source=datamanager&file=GLDS-421_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,291,md5,289,19c1cdf1a36433b2a251b2523a280114681cb3ac674dd506165120a36a7e5ef5;237a1352a4bfeabfb621c33cc7e2125c99a9bdea386775bfb87fa06c181a84bc;2ce593966523542c4356bf615b2312ee2e7b38edd19ba6cbdcf45d4b510211d9,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-48,GLDS-48,RR-1,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat;A1_liver_bulk_lomo_iss_only,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-48/files/,ok,8671bfbfc6232e90ff39c9e9b5cf31e8bac9406e73fff95c96a9b2b39facdbab,658,5,GLDS-48_Gwgbs_processed_md5sum_GLMethylSeq.tsv;GLDS-48_rna-seq_RR1-NASA.md5sum.txt;GLDS-48_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-48_rna_seq_processed_md5sum_GLbulkRNAseq.tsv;GLDS-48_wgbs_raw_md5sum_GLMethylSeq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=GLDS-48_Gwgbs_processed_md5sum_GLMethylSeq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=GLDS-48_rna-seq_RR1-NASA.md5sum.txt;https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=GLDS-48_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=GLDS-48_rna_seq_processed_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-48/download?source=datamanager&file=GLDS-48_wgbs_raw_md5sum_GLMethylSeq.tsv,589,md5,546,469741ab09f74d84bc45c16de8fd06513981926b303a8bb88a49ee3754b1749c;c6f6689faa11d90ca4d355a039bedba1f1abf2b54a943790ef67f6954046d776;c7f9f4aea0fa4db22155d0eed9148d01a2f6ed87bf3e7bbeae2cf35cfc2bf4d6;e000375d7d2d59077608dff3f8350943a71e2e85c723f70f57fbfde405af5710;e162f763aafcb02655c08e903894e4f9277bd3041b0cbc44d4189fe6db0290b5,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
OSD-686,GLDS-617,MHU-2,liver,A1_liver_bulk_lomo;A1_liver_bulk_lomo_combat,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-686/files/,ok,771ab3ed33db62a0ce452673480962210e882e9375eb4238bae0dc526d949ea0,178,2,GLDS-617_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;GLDS-617_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,https://osdr.nasa.gov/geode-py/ws/studies/OSD-686/download?source=datamanager&file=GLDS-617_rna-seq_raw_md5sum_GLbulkRNAseq.tsv;https://osdr.nasa.gov/geode-py/ws/studies/OSD-686/download?source=datamanager&file=GLDS-617_rna_seq_processed_md5sum_GLbulkRNAseq.tsv,175,md5,156,a349b1a2d1a4142ec3c2deeabe9f1b1455026cdc3f9103db7eb2261f04331efd;c52e6803b97dbd5c98d9caca29e8670647939be78916a6deae1a6b186464a39c,checksum_manifest_parsed,false,"Checksum manifest entries were parsed, but payload files have not been downloaded and verified in this audit."
